permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KQ46,000000ISe6H1,22.669,,Lr,224.7204931,-38.7871898,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KQ46,000000ISe6H1,22.792,,Lr,224.7203791,-38.7871501,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KQ46,000000ISe6H1,22.895,,Lr,224.7202731,-38.7871281,2025-05-21 07:01:47.826000+00:00,60816.29291465273
,2025 KQ46,000000ISe6H1,22.938,,Lr,224.7199194,-38.7870893,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KQ46,000000ISe6H1,23.047,,Lr,224.7197249,-38.7870303,2025-05-21 07:04:46.591000+00:00,60816.294983692
,2025 KQ46,000000ISe6H1,22.998,,Lr,224.7193845,-38.7869617,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KQ46,000000ISe6H1,23.09,,Lr,224.7191546,-38.7869192,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KQ46,000000ISe6H1,23.005,,Lr,224.7189096,-38.7868676,2025-05-21 07:09:43.658000+00:00,60816.298421967775
,2025 KQ46,000000ISe6H1,23.243,,Lr,224.7188072,-38.7868122,2025-05-21 07:10:25.781000+00:00,60816.298909502104
,2025 KQ46,000000ISe6H1,22.863,,Lr,224.7181266,-38.7867195,2025-05-21 07:14:00.332000+00:00,60816.30139273126
,2025 KQ46,000000ISe6H1,22.37,,Lz,224.7173307,-38.7864665,2025-05-21 07:19:33.500000+00:00,60816.305248842575
,2025 KQ46,000000ISe6H1,22.791,,Lz,224.7145527,-38.7859581,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2025 KQ46,000000ISe6H1,22.341,,Lz,224.7134731,-38.7857269,2025-05-21 07:41:55.159000+00:00,60816.32077730307
,2025 KQ46,000000ISe6H1,22.589,,Lz,224.7132252,-38.7855717,2025-05-21 07:43:17.708000+00:00,60816.321732731536
,2025 KQ46,000000ISe6H1,22.657,,Lz,224.7130469,-38.7856306,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2025 KQ46,000000ISe6H2,23.289,,Lg,224.4982692,-38.7412712,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KQ46,000000ISe6H2,23.426,,Lg,224.4981514,-38.7412618,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2025 KQ46,000000ISe6H2,23.292,,Lg,224.497204,-38.741026,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KQ46,000000ISe6H2,23.288,,Lg,224.4968725,-38.7410065,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KQ46,000000ISe6H2,23.394,,Lg,224.4968102,-38.7409437,2025-05-22 05:30:35.160000+00:00,60817.22957361117
,2025 KQ46,000000ISe6H2,23.49,,Lg,224.4964504,-38.7408292,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2025 KQ46,000000ISe6H2,23.298,,Lg,224.4963713,-38.7408513,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KQ46,000000ISe6H2,23.253,,Lg,224.4961948,-38.7408235,2025-05-22 05:33:54.608000+00:00,60817.23188203713
,2025 KQ46,000000ISe6H2,23.37,,Lg,224.4960654,-38.7408174,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2025 KQ46,000000ISe6H2,23.377,,Lg,224.4957695,-38.7407042,2025-05-22 05:36:18.448000+00:00,60817.23354685167
,2025 KQ46,000000ISe6H2,23.415,,Lg,224.4956625,-38.7406964,2025-05-22 05:37:10.069000+00:00,60817.234144316986
,2025 KQ46,000000ISe6H2,23.405,,Lg,224.4954573,-38.7406807,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2025 KQ46,000000ISe6H2,23.043,,Lr,224.4922684,-38.7400152,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KQ46,000000ISe6H2,22.913,,Lr,224.4921877,-38.7400267,2025-05-22 05:57:44.701000+00:00,60817.2484340393
,2025 KQ46,000000ISe6H2,23.252,,Lr,224.4920179,-38.7399912,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2025 KQ46,000000ISe6H2,22.899,,Lr,224.4895451,-38.7394233,2025-05-22 06:13:06.847000+00:00,60817.25910702534
,2025 KQ46,000000ISe6H2,22.865,,Lr,224.4891726,-38.7393126,2025-05-22 06:15:13.363000+00:00,60817.260571330786
,2025 KQ46,000000ISe6H2,22.96,,Lr,224.4889488,-38.7393003,2025-05-22 06:16:37.597000+00:00,60817.26154626161
,2025 KQ46,000000ISe6H2,22.586,,Li,224.4875892,-38.7390093,2025-05-22 06:24:27.631000+00:00,60817.26698646974
,2025 KQ46,000000ISe6H2,22.992,,Li,224.4874406,-38.7389324,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2025 KQ46,000000ISe6H2,22.506,,Li,224.4871189,-38.7389143,2025-05-22 06:27:25.956000+00:00,60817.26905041654
,2025 KQ46,000000ISe6H2,22.843,,Li,224.4869114,-38.7388302,2025-05-22 06:28:50.397000+00:00,60817.27002774319
,2025 KQ46,000000ISe6H2,22.715,,Li,224.4867803,-38.7387906,2025-05-22 06:29:32.371000+00:00,60817.27051355317
,2025 KQ46,000000ISe6H2,22.946,,Li,224.4863656,-38.738715,2025-05-22 06:31:54.697000+00:00,60817.27216084488
,2025 KQ46,000000ISe6H2,22.677,,Li,224.4861599,-38.7387022,2025-05-22 06:32:36.890000+00:00,60817.27264918992
,2025 KQ46,000000ISe6H2,22.814,,Li,224.4859638,-38.738666,2025-05-22 06:34:11.948000+00:00,60817.27374939807
,2025 KQ46,000000ISe6H2,22.829,,Li,224.4858399,-38.7385957,2025-05-22 06:34:55.098000+00:00,60817.27424881933
,2025 KQ46,000000ISe6H2,22.557,,Li,224.4857508,-38.7385459,2025-05-22 06:35:38.295000+00:00,60817.27474878449
,2025 KQ46,000000ISe6H2,22.453,,Li,224.4856194,-38.7385036,2025-05-22 06:36:20.012000+00:00,60817.2752316203
,2025 KQ46,000000ISe6H2,22.79,,Li,224.4852108,-38.7384262,2025-05-22 06:38:27.141000+00:00,60817.27670302102
,2025 KQ46,000000ISe6H2,22.923,,Li,224.4848958,-38.738368,2025-05-22 06:40:49.711000+00:00,60817.2783531365
