permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KT63,000000ISf221,22.959,,Li,225.6093444,-38.1527442,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KT63,000000ISf221,22.779,,Li,225.6092075,-38.1526714,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KT63,000000ISf221,22.811,,Li,225.6090094,-38.1525799,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KT63,000000ISf221,22.72,,Li,225.608772,-38.1524529,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KT63,000000ISf221,22.766,,Li,225.6086448,-38.1524135,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KT63,000000ISf221,22.597,,Li,225.6084067,-38.1522303,2025-05-21 06:39:01.549000+00:00,60816.27710126154
,2025 KT63,000000ISf221,22.828,,Li,225.6080964,-38.1521048,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KT63,000000ISf221,22.549,,Li,225.6079865,-38.1520747,2025-05-21 06:41:19.820000+00:00,60816.27870162018
,2025 KT63,000000ISf221,22.792,,Li,225.6076153,-38.151865,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KT63,000000ISf221,22.365,,Li,225.6074984,-38.1517812,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2025 KT63,000000ISf221,22.578,,Li,225.6073574,-38.1516898,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KT63,000000ISf221,22.714,,Li,225.6071709,-38.1516669,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KT63,000000ISf221,22.674,,Li,225.6064438,-38.151249,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KT63,000000ISf221,22.445,,Li,225.606366,-38.1511717,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KT63,000000ISf221,22.584,,Li,225.6062015,-38.1511355,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KT63,000000ISf221,22.537,,Lr,225.6049948,-38.1505242,2025-05-21 06:58:12.782000+00:00,60816.290425717365
,2025 KT63,000000ISf221,22.687,,Lr,225.6047283,-38.1503344,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KT63,000000ISf221,22.953,,Lr,225.6045099,-38.1502678,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KT63,000000ISf221,22.939,,Lr,225.6044149,-38.1501482,2025-05-21 07:01:47.826000+00:00,60816.29291465273
,2025 KT63,000000ISf221,22.884,,Lr,225.604153,-38.1500488,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KT63,000000ISf221,22.892,,Lr,225.6040314,-38.1499715,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KT63,000000ISf221,22.862,,Lr,225.6035456,-38.1497157,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KT63,000000ISf221,22.77,,Lr,225.603415,-38.1496514,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KT63,000000ISf221,22.881,,Lr,225.6032602,-38.1496144,2025-05-21 07:08:21.047000+00:00,60816.29746582173
