permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KU46,000000ISe681,22.94,,Li,226.360639,-39.4813822,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KU46,000000ISe681,23.02,,Li,226.3602254,-39.4812817,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2025 KU46,000000ISe681,22.921,,Li,226.3600039,-39.4812365,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KU46,000000ISe681,22.958,,Li,226.3594722,-39.481096,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KU46,000000ISe681,23.14,,Li,226.3589999,-39.4809398,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KU46,000000ISe681,22.819,,Li,226.3587789,-39.4808558,2025-05-21 06:45:02.476000+00:00,60816.28127865726
,2025 KU46,000000ISe681,23.406,,Li,226.3580531,-39.480688,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KU46,000000ISe681,23.222,,Li,226.357905,-39.4807146,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KU46,000000ISe681,23.095,,Li,226.3577508,-39.4806658,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KU46,000000ISe681,23.208,,Lr,226.3558762,-39.4800804,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KU46,000000ISe681,23.492,,Lr,226.3557785,-39.4800715,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KU46,000000ISe681,23.398,,Lr,226.3552815,-39.4799424,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KU46,000000ISe681,23.456,,Lr,226.3551459,-39.4798953,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KU46,000000ISe681,23.432,,Lr,226.3548249,-39.4798717,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KU46,000000ISe682,23.195,,Li,225.7186681,-39.3046482,2025-05-24 01:54:17.226000+00:00,60819.07936604181
,2025 KU46,000000ISe682,23.126,,Li,225.7185762,-39.3046068,2025-05-24 01:54:59.144000+00:00,60819.0798512036
,2025 KU46,000000ISe682,23.181,,Li,225.7183418,-39.3045674,2025-05-24 01:56:24.185000+00:00,60819.080835474655
,2025 KU46,000000ISe682,23.314,,Li,225.7181415,-39.3045095,2025-05-24 01:57:48.911000+00:00,60819.081816099584
,2025 KU46,000000ISe682,23.482,,Li,225.7179903,-39.3044468,2025-05-24 01:58:31.366000+00:00,60819.082307477016
,2025 KU46,000000ISe682,23.212,,Li,225.7177982,-39.3044111,2025-05-24 01:59:56.085000+00:00,60819.08328802092
,2025 KU46,000000ISe682,23.094,,Li,225.7176841,-39.3043549,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2025 KU46,000000ISe682,23.231,,Li,225.717552,-39.3043268,2025-05-24 02:01:20.621000+00:00,60819.08426644653
,2025 KU46,000000ISe682,23.142,,Li,225.7173504,-39.3042691,2025-05-24 02:02:45.038000+00:00,60819.08524349518
,2025 KU46,000000ISe682,23.323,,Li,225.7172145,-39.3042441,2025-05-24 02:03:28.548000+00:00,60819.08574708318
,2025 KU46,000000ISe682,23.191,,Li,225.7171274,-39.3042001,2025-05-24 02:04:10.821000+00:00,60819.08623635396
