permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KV50,000000ISf1y1,22.692,,Li,149.6099513,0.8624494,2025-05-16 01:00:39.868000+00:00,60811.04212810192
,2025 KV50,000000ISf1y1,22.665,,Li,149.6100579,0.8624905,2025-05-16 01:01:20.880000+00:00,60811.04260277795
,2025 KV50,000000ISf1y1,22.632,,Li,149.6101204,0.8624711,2025-05-16 01:02:02.364000+00:00,60811.04308291664
,2025 KV50,000000ISf1y1,22.724,,Li,149.6101892,0.8624956,2025-05-16 01:02:43.314000+00:00,60811.04355687508
,2025 KV50,000000ISf1y1,22.682,,Li,149.6102599,0.8624909,2025-05-16 01:03:24.232000+00:00,60811.04403046286
,2025 KV50,000000ISf1y1,22.805,,Li,149.6104936,0.8625111,2025-05-16 01:04:46.756000+00:00,60811.04498560168
,2025 KV50,000000ISf1y1,22.56,,Li,149.6105754,0.8624904,2025-05-16 01:05:27.952000+00:00,60811.04546240717
,2025 KV50,000000ISf1y1,22.682,,Li,149.610775,0.8624449,2025-05-16 01:06:49.982000+00:00,60811.0464118286
,2025 KV50,000000ISf1y1,22.838,,Li,149.6109415,0.8625467,2025-05-16 01:08:12.159000+00:00,60811.04736295156
,2025 KV50,000000ISf1y1,22.633,,Li,149.6110439,0.8625436,2025-05-16 01:08:55.092000+00:00,60811.04785986105
,2025 KV50,000000ISf1y1,22.63,,Li,149.6112529,0.8626962,2025-05-16 01:10:58.272000+00:00,60811.049285555724
,2025 KV50,000000ISf1y1,22.897,,Li,149.6113379,0.8624684,2025-05-16 01:11:39.209000+00:00,60811.04975936329
,2025 KV50,000000ISf1y1,22.88,,Li,149.6114917,0.8626134,2025-05-16 01:12:20.148000+00:00,60811.050233194605
,2025 KV50,000000ISf1y1,22.376,,Li,149.6116049,0.8626942,2025-05-16 01:13:01.202000+00:00,60811.05070835631
,2025 KV50,000000ISf1y1,22.772,,Li,149.6115996,0.8625962,2025-05-16 01:13:42.240000+00:00,60811.051183333155
,2025 KV50,000000ISf1y1,22.563,,Li,149.6117731,0.8625975,2025-05-16 01:14:23.642000+00:00,60811.0516625233
,2025 KV50,000000ISf1y1,22.689,,Li,149.6119086,0.8626398,2025-05-16 01:15:05.198000+00:00,60811.05214349553
,2025 KV50,000000ISf1y1,22.746,,Li,149.6119075,0.8626059,2025-05-16 01:15:46.120000+00:00,60811.052617129404
,2025 KV50,000000ISf1y1,22.912,,Li,149.6120039,0.8625723,2025-05-16 01:16:27.599000+00:00,60811.053097210824
,2025 KV50,000000ISf1y1,22.856,,Li,149.6121322,0.8626124,2025-05-16 01:17:11.382000+00:00,60811.05360395834
,2025 KV50,000000ISf1y1,22.339,,Lz,149.6135404,0.862791,2025-05-16 01:27:37.090000+00:00,60811.06084594922
,2025 KV50,000000ISf1y1,22.472,,Lz,149.6151358,0.8628401,2025-05-16 01:39:58.121000+00:00,60811.06942269672
,2025 KV50,000000ISf1y1,22.408,,Lz,149.6154545,0.86293,2025-05-16 01:42:07.053000+00:00,60811.07091496512
,2025 KV50,000000ISf1y1,22.402,,Lz,149.6154327,0.8628782,2025-05-16 01:42:49.970000+00:00,60811.07141168974
,2025 KV50,000000ISf1y2,23.642,,Lg,150.6133591,0.9107645,2025-05-20 23:55:18.762000+00:00,60815.996744930744
,2025 KV50,000000ISf1y2,23.406,,Lg,150.6136443,0.9108009,2025-05-20 23:57:15.858000+00:00,60815.99810020812
,2025 KV50,000000ISf1y2,23.467,,Lg,150.6136924,0.9108239,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KV50,000000ISf1y2,23.534,,Lg,150.6138423,0.910795,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2025 KV50,000000ISf1y2,23.695,,Lg,150.613966,0.9107889,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KV50,000000ISf1y2,23.35,,Lg,150.6140997,0.9108073,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2025 KV50,000000ISf1y2,23.417,,Lg,150.6143234,0.9108,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2025 KV50,000000ISf1y2,23.43,,Lg,150.6144621,0.9108016,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KV50,000000ISf1y2,23.39,,Lg,150.6145625,0.9108104,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KV50,000000ISf1y2,23.523,,Lg,150.6146889,0.9108122,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KV50,000000ISf1y2,23.475,,Lg,150.6148993,0.9108405,2025-05-21 00:06:13.197000+00:00,60816.00431940984
,2025 KV50,000000ISf1y2,23.552,,Lg,150.6150163,0.9107844,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KV50,000000ISf1y2,23.674,,Lg,150.6152235,0.9108121,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KV50,000000ISf1y2,23.623,,Lg,150.6153288,0.9107908,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 KV50,000000ISf1y2,23.636,,Lg,150.6154328,0.9108073,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KV50,000000ISf1y2,23.489,,Lg,150.6156515,0.9108021,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2025 KV50,000000ISf1y2,23.433,,Lg,150.6158003,0.9108793,2025-05-21 00:12:26.275000+00:00,60816.00863744225
,2025 KV50,000000ISf1y2,23.381,,Lg,150.6158727,0.9107926,2025-05-21 00:13:07.337000+00:00,60816.00911269663
,2025 KV50,000000ISf1y2,23.435,,Lg,150.6160059,0.9108875,2025-05-21 00:13:58.390000+00:00,60816.00970358774
,2025 KV50,000000ISf1y2,23.56,,Lg,150.616171,0.9108527,2025-05-21 00:14:49.442000+00:00,60816.01029446768
,2025 KV50,000000ISf1y2,23.425,,Lg,150.6162717,0.9108812,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2025 KV50,000000ISf1y2,23.412,,Lg,150.6163394,0.9108256,2025-05-21 00:16:16.404000+00:00,60816.0113009722
,2025 KV50,000000ISf1y2,23.401,,Lg,150.6164488,0.9108759,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2025 KV50,000000ISf1y2,23.381,,Lg,150.6165734,0.9108896,2025-05-21 00:17:47.841000+00:00,60816.012359270826
,2025 KV50,000000ISf1y2,23.317,,Lg,150.6166687,0.9108571,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2025 KV50,000000ISf1y2,23.446,,Lg,150.6168809,0.910894,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2025 KV50,000000ISf1y2,23.452,,Lg,150.6170115,0.9108658,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 KV50,000000ISf1y2,22.827,,Lr,150.6270295,0.9110713,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2025 KV50,000000ISf1y2,22.717,,Lr,150.6271514,0.911048,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2025 KV50,000000ISf1y2,22.916,,Lr,150.6272454,0.9110702,2025-05-21 01:32:05.928000+00:00,60816.063957499806
,2025 KV50,000000ISf1y2,22.611,,Lr,150.6282511,0.9110103,2025-05-21 01:38:40.774000+00:00,60816.06852747686
,2025 KV50,000000ISf1y2,22.866,,Lr,150.6284469,0.9110569,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 KV50,000000ISf1y2,22.769,,Lr,150.628597,0.9110708,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2025 KV50,000000ISf1y2,22.82,,Lr,150.6287413,0.9111066,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2025 KV50,000000ISf1y2,22.692,,Lr,150.6289358,0.9110587,2025-05-21 01:43:46.372000+00:00,60816.07206449052
,2025 KV50,000000ISf1y2,22.688,,Lr,150.629048,0.9111079,2025-05-21 01:44:27.512000+00:00,60816.07254064828
,2025 KV50,000000ISf1y2,22.965,,Lr,150.6296893,0.9111433,2025-05-21 01:49:05.647000+00:00,60816.07575980341
