permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KX46,000000ISe6O1,23.569,,Lg,149.8882348,3.3142844,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KX46,000000ISe6O1,23.582,,Lg,149.8883094,3.3142533,2025-05-20 23:58:43.039000+00:00,60815.9991092477
,2025 KX46,000000ISe6O1,23.629,,Lg,149.8884411,3.3142146,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KX46,000000ISe6O1,23.551,,Lg,149.8886938,3.3141805,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2025 KX46,000000ISe6O1,23.722,,Lg,149.8888652,3.3142192,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KX46,000000ISe6O1,23.805,,Lg,149.8889461,3.3141688,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KX46,000000ISe6O1,23.563,,Lg,149.8890581,3.3141634,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KX46,000000ISe6O1,23.707,,Lg,149.8891088,3.3141309,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KX46,000000ISe6O1,23.81,,Lg,149.889179,3.3141695,2025-05-21 00:06:13.197000+00:00,60816.00431940984
,2025 KX46,000000ISe6O1,23.832,,Lg,149.8894098,3.3140644,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KX46,000000ISe6O1,24.076,,Lg,149.88963,3.3140025,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 KX46,000000ISe6O1,23.6,,Lg,149.8898351,3.3139929,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2025 KX46,000000ISe6O1,23.79,,Lg,149.8901451,3.3139842,2025-05-21 00:13:58.390000+00:00,60816.00970358774
,2025 KX46,000000ISe6O1,23.69,,Lg,149.8901729,3.3139538,2025-05-21 00:14:49.442000+00:00,60816.01029446768
,2025 KX46,000000ISe6O1,23.583,,Lg,149.8903492,3.3138804,2025-05-21 00:16:16.404000+00:00,60816.0113009722
,2025 KX46,000000ISe6O1,23.85,,Lg,149.89047,3.3138551,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2025 KX46,000000ISe6O1,23.739,,Lg,149.8905818,3.3138003,2025-05-21 00:17:47.841000+00:00,60816.012359270826
,2025 KX46,000000ISe6O1,23.738,,Lg,149.8906259,3.3138816,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2025 KX46,000000ISe6O1,23.651,,Lg,149.890873,3.3138867,2025-05-21 00:20:14.133000+00:00,60816.01405246509
,2025 KX46,000000ISe6O1,23.69,,Lg,149.8909295,3.3138258,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 KX46,000000ISe6O1,22.99,,Lr,149.8992417,3.3124018,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2025 KX46,000000ISe6O1,23.258,,Lr,149.900285,3.312146,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 KX46,000000ISe6O1,22.952,,Lr,149.9003985,3.3121781,2025-05-21 01:40:53.270000+00:00,60816.07006099541
,2025 KX46,000000ISe6O2,23.609,,Lg,150.4307292,3.2181779,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KX46,000000ISe6O2,23.67,,Lg,150.4308202,3.2181028,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KX46,000000ISe6O2,23.739,,Lg,150.4308808,3.2181139,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KX46,000000ISe6O2,23.686,,Lg,150.4310057,3.2180666,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KX46,000000ISe6O2,23.755,,Lg,150.4311368,3.218076,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KX46,000000ISe6O2,23.806,,Lg,150.4311837,3.2180943,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KX46,000000ISe6O2,23.734,,Lg,150.4313833,3.2180137,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KX46,000000ISe6O2,23.847,,Lg,150.4315652,3.218027,2025-05-24 00:45:49.587000+00:00,60819.03182392381
