permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KY57,000000ISe7V1,23.742,,Lg,150.4313762,2.7281555,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KY57,000000ISe7V1,23.762,,Lg,150.4315021,2.7281126,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KY57,000000ISe7V1,23.661,,Lg,150.4316123,2.7281112,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KY57,000000ISe7V1,23.741,,Lg,150.4316964,2.7280839,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KY57,000000ISe7V1,23.672,,Lg,150.4317716,2.7281001,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KY57,000000ISe7V1,23.697,,Lg,150.4318804,2.7281007,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KY57,000000ISe7V1,23.688,,Lg,150.4319526,2.728092,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KY57,000000ISe7V1,23.9,,Lg,150.4320769,2.728047,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KY57,000000ISe7V1,23.726,,Lg,150.4321817,2.7280595,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KY57,000000ISe7V1,23.641,,Lg,150.4322802,2.7280735,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KY57,000000ISe7V1,23.688,,Lg,150.4323716,2.7280403,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KY57,000000ISe7V1,23.826,,Lg,150.4324956,2.7280076,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KY57,000000ISe7V1,23.762,,Lg,150.4325499,2.7280045,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KY57,000000ISe7V1,23.639,,Lg,150.4326615,2.7279955,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KY57,000000ISe7V1,23.628,,Lg,150.4327401,2.7279817,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KY57,000000ISe7V1,23.524,,Lg,150.4328655,2.7279939,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 KY57,000000ISe7V1,23.627,,Lg,150.4329709,2.7279689,2025-05-24 00:51:06.063000+00:00,60819.03548684018
,2025 KY57,000000ISe7V1,23.605,,Lg,150.4330633,2.7279554,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KY57,000000ISe7V1,23.579,,Lg,150.4331637,2.7279624,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KY57,000000ISe7V1,23.662,,Lg,150.4332629,2.7279145,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KY57,000000ISe7V1,23.787,,Lg,150.433334,2.727921,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2025 KY57,000000ISe7V1,23.594,,Lg,150.4334143,2.727909,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2025 KY57,000000ISe7V1,23.734,,Lg,150.4335538,2.7278795,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 KY57,000000ISe7V1,23.754,,Lg,150.4336386,2.7278846,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2025 KY57,000000ISe7V1,23.743,,Lg,150.4337738,2.7278658,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2025 KY57,000000ISe7V1,23.661,,Lg,150.4338586,2.7278759,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2025 KY57,000000ISe7V1,23.482,,Lg,150.4339557,2.7278181,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2025 KY57,000000ISe7V1,23.591,,Lg,150.4340514,2.7278361,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2025 KY57,000000ISe7V1,23.671,,Lg,150.4341411,2.7278374,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2025 KY57,000000ISe7V1,23.739,,Lg,150.4342342,2.7278413,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2025 KY57,000000ISe7V1,23.602,,Lg,150.4343834,2.7277835,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2025 KY57,000000ISe7V1,23.179,,Lr,150.4349795,2.727717,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2025 KY57,000000ISe7V1,23.329,,Lr,150.4350938,2.7277137,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2025 KY57,000000ISe7V1,23.182,,Lr,150.4351964,2.7276996,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2025 KY57,000000ISe7V1,23.088,,Lr,150.4352914,2.7276753,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2025 KY57,000000ISe7V1,23.343,,Lr,150.4353839,2.7276491,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2025 KY57,000000ISe7V1,23.307,,Lr,150.4354796,2.7276519,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2025 KY57,000000ISe7V1,23.221,,Lr,150.4355711,2.7276518,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2025 KY57,000000ISe7V1,23.094,,Lr,150.4356786,2.7276462,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2025 KY57,000000ISe7V1,23.206,,Lr,150.435778,2.7276413,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2025 KY57,000000ISe7V1,23.172,,Lr,150.4359719,2.7276163,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2025 KY57,000000ISe7V1,23.241,,Lr,150.4360729,2.727609,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2025 KY57,000000ISe7V1,23.145,,Lr,150.4361611,2.7275814,2025-05-24 01:15:55.757000+00:00,60819.05272866879
,2025 KY57,000000ISe7V1,23.137,,Lr,150.4362641,2.7275907,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2025 KY57,000000ISe7V1,23.265,,Lr,150.4363773,2.7275606,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2025 KY57,000000ISe7V1,23.292,,Lr,150.4364519,2.7275426,2025-05-24 01:18:11.659000+00:00,60819.05430160882
,2025 KY57,000000ISe7V1,23.092,,Lr,150.4365688,2.7275265,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2025 KY57,000000ISe7V1,23.058,,Lr,150.4366819,2.7275269,2025-05-24 01:19:41.878000+00:00,60819.05534581002
,2025 KY57,000000ISe7V1,23.291,,Lr,150.4367544,2.7275093,2025-05-24 01:20:27.237000+00:00,60819.05587079842
,2025 KY57,000000ISe7V1,23.291,,Lr,150.4368583,2.7275184,2025-05-24 01:21:12.636000+00:00,60819.05639625015
,2025 KY57,000000ISe7V1,23.146,,Lr,150.4369548,2.7275042,2025-05-24 01:21:57.639000+00:00,60819.05691711791
,2025 KY57,000000ISe7V1,23.232,,Li,150.4375135,2.7274385,2025-05-24 01:26:15.976000+00:00,60819.0599071295
,2025 KY57,000000ISe7V1,23.135,,Li,150.4375935,2.7274264,2025-05-24 01:27:01.178000+00:00,60819.06043030089
,2025 KY57,000000ISe7V1,23.322,,Li,150.4377102,2.7274198,2025-05-24 01:27:46.641000+00:00,60819.06095649302
,2025 KY57,000000ISe7V1,23.343,,Li,150.4378149,2.7273855,2025-05-24 01:28:31.923000+00:00,60819.06148059014
,2025 KY57,000000ISe7V1,23.089,,Li,150.4380079,2.7273816,2025-05-24 01:30:02.811000+00:00,60819.06253253482
,2025 KY57,000000ISe7V1,23.388,,Li,150.4381248,2.7273613,2025-05-24 01:30:48.409000+00:00,60819.06306028925
,2025 KY57,000000ISe7V1,22.953,,Li,150.4383004,2.7273488,2025-05-24 01:32:19.553000+00:00,60819.06411519693
,2025 KY57,000000ISe7V1,23.512,,Li,150.4384028,2.7273604,2025-05-24 01:33:04.925000+00:00,60819.06464033574
,2025 KY57,000000ISe7V1,23.453,,Li,150.4385035,2.727342,2025-05-24 01:33:50.420000+00:00,60819.06516689807
,2025 KY57,000000ISe7V1,23.365,,Li,150.4385962,2.7272876,2025-05-24 01:34:35.717000+00:00,60819.065691168886
,2025 KY57,000000ISe7V1,23.083,,Li,150.4386929,2.7272929,2025-05-24 01:35:21.112000+00:00,60819.06621657405
,2025 KY57,000000ISe7V1,23.37,,Li,150.4387666,2.7272748,2025-05-24 01:36:06.140000+00:00,60819.06673773145
,2025 KY57,000000ISe7V1,23.341,,Li,150.4389059,2.7272826,2025-05-24 01:36:51.342000+00:00,60819.06726090284
,2025 KY57,000000ISe7V1,23.382,,Li,150.4389813,2.7273045,2025-05-24 01:37:36.549000+00:00,60819.06778413197
,2025 KY57,000000ISe7V1,23.388,,Li,150.4390467,2.7272471,2025-05-24 01:38:21.962000+00:00,60819.068309745286
,2025 KY57,000000ISe7V2,23.676,,Li,150.614358,2.7067579,2025-05-24 23:31:42.675000+00:00,60819.98035503458
,2025 KY57,000000ISe7V2,23.551,,Li,150.6144741,2.7067857,2025-05-24 23:32:27.875000+00:00,60819.98087818269
,2025 KY57,000000ISe7V2,23.405,,Li,150.6146007,2.7067995,2025-05-24 23:33:13.082000+00:00,60819.98140141182
