permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NV360,000000ISe7y1,22.322,,Li,226.51107,-40.8494338,2025-07-02 23:17:47.172000+00:00,60858.9706848613
,2025 NV360,000000ISe7y1,22.307,,Li,226.5110021,-40.8492938,2025-07-02 23:19:02.590000+00:00,60858.97155775456
,2025 NV360,000000ISe7y1,22.437,,Li,226.5110043,-40.8491793,2025-07-02 23:20:19.236000+00:00,60858.972444861196
,2025 NV360,000000ISe7y1,22.372,,Li,226.5109281,-40.8490703,2025-07-02 23:22:13.716000+00:00,60858.97376986127
,2025 NV360,000000ISe7y1,22.501,,Li,226.5098633,-40.8463218,2025-07-02 23:55:43.252000+00:00,60858.9970283797
,2025 NV360,000000ISe7y1,22.38,,Li,226.5098101,-40.8460612,2025-07-02 23:58:59.922000+00:00,60858.99930465268
,2025 NV360,000000ISe7y1,22.376,,Li,226.509726,-40.8460002,2025-07-03 00:00:17.884000+00:00,60859.00020699063
,2025 NV360,000000ISe7y1,23.096,,Lg,226.509189,-40.8445423,2025-07-03 00:18:09.728000+00:00,60859.01261259243
,2025 NV360,000000ISe7y1,22.943,,Lg,226.5091054,-40.8442399,2025-07-03 00:20:56.014000+00:00,60859.014537198935
,2025 NV360,000000ISe7y1,23.01,,Lg,226.5090579,-40.8442522,2025-07-03 00:21:37.414000+00:00,60859.015016365796
,2025 NV360,000000ISe7y1,22.976,,Lg,226.5089904,-40.8440431,2025-07-03 00:23:37.052000+00:00,60859.01640106458
,2025 NV360,000000ISe7y1,23.082,,Lg,226.5087959,-40.8435575,2025-07-03 00:29:54.305000+00:00,60859.02076741913
,2025 NV360,000000ISe7y1,22.814,,Lg,226.5087455,-40.8434732,2025-07-03 00:30:34.004000+00:00,60859.0212268983
,2025 NV360,000000ISe7y1,22.795,,Lg,226.5087061,-40.8434752,2025-07-03 00:31:12.457000+00:00,60859.02167195594
,2025 NV360,000000ISe7y1,22.997,,Lg,226.5087307,-40.8433994,2025-07-03 00:31:49.975000+00:00,60859.022106192075
,2025 NV360,000000ISe7y1,23.154,,Lg,226.5086474,-40.8434085,2025-07-03 00:32:30.825000+00:00,60859.02257899288
,2025 NV360,000000ISe7y2,22.189,,Li,226.4766977,-40.7306205,2025-07-03 23:34:19.669000+00:00,60859.98217209475
,2025 NV360,000000ISe7y2,22.67,,Li,226.4766699,-40.7305531,2025-07-03 23:34:58.989000+00:00,60859.98262718739
,2025 NV360,000000ISe7y2,22.299,,Li,226.4766206,-40.7305307,2025-07-03 23:35:38.740000+00:00,60859.98308726866
,2025 NV360,000000ISe7y2,22.332,,Li,226.4765867,-40.7304363,2025-07-03 23:36:57.587000+00:00,60859.98399984976
,2025 NV360,000000ISe7y2,22.144,,Li,226.4765642,-40.7302607,2025-07-03 23:38:56.293000+00:00,60859.985373761505
,2025 NV360,000000ISe7y2,22.454,,Li,226.476537,-40.7301569,2025-07-03 23:39:35.893000+00:00,60859.98583209468
,2025 NV360,000000ISe7y2,22.517,,Li,226.4763973,-40.7297548,2025-07-03 23:44:55.671000+00:00,60859.989533229265
,2025 NV360,000000ISe7y2,22.313,,Li,226.4762758,-40.7295819,2025-07-03 23:47:35.285000+00:00,60859.9913806133
,2025 NV360,000000ISe7y2,22.157,,Li,226.476303,-40.7295436,2025-07-03 23:48:14.503000+00:00,60859.991834525485
,2025 NV360,000000ISe7y2,22.58,,Li,226.4762679,-40.729411,2025-07-03 23:49:35.655000+00:00,60859.99277378479
,2025 NV360,000000ISe7y2,22.286,,Li,226.4762352,-40.7292735,2025-07-03 23:50:55.369000+00:00,60859.99369640043
,2025 NV360,000000ISe7y2,22.534,,Li,226.4762279,-40.7292176,2025-07-03 23:52:14.224000+00:00,60859.9946090742
,2025 NV360,000000ISe7y2,23.225,,Lg,226.4760621,-40.7287,2025-07-03 23:57:57.061000+00:00,60859.9985770951
,2025 NV360,000000ISe7y2,22.916,,Lg,226.4761249,-40.7286013,2025-07-03 23:59:17.327000+00:00,60859.999506099615
,2025 NV360,000000ISe7y2,23.063,,Lg,226.4756237,-40.7275588,2025-07-04 00:12:37.550000+00:00,60860.00876793964
,2025 NV360,000000ISe7y2,22.71,,Lr,226.4737685,-40.7216136,2025-07-04 01:25:15.646000+00:00,60860.05920886574
,2025 NV360,000000ISe7y3,21.945,,Li,226.4397923,-40.0435672,2025-07-09 23:03:32.300000+00:00,60865.96079050936
,2025 NV360,000000ISe7y3,22.188,,Li,226.4398625,-40.0435573,2025-07-09 23:04:11.812000+00:00,60865.96124782413
,2025 NV360,000000ISe7y3,22.5,,Li,226.4398166,-40.0431723,2025-07-09 23:08:09.169000+00:00,60865.96399501152
,2025 NV360,000000ISe7y3,22.165,,Li,226.439885,-40.0431893,2025-07-09 23:08:48.872000+00:00,60865.96445453726
,2025 NV360,000000ISe7y3,22.428,,Li,226.4398006,-40.0429905,2025-07-09 23:10:47.225000+00:00,60865.96582436329
,2025 NV360,000000ISe7y3,22.342,,Li,226.4398694,-40.0429974,2025-07-09 23:11:26.777000+00:00,60865.966282141395
,2025 NV360,000000ISe7y3,22.372,,Li,226.4399625,-40.0425455,2025-07-09 23:16:45.665000+00:00,60865.96997297462
,2025 NV360,000000ISe7y3,22.231,,Li,226.4399413,-40.0425398,2025-07-09 23:17:24.995000+00:00,60865.97042818274
,2025 NV360,000000ISe7y3,22.39,,Li,226.4399359,-40.0424216,2025-07-09 23:18:44.862000+00:00,60865.97135256929
,2025 NV360,000000ISe7y3,22.253,,Li,226.4399166,-40.0421085,2025-07-09 23:22:05.424000+00:00,60865.97367388895
,2025 NV360,000000ISe7y3,22.322,,Lz,226.4401207,-40.0398809,2025-07-09 23:51:24.712000+00:00,60865.99403601838
,2025 NV360,000000ISe7y3,22.402,,Lz,226.4401135,-40.0396163,2025-07-09 23:54:58.172000+00:00,60865.9965066202
,2025 NV360,000000ISe7y3,22.483,,Lz,226.4402089,-40.0392177,2025-07-10 00:00:19.457000+00:00,60866.00022519659
,2025 NV360,000000ISe7y3,22.497,,Lz,226.4402557,-40.0391083,2025-07-10 00:01:39.375000+00:00,60866.0011501736
,2025 NV360,000000ISe7y3,22.6,,Lz,226.440213,-40.0386017,2025-07-10 00:08:00.177000+00:00,60866.005557604134
,2025 NV360,000000ISe7y3,22.295,,Lz,226.4402789,-40.0384008,2025-07-10 00:10:51.013000+00:00,60866.00753487274
,2025 NV360,000000ISe7y4,22.538,,Lr,226.6813361,-39.3859703,2025-07-16 00:08:29.913000+00:00,60872.005901770666
,2025 NV360,000000ISe7y4,23.034,,Lr,226.6813692,-39.3858023,2025-07-16 00:09:55.079000+00:00,60872.00688748853
,2025 NV360,000000ISe7y4,22.823,,Lr,226.6815958,-39.3855223,2025-07-16 00:14:50.993000+00:00,60872.01031241892
,2025 NV360,000000ISe7y4,22.637,,Lr,226.6816083,-39.3854724,2025-07-16 00:15:28.786000+00:00,60872.01074983785
,2025 NV360,000000ISe7y5,22.592,,Lr,226.7454225,-39.2849668,2025-07-16 23:21:18.788000+00:00,60872.97313412046
,2025 NV360,000000ISe7y5,22.789,,Lr,226.7454717,-39.2848703,2025-07-16 23:22:38.032000+00:00,60872.974051296245
,2025 NV360,000000ISe7y5,22.734,,Lr,226.7455222,-39.2848545,2025-07-16 23:23:17.646000+00:00,60872.97450979147
,2025 NV360,000000ISe7y5,22.681,,Lr,226.7455758,-39.2847349,2025-07-16 23:24:37.310000+00:00,60872.97543182876
,2025 NV360,000000ISe7y5,22.838,,Lr,226.7456837,-39.2845465,2025-07-16 23:27:19.857000+00:00,60872.9773131595
,2025 NV360,000000ISe7y5,22.798,,Lr,226.7457807,-39.2843432,2025-07-16 23:30:02.255000+00:00,60872.97919276636
,2025 NV360,000000ISe7y5,22.804,,Lr,226.7458222,-39.2843105,2025-07-16 23:30:41.752000+00:00,60872.979649907444
,2025 NV360,000000ISe7y5,22.772,,Lr,226.7458481,-39.2842609,2025-07-16 23:31:21.269000+00:00,60872.98010727996
,2025 NV360,000000ISe7y5,22.821,,Lr,226.7458738,-39.2842389,2025-07-16 23:32:00.884000+00:00,60872.98056578683
,2025 NV360,000000ISe7y5,22.744,,Lr,226.745913,-39.2841717,2025-07-16 23:32:41.235000+00:00,60872.9810328125
,2025 NV360,000000ISe7y5,22.669,,Lr,226.746013,-39.2840131,2025-07-16 23:34:44.080000+00:00,60872.982454629615
,2025 NV360,000000ISe7y5,22.729,,Lr,226.7460316,-39.2839666,2025-07-16 23:35:24.260000+00:00,60872.982919675764
,2025 NV360,000000ISe7y5,22.637,,Lr,226.7460654,-39.2839261,2025-07-16 23:36:04.728000+00:00,60872.98338805558
,2025 NV360,000000ISe7y5,22.749,,Lr,226.7460965,-39.2838586,2025-07-16 23:36:44.628000+00:00,60872.98384986119
,2025 NV360,000000ISe7y5,22.643,,Lr,226.7461001,-39.2837912,2025-07-16 23:37:27.240000+00:00,60872.984343055636
,2025 NV360,000000ISe7y5,22.761,,Lr,226.7461737,-39.283771,2025-07-16 23:38:10.722000+00:00,60872.98484631954
,2025 NV360,000000ISe7y5,22.731,,Lr,226.7461592,-39.2836986,2025-07-16 23:38:55.159000+00:00,60872.985360636376
,2025 NV360,000000ISe7y5,22.739,,Lr,226.7462399,-39.2836031,2025-07-16 23:40:15.612000+00:00,60872.98629180575
,2025 NV360,000000ISe7y5,22.745,,Lr,226.7462848,-39.2835517,2025-07-16 23:40:57.472000+00:00,60872.986776296515
,2025 NV360,000000ISe7y5,23.402,,Lg,226.7463947,-39.2833784,2025-07-16 23:43:45.845000+00:00,60872.9887250578
,2025 NV360,000000ISe7y5,23.35,,Lg,226.7464809,-39.2832002,2025-07-16 23:45:47.202000+00:00,60872.9901296529
,2025 NV360,000000ISe7y5,23.367,,Lg,226.7465767,-39.2830526,2025-07-16 23:48:02.091000+00:00,60872.991690868046
,2025 NV360,000000ISe7y5,23.229,,Lg,226.7465971,-39.2830382,2025-07-16 23:48:44.926000+00:00,60872.99218664365
,2025 NV360,000000ISe7y5,23.13,,Lg,226.7466455,-39.2829464,2025-07-16 23:49:24.350000+00:00,60872.99264294002
,2025 NV360,000000ISe7y5,23.178,,Lg,226.7466657,-39.2829043,2025-07-16 23:50:03.872000+00:00,60872.99310037028
,2025 NV360,000000ISe7y5,23.156,,Lg,226.7466818,-39.282875,2025-07-16 23:50:44.806000+00:00,60872.99357414339
,2025 NV360,000000ISe7y5,23.38,,Lg,226.7467236,-39.2828283,2025-07-16 23:51:22.569000+00:00,60872.9940112154
,2025 NV360,000000ISe7y5,23.245,,Lg,226.746757,-39.2827892,2025-07-16 23:52:02.637000+00:00,60872.99447496515
