permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NX360,000000ISeAV1,22.577,,Li,225.3607341,-41.3788532,2025-07-02 23:19:02.590000+00:00,60858.97155775456
,2025 NX360,000000ISeAV1,22.7,,Li,225.3606565,-41.3787086,2025-07-02 23:22:52.800000+00:00,60858.97422222234
,2025 NX360,000000ISeAV1,22.358,,Li,225.3607698,-41.3784184,2025-07-02 23:24:48.510000+00:00,60858.97556145815
,2025 NX360,000000ISeAV1,22.482,,Li,225.3606354,-41.3760934,2025-07-02 23:55:43.252000+00:00,60858.9970283797
,2025 NX360,000000ISeAV1,22.573,,Li,225.3606318,-41.3759865,2025-07-02 23:57:41.285000+00:00,60858.99839450233
,2025 NX360,000000ISeAV1,22.422,,Li,225.3605939,-41.3758836,2025-07-02 23:58:59.922000+00:00,60858.99930465268
,2025 NX360,000000ISeAV1,22.637,,Li,225.3605831,-41.375765,2025-07-03 00:00:17.884000+00:00,60859.00020699063
,2025 NX360,000000ISeAV1,23.156,,Lg,225.3605015,-41.3741865,2025-07-03 00:20:56.014000+00:00,60859.014537198935
,2025 NX360,000000ISeAV1,22.874,,Lg,225.3605475,-41.374016,2025-07-03 00:23:37.052000+00:00,60859.01640106458
,2025 NX360,000000ISeAV1,23.164,,Lg,225.3604212,-41.3739278,2025-07-03 00:24:17.708000+00:00,60859.016871620435
,2025 NX360,000000ISeAV1,23.114,,Lg,225.3604889,-41.3734428,2025-07-03 00:30:34.004000+00:00,60859.0212268983
,2025 NX360,000000ISeAV1,23.124,,Lg,225.3603826,-41.3733056,2025-07-03 00:31:49.975000+00:00,60859.022106192075
,2025 NX360,000000ISeAV1,23.051,,Lg,225.3604675,-41.3732469,2025-07-03 00:33:49.732000+00:00,60859.02349226829
,2025 NX360,000000ISeAV2,22.478,,Li,225.3673061,-41.2682145,2025-07-03 23:35:38.740000+00:00,60859.98308726866
,2025 NX360,000000ISeAV2,22.683,,Li,225.3673225,-41.267976,2025-07-03 23:38:56.293000+00:00,60859.985373761505
,2025 NX360,000000ISeAV2,22.443,,Li,225.3673536,-41.2678845,2025-07-03 23:39:35.893000+00:00,60859.98583209468
,2025 NX360,000000ISeAV2,22.302,,Li,225.3673331,-41.2678559,2025-07-03 23:40:55.034000+00:00,60859.98674807884
,2025 NX360,000000ISeAV2,22.19,,Li,225.367361,-41.2677451,2025-07-03 23:41:34.436000+00:00,60859.987204120494
,2025 NX360,000000ISeAV2,22.306,,Li,225.3673296,-41.2674958,2025-07-03 23:44:55.671000+00:00,60859.989533229265
,2025 NX360,000000ISeAV2,22.479,,Li,225.3673599,-41.2673021,2025-07-03 23:47:35.285000+00:00,60859.9913806133
,2025 NX360,000000ISeAV2,22.407,,Li,225.3672634,-41.2671715,2025-07-03 23:49:35.655000+00:00,60859.99277378479
,2025 NX360,000000ISeAV2,22.417,,Li,225.3673969,-41.2670275,2025-07-03 23:50:55.369000+00:00,60859.99369640043
,2025 NX360,000000ISeAV2,22.469,,Li,225.3673557,-41.266997,2025-07-03 23:52:14.224000+00:00,60859.9946090742
,2025 NX360,000000ISeAV2,23.26,,Lg,225.3673188,-41.266557,2025-07-03 23:57:57.061000+00:00,60859.9985770951
,2025 NX360,000000ISeAV2,22.867,,Lg,225.3674437,-41.2664456,2025-07-03 23:59:17.327000+00:00,60859.999506099615
,2025 NX360,000000ISeAV2,23.172,,Lg,225.3673871,-41.2661065,2025-07-04 00:03:23.565000+00:00,60860.00235607661
,2025 NX360,000000ISeAV2,23.038,,Lg,225.3673074,-41.2656992,2025-07-04 00:08:25.314000+00:00,60860.005848541856
,2025 NX360,000000ISeAV2,23.176,,Lg,225.3673792,-41.2653556,2025-07-04 00:13:16.761000+00:00,60860.0092217708
,2025 NX360,000000ISeAV3,22.694,,Lr,226.0820486,-40.0377552,2025-07-16 00:07:50.498000+00:00,60872.0054455786
,2025 NX360,000000ISeAV3,22.433,,Lr,226.0821396,-40.0376389,2025-07-16 00:09:08.951000+00:00,60872.006353599485
,2025 NX360,000000ISeAV3,22.899,,Lr,226.0820901,-40.037749,2025-07-16 00:09:55.079000+00:00,60872.00688748853
,2025 NX360,000000ISeAV3,22.744,,Lr,226.0824532,-40.0373358,2025-07-16 00:14:50.993000+00:00,60872.01031241892
,2025 NX360,000000ISeAV3,22.731,,Lr,226.0825328,-40.0372961,2025-07-16 00:15:28.786000+00:00,60872.01074983785
,2025 NX360,000000ISeAV4,22.785,,Lr,226.1880872,-39.9469943,2025-07-16 23:21:18.788000+00:00,60872.97313412046
,2025 NX360,000000ISeAV4,22.689,,Lr,226.1881355,-39.9469277,2025-07-16 23:22:38.032000+00:00,60872.974051296245
,2025 NX360,000000ISeAV4,22.681,,Lr,226.1881831,-39.9468487,2025-07-16 23:23:17.646000+00:00,60872.97450979147
,2025 NX360,000000ISeAV4,22.776,,Lr,226.1881703,-39.9468379,2025-07-16 23:23:57.335000+00:00,60872.974969155155
,2025 NX360,000000ISeAV4,22.901,,Lr,226.1882817,-39.9467594,2025-07-16 23:24:37.310000+00:00,60872.97543182876
,2025 NX360,000000ISeAV4,22.847,,Lr,226.1884484,-39.9465995,2025-07-16 23:27:19.857000+00:00,60872.9773131595
,2025 NX360,000000ISeAV4,22.916,,Lr,226.1885044,-39.9465698,2025-07-16 23:27:59.550000+00:00,60872.977772569284
,2025 NX360,000000ISeAV4,22.956,,Lr,226.1885599,-39.9465109,2025-07-16 23:28:38.984000+00:00,60872.97822898161
,2025 NX360,000000ISeAV4,22.877,,Lr,226.1886546,-39.9464762,2025-07-16 23:29:18.298000+00:00,60872.978684004396
,2025 NX360,000000ISeAV4,22.906,,Lr,226.1886779,-39.9464201,2025-07-16 23:30:02.255000+00:00,60872.97919276636
,2025 NX360,000000ISeAV4,23.083,,Lr,226.1887379,-39.9463837,2025-07-16 23:30:41.752000+00:00,60872.979649907444
,2025 NX360,000000ISeAV4,22.98,,Lr,226.188876,-39.9462385,2025-07-16 23:32:41.235000+00:00,60872.9810328125
,2025 NX360,000000ISeAV4,22.896,,Lr,226.18895,-39.946159,2025-07-16 23:34:00.593000+00:00,60872.98195130797
,2025 NX360,000000ISeAV4,22.909,,Lr,226.189012,-39.9460945,2025-07-16 23:34:44.080000+00:00,60872.982454629615
,2025 NX360,000000ISeAV4,23.008,,Lr,226.1891115,-39.9460244,2025-07-16 23:36:04.728000+00:00,60872.98338805558
,2025 NX360,000000ISeAV4,23.21,,Lr,226.1891702,-39.945969,2025-07-16 23:36:44.628000+00:00,60872.98384986119
,2025 NX360,000000ISeAV4,22.917,,Lr,226.1892146,-39.9459352,2025-07-16 23:37:27.240000+00:00,60872.984343055636
,2025 NX360,000000ISeAV4,22.964,,Lr,226.1892798,-39.9458958,2025-07-16 23:38:10.722000+00:00,60872.98484631954
,2025 NX360,000000ISeAV4,22.876,,Lr,226.1893331,-39.9458523,2025-07-16 23:38:55.159000+00:00,60872.985360636376
,2025 NX360,000000ISeAV4,22.984,,Lr,226.1894177,-39.9457291,2025-07-16 23:40:15.612000+00:00,60872.98629180575
,2025 NX360,000000ISeAV4,23.638,,Lg,226.1897089,-39.9455361,2025-07-16 23:44:25.064000+00:00,60872.98917898163
,2025 NX360,000000ISeAV4,23.656,,Lg,226.189777,-39.9454637,2025-07-16 23:45:05.137000+00:00,60872.98964278912
,2025 NX360,000000ISeAV4,23.38,,Lg,226.1898304,-39.9454396,2025-07-16 23:45:47.202000+00:00,60872.9901296529
,2025 NX360,000000ISeAV4,23.56,,Lg,226.1899459,-39.9453179,2025-07-16 23:47:14.075000+00:00,60872.99113512738
,2025 NX360,000000ISeAV4,23.564,,Lg,226.1900241,-39.9452384,2025-07-16 23:48:44.926000+00:00,60872.99218664365
,2025 NX360,000000ISeAV4,23.544,,Lg,226.1900989,-39.9451919,2025-07-16 23:49:24.350000+00:00,60872.99264294002
,2025 NX360,000000ISeAV4,23.53,,Lg,226.1901545,-39.9451638,2025-07-16 23:50:03.872000+00:00,60872.99310037028
,2025 NX360,000000ISeAV4,23.417,,Lg,226.1902494,-39.9450378,2025-07-16 23:51:22.569000+00:00,60872.9940112154
,2025 NX360,000000ISeAV4,23.699,,Lg,226.1902917,-39.9450083,2025-07-16 23:52:02.637000+00:00,60872.99447496515
,2025 NX360,000000ISeAV4,23.667,,Lg,226.1903112,-39.9449635,2025-07-16 23:52:46.790000+00:00,60872.99498599535
,2025 NX360,000000ISeAV4,23.679,,Lg,226.1903919,-39.9448706,2025-07-16 23:54:10.244000+00:00,60872.99595189793
,2025 NX360,000000ISeAV4,23.716,,Lg,226.190495,-39.9448065,2025-07-16 23:55:36.068000+00:00,60872.99694523169
,2025 NX360,000000ISeAV4,23.59,,Lg,226.1905729,-39.9447329,2025-07-16 23:56:17.368000+00:00,60872.997423240915
,2025 NX360,000000ISeAV4,23.765,,Lg,226.1906753,-39.9446826,2025-07-16 23:56:55.383000+00:00,60872.997863229364
,2025 NX360,000000ISeAV4,23.707,,Lg,226.1906676,-39.9446451,2025-07-16 23:57:36.154000+00:00,60872.99833511561
,2025 NX360,000000ISeAV4,23.777,,Lg,226.1907321,-39.9446143,2025-07-16 23:58:15.931000+00:00,60872.9987954977
,2025 NX360,000000ISeAV4,23.558,,Lg,226.1908112,-39.9445661,2025-07-16 23:58:56.112000+00:00,60872.99926055549
,2025 NX360,000000ISeAV4,23.796,,Lg,226.1908229,-39.9445128,2025-07-16 23:59:33.733000+00:00,60872.999695983715
,2025 NX360,000000ISeAV4,23.684,,Lg,226.1911423,-39.9442436,2025-07-17 00:04:07.592000+00:00,60873.00286564836
,2025 NX360,000000ISeAV4,22.831,,Li,226.2055861,-39.9313255,2025-07-17 03:20:44.410000+00:00,60873.13940289337
,2025 NX360,000000ISeAV4,23.058,,Li,226.2056919,-39.9312329,2025-07-17 03:22:03.636000+00:00,60873.140319861006
,2025 NX360,000000ISeAV4,22.583,,Li,226.2057049,-39.9311539,2025-07-17 03:22:43.255000+00:00,60873.14077841444
,2025 NX360,000000ISeAV4,22.749,,Li,226.2058432,-39.9310691,2025-07-17 03:24:02.483000+00:00,60873.14169540489
,2025 NX360,000000ISeAV4,22.657,,Li,226.2059865,-39.9310107,2025-07-17 03:26:01.248000+00:00,60873.143070000224
,2025 NX360,000000ISeAV4,22.838,,Li,226.2061941,-39.9308048,2025-07-17 03:28:39.378000+00:00,60873.14490020834
,2025 NX360,000000ISeAV4,22.87,,Li,226.2061995,-39.930762,2025-07-17 03:29:18.891000+00:00,60873.145357534755
,2025 NX360,000000ISeAV4,22.724,,Li,226.2062761,-39.9306774,2025-07-17 03:29:58.491000+00:00,60873.14581586793
,2025 NX360,000000ISeAV4,22.687,,Li,226.2063674,-39.9305851,2025-07-17 03:31:17.712000+00:00,60873.14673277782
,2025 NX360,000000ISeAV4,22.894,,Li,226.2065421,-39.9305648,2025-07-17 03:31:57.380000+00:00,60873.147191897966
,2025 NX360,000000ISeAV4,22.682,,Li,226.2065992,-39.9304389,2025-07-17 03:33:55.646000+00:00,60873.1485607177
,2025 NX360,000000ISeAV4,22.709,,Li,226.2066574,-39.930369,2025-07-17 03:34:35.157000+00:00,60873.149018020835
,2025 NX360,000000ISeAV4,22.494,,Li,226.2066947,-39.9303559,2025-07-17 03:35:14.561000+00:00,60873.149474085774
,2025 NX360,000000ISeAV4,22.627,,Li,226.2068006,-39.9302475,2025-07-17 03:36:33.402000+00:00,60873.15038659703
,2025 NX360,000000ISeAV4,22.836,,Li,226.2068848,-39.9301592,2025-07-17 03:37:12.734000+00:00,60873.1508418289
,2025 NX360,000000ISeAV4,22.713,,Li,226.206938,-39.930074,2025-07-17 03:39:11.435000+00:00,60873.1522156829
,2025 NX360,000000ISeAV4,22.691,,Li,226.2070492,-39.9300598,2025-07-17 03:39:50.951000+00:00,60873.152673043776
,2025 NX360,000000ISeAV4,23.394,,Lg,226.2073383,-39.9298073,2025-07-17 03:43:27.360000+00:00,60873.15517777763
,2025 NX360,000000ISeAV4,23.469,,Lg,226.2074365,-39.9296396,2025-07-17 03:44:46.790000+00:00,60873.156097106636
,2025 NX360,000000ISeAV4,23.561,,Lg,226.2076275,-39.9295389,2025-07-17 03:47:25.072000+00:00,60873.15792907402
,2025 NX360,000000ISeAV4,23.464,,Lg,226.2076891,-39.9294662,2025-07-17 03:48:43.695000+00:00,60873.15883906232
,2025 NX360,000000ISeAV4,23.326,,Lg,226.2077242,-39.9293978,2025-07-17 03:49:23.211000+00:00,60873.15929642366
,2025 NX360,000000ISeAV4,23.363,,Lg,226.2078496,-39.9293604,2025-07-17 03:50:02.893000+00:00,60873.159755705856
,2025 NX360,000000ISeAV4,23.518,,Lg,226.2079081,-39.9293027,2025-07-17 03:50:42.387000+00:00,60873.16021281248
,2025 NX360,000000ISeAV4,23.415,,Lg,226.2079033,-39.9293244,2025-07-17 03:51:21.716000+00:00,60873.16066800943
,2025 NX360,000000ISeAV4,23.568,,Lg,226.2080057,-39.9291507,2025-07-17 03:52:40.926000+00:00,60873.16158479173
,2025 NX360,000000ISeAV4,23.432,,Lg,226.2080908,-39.9291041,2025-07-17 03:53:59.764000+00:00,60873.162497268524
,2025 NX360,000000ISeAV4,23.676,,Lg,226.2081568,-39.9290421,2025-07-17 03:54:39.261000+00:00,60873.16295440961
,2025 NX360,000000ISeAV4,23.47,,Lg,226.2082191,-39.9289699,2025-07-17 03:55:18.766000+00:00,60873.163411643356
,2025 NX360,000000ISeAV4,23.497,,Lg,226.2083797,-39.9289284,2025-07-17 03:56:37.618000+00:00,60873.1643242822
,2025 NX360,000000ISeAV4,23.482,,Lg,226.208421,-39.9288867,2025-07-17 03:57:17.028000+00:00,60873.164780416526
,2025 NX360,000000ISeAV4,23.553,,Lg,226.2084336,-39.9288284,2025-07-17 03:57:56.729000+00:00,60873.16523991898
,2025 NX360,000000ISeAV4,23.472,,Lg,226.2084769,-39.9286961,2025-07-17 03:59:15.578000+00:00,60873.166152523365
,2025 NX360,000000ISeAV4,23.265,,Lg,226.2086303,-39.9285472,2025-07-17 04:01:53.593000+00:00,60873.16798140062
,2025 NX360,000000ISeAV4,22.939,,Lr,226.2089226,-39.9283462,2025-07-17 04:05:01.393000+00:00,60873.17015501158
,2025 NX360,000000ISeAV4,22.862,,Lr,226.2092499,-39.9281089,2025-07-17 04:08:19.387000+00:00,60873.17244660901
,2025 NX360,000000ISeAV4,22.815,,Lr,226.2095007,-39.9278555,2025-07-17 04:12:17.405000+00:00,60873.17520144675
,2025 NX360,000000ISeAV4,22.738,,Lr,226.2096338,-39.9277736,2025-07-17 04:12:57.100000+00:00,60873.17566087982
,2025 NX360,000000ISeAV4,22.92,,Lr,226.2096796,-39.9277155,2025-07-17 04:14:16.114000+00:00,60873.176575393416
,2025 NX360,000000ISeAV4,22.798,,Lr,226.2097278,-39.9276732,2025-07-17 04:14:55.634000+00:00,60873.17703280086
,2025 NX360,000000ISeAV4,22.848,,Lr,226.2097874,-39.9276614,2025-07-17 04:15:35.385000+00:00,60873.177492882125
,2025 NX360,000000ISeAV4,22.8,,Lr,226.2098745,-39.9275501,2025-07-17 04:16:55.266000+00:00,60873.178417430725
,2025 NX360,000000ISeAV4,22.914,,Lr,226.209879,-39.9274699,2025-07-17 04:17:34.867000+00:00,60873.17887577554
,2025 NX360,000000ISeAV4,22.933,,Lr,226.2100059,-39.927478,2025-07-17 04:18:14.101000+00:00,60873.1793298726
,2025 NX360,000000ISeAV4,23.178,,Lr,226.2099504,-39.9274475,2025-07-17 04:18:53.611000+00:00,60873.179787164554
,2025 NX360,000000ISeAV4,22.674,,Lr,226.2100691,-39.9273952,2025-07-17 04:19:33.131000+00:00,60873.18024457153
,2025 NX360,000000ISeAV4,22.98,,Lr,226.2101369,-39.9273131,2025-07-17 04:20:12.550000+00:00,60873.18070081016
,2025 NX360,000000ISeAV4,22.845,,Lr,226.2102137,-39.9272947,2025-07-17 04:20:52.170000+00:00,60873.18115937477
,2025 NX360,000000ISeAV4,22.82,,Lr,226.2101693,-39.9272532,2025-07-17 04:21:31.676000+00:00,60873.18161662016
,2025 NX360,000000ISeAV4,23.046,,Lr,226.2103113,-39.9271945,2025-07-17 04:22:50.735000+00:00,60873.1825316553
,2025 NX360,000000ISeAV4,22.988,,Lr,226.2103656,-39.9270777,2025-07-17 04:24:09.233000+00:00,60873.18344019679
,2025 NX360,000000ISeAV4,22.306,,Lz,226.2129391,-39.9248635,2025-07-17 04:56:22.572000+00:00,60873.20581680536
