permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
223938,2004 XV13,000000IZXAJ1,20.328,0.0156,Li,269.8452287,-23.926907,2025-04-26 06:41:27.333000+00:00,60791.27878857637
223938,2004 XV13,000000IZXAJ1,20.348,0.0162,Li,269.8451733,-23.9269593,2025-04-26 06:42:58.974000+00:00,60791.2798492359
223938,2004 XV13,000000IZXAJ1,20.344,0.0179,Li,269.8450937,-23.9270409,2025-04-26 06:45:17.173000+00:00,60791.28144876147
223938,2004 XV13,000000IZXAJ1,20.348,0.0165,Li,269.845049,-23.9270927,2025-04-26 06:46:47.725000+00:00,60791.282496816944
223938,2004 XV13,000000IZXAJ1,20.336,0.0165,Li,269.8449658,-23.9271721,2025-04-26 06:49:05.681000+00:00,60791.28409352992
223938,2004 XV13,000000IZXAJ2,22.246,0.0948,Lu,269.4890216,-24.2224055,2025-05-02 04:49:29.803000+00:00,60797.20103938645
223938,2004 XV13,000000IZXAJ2,21.975,0.0779,Lu,269.4887916,-24.222575,2025-05-02 04:53:46.115000+00:00,60797.20400596084
223938,2004 XV13,000000IZXAJ2,22.097,0.0743,Lu,269.4886712,-24.2226688,2025-05-02 04:56:25.909000+00:00,60797.20585542824
223938,2004 XV13,000000IZXAJ2,22.14,0.0767,Lu,269.4885793,-24.222711,2025-05-02 04:58:10.655000+00:00,60797.20706776623
223938,2004 XV13,000000IZXAJ2,22.089,0.0796,Lu,269.4883461,-24.2228843,2025-05-02 05:02:28.308000+00:00,60797.21004986111
223938,2004 XV13,000000IZXAJ2,22.17,0.0893,Lu,269.4882543,-24.2229697,2025-05-02 05:05:02.987000+00:00,60797.21184012713
223938,2004 XV13,000000IZXAJ2,22.153,0.1031,Lu,269.4879406,-24.2230977,2025-05-02 05:08:30.623000+00:00,60797.21424332168
223938,2004 XV13,000000IZXAJ2,22.161,0.0903,Lu,269.4879247,-24.2231276,2025-05-02 05:09:21.118000+00:00,60797.214827754535
223938,2004 XV13,000000IZXAJ2,22.323,0.0946,Lu,269.4878732,-24.2231888,2025-05-02 05:11:04.220000+00:00,60797.21602106467
223938,2004 XV13,000000IZXAJ2,22.012,0.0799,Lu,269.4876129,-24.2233881,2025-05-02 05:15:32.704000+00:00,60797.219128518365
223938,2004 XV13,000000IZXAJ2,22.131,0.0797,Lu,269.4873605,-24.2235056,2025-05-02 05:19:52.111000+00:00,60797.22213091422
223938,2004 XV13,000000IZXAJ2,22.114,0.0746,Lu,269.4872258,-24.2235867,2025-05-02 05:22:24.375000+00:00,60797.223893229384
223938,2004 XV13,000000IZXAJ2,22.252,0.0789,Lu,269.4871728,-24.2236448,2025-05-02 05:24:06.806000+00:00,60797.22507877322
223938,2004 XV13,000000IZXAJ2,22.291,0.0948,Lu,269.486997,-24.2237628,2025-05-02 05:26:42.961000+00:00,60797.22688612249
223938,2004 XV13,000000IZXAJ2,22.108,0.0683,Lu,269.4868951,-24.2237849,2025-05-02 05:28:24.979000+00:00,60797.228066886775
223938,2004 XV13,000000IZXAJ2,22.234,0.0831,Lu,269.4867744,-24.2238871,2025-05-02 05:30:58.082000+00:00,60797.22983891191
223938,2004 XV13,000000IZXAJ2,22.17,0.0694,Lu,269.486661,-24.2239502,2025-05-02 05:32:39.310000+00:00,60797.23101053247
223938,2004 XV13,000000IZXAJ2,22.104,0.0879,Lu,269.4865956,-24.2240441,2025-05-02 05:34:21.642000+00:00,60797.23219493078
223938,2004 XV13,000000IZXAJ2,22.159,0.0699,Lu,269.4865193,-24.2240603,2025-05-02 05:35:14.371000+00:00,60797.232805219945
223938,2004 XV13,000000IZXAJ2,22.208,0.0766,Lu,269.4864593,-24.224132,2025-05-02 05:36:58.827000+00:00,60797.234014201444
223938,2004 XV13,000000IZXAJ2,22.151,0.0704,Lu,269.4861911,-24.2242798,2025-05-02 05:41:19.412000+00:00,60797.237030231394
223938,2004 XV13,000000IZXAJ2,22.221,0.0769,Lu,269.4859451,-24.2244481,2025-05-02 05:45:38.743000+00:00,60797.24003174761
223938,2004 XV13,000000IZXAJ2,22.235,0.0765,Lu,269.4858333,-24.224554,2025-05-02 05:48:14.005000+00:00,60797.24182876153
223938,2004 XV13,000000IZXAJ2,22.092,0.0643,Lu,269.4857324,-24.2245716,2025-05-02 05:49:57.030000+00:00,60797.24302118039
223938,2004 XV13,000000IZXAJ2,22.065,0.0848,Lu,269.4855888,-24.2246803,2025-05-02 05:52:32.289000+00:00,60797.244818159845
223938,2004 XV13,000000IZXAJ2,22.046,0.0613,Lu,269.4855004,-24.2247596,2025-05-02 05:54:17.652000+00:00,60797.246037638746
223938,2004 XV13,000000IZXAJ2,22.057,0.071,Lu,269.4853464,-24.2248339,2025-05-02 05:56:53.184000+00:00,60797.247837777715
223938,2004 XV13,000000IZXAJ2,22.08,0.0754,Lu,269.4851462,-24.2249587,2025-05-02 06:00:21.619000+00:00,60797.25025021983
223938,2004 XV13,000000IZXAJ2,22.213,0.0696,Lu,269.4850728,-24.2249865,2025-05-02 06:01:11.097000+00:00,60797.25082288217
223938,2004 XV13,000000IZXAJ2,22.18,0.0723,Lu,269.4849865,-24.2250722,2025-05-02 06:02:55.038000+00:00,60797.25202590274
