permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2003 TJ63,000000IZUlj1,22.972,0.1908,Lu,269.4494161,-22.0969958,2025-05-02 04:49:29.803000+00:00,60797.20103938645
,2003 TJ63,000000IZUlj1,22.676,0.164,Lu,269.4498603,-22.0972435,2025-05-02 04:56:25.909000+00:00,60797.20585542824
,2003 TJ63,000000IZUlj1,22.849,0.1585,Lu,269.450792,-22.0977091,2025-05-02 05:09:21.118000+00:00,60797.214827754535
,2003 TJ63,000000IZUlj1,22.996,0.2161,Lu,269.4518285,-22.0982011,2025-05-02 05:22:24.375000+00:00,60797.223893229384
,2003 TJ63,000000IZUlj1,23.018,0.2044,Lu,269.4518921,-22.0982403,2025-05-02 05:24:06.806000+00:00,60797.22507877322
,2003 TJ63,000000IZUlj1,22.802,0.1271,Lu,269.4526294,-22.0986094,2025-05-02 05:32:39.310000+00:00,60797.23101053247
,2003 TJ63,000000IZUlj1,22.799,0.1285,Lu,269.4527203,-22.0986691,2025-05-02 05:35:14.371000+00:00,60797.232805219945
,2003 TJ63,000000IZUlj1,22.726,0.1988,Lu,269.4533918,-22.098997,2025-05-02 05:43:55.011000+00:00,60797.23883114569
,2003 TJ63,000000IZUlj1,23.118,0.2063,Lu,269.4535391,-22.0990039,2025-05-02 05:45:38.743000+00:00,60797.24003174761
,2003 TJ63,000000IZUlj1,23.04,0.1473,Lu,269.4544262,-22.0995679,2025-05-02 05:58:36.949000+00:00,60797.24903876148
,2003 TJ63,000000IZUlj1,23.379,0.2045,Lu,269.4546702,-22.0996551,2025-05-02 06:01:11.097000+00:00,60797.25082288217
,2003 TJ63,000000IZUlj1,21.732,0.0299,Lg,269.4577112,-22.1011639,2025-05-02 06:43:39.281000+00:00,60797.28031575214
,2003 TJ63,000000IZUlj1,21.813,0.0322,Lg,269.4578584,-22.1012368,2025-05-02 06:45:45.280000+00:00,60797.28177407384
,2003 TJ63,000000IZUlj1,21.786,0.0295,Lg,269.4579647,-22.101287,2025-05-02 06:47:11.588000+00:00,60797.282773009036
,2003 TJ63,000000IZUlj1,21.807,0.0286,Lg,269.4581153,-22.1013754,2025-05-02 06:49:20.370000+00:00,60797.284263541456
,2003 TJ63,000000IZUlj1,21.834,0.0319,Lg,269.4582176,-22.101415,2025-05-02 06:50:47.777000+00:00,60797.28527519666
,2003 TJ63,000000IZUlj1,21.843,0.033,Lg,269.4589039,-22.1017391,2025-05-02 07:00:13.568000+00:00,60797.291823703796
,2003 TJ63,000000IZUlj1,21.873,0.0451,Lg,269.4592789,-22.1019544,2025-05-02 07:05:27.233000+00:00,60797.295454085805
,2003 TJ63,000000IZUlj1,21.868,0.0275,Lg,269.4594234,-22.1020071,2025-05-02 07:07:35.779000+00:00,60797.296941886656
,2003 TJ63,000000IZUlj1,21.884,0.0323,Lg,269.4597831,-22.1022024,2025-05-02 07:12:45.477000+00:00,60797.300526353996
,2003 TJ63,000000IZUlj2,21.351,0.0316,Lr,269.562396,-22.1474257,2025-05-03 04:47:56.300000+00:00,60798.19995717611
,2003 TJ63,000000IZUlj2,21.405,0.03,Lr,269.5636669,-22.1481179,2025-05-03 05:06:23.892000+00:00,60798.21277652774
,2003 TJ63,000000IZUlj2,21.393,0.0312,Lr,269.5639074,-22.1482642,2025-05-03 05:10:01.788000+00:00,60798.21529847244
,2003 TJ63,000000IZUlj2,21.437,0.0307,Lr,269.5640027,-22.1483193,2025-05-03 05:11:27.407000+00:00,60798.21628943272
,2003 TJ63,000000IZUlj2,21.395,0.0302,Lr,269.5654699,-22.1491307,2025-05-03 05:33:10.561000+00:00,60798.231372233946
,2003 TJ63,000000IZUlj2,21.479,0.0327,Lr,269.5657051,-22.1492638,2025-05-03 05:36:50.846000+00:00,60798.23392182868
,2003 TJ63,000000IZUlj2,21.486,0.0298,Lr,269.56611,-22.1494957,2025-05-03 05:42:50.083000+00:00,60798.2380796643
,2003 TJ63,000000IZUlj2,21.396,0.0292,Lr,269.5663537,-22.1496281,2025-05-03 05:46:29.569000+00:00,60798.240620011464
,2003 TJ63,000000IZUlj2,21.399,0.028,Lr,269.5664581,-22.1496856,2025-05-03 05:47:57.522000+00:00,60798.24163798615
,2003 TJ63,000000IZUlj2,21.26,0.0309,Li,269.5667828,-22.1498714,2025-05-03 05:52:46.224000+00:00,60798.244979444426
