permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2004 RP249,000000IZVrT1,23.023,0.0892,Lg,268.9687215,-23.7683117,2025-05-02 06:43:39.281000+00:00,60797.28031575214
,2004 RP249,000000IZVrT1,23.091,0.0915,Lg,268.9687064,-23.7682786,2025-05-02 06:45:45.280000+00:00,60797.28177407384
,2004 RP249,000000IZVrT1,22.946,0.0787,Lg,268.9687033,-23.7682778,2025-05-02 06:47:11.588000+00:00,60797.282773009036
,2004 RP249,000000IZVrT1,23.106,0.0778,Lg,268.96866,-23.7682761,2025-05-02 06:49:20.370000+00:00,60797.284263541456
,2004 RP249,000000IZVrT1,22.932,0.0767,Lg,268.9686501,-23.7682689,2025-05-02 06:50:47.777000+00:00,60797.28527519666
,2004 RP249,000000IZVrT1,23.047,0.0738,Lg,268.9686116,-23.7682914,2025-05-02 06:52:56.476000+00:00,60797.28676476842
,2004 RP249,000000IZVrT1,22.944,0.0787,Lg,268.968576,-23.7682575,2025-05-02 06:56:32.799000+00:00,60797.28926850716
,2004 RP249,000000IZVrT1,23.072,0.0739,Lg,268.968572,-23.7682492,2025-05-02 06:58:02.322000+00:00,60797.29030465288
,2004 RP249,000000IZVrT1,23.095,0.088,Lg,268.9685405,-23.7682361,2025-05-02 07:00:13.568000+00:00,60797.291823703796
,2004 RP249,000000IZVrT1,23.054,0.1036,Lg,268.9685427,-23.7682164,2025-05-02 07:01:41.520000+00:00,60797.292841666844
,2004 RP249,000000IZVrT1,23.182,0.0942,Lg,268.9685408,-23.7682228,2025-05-02 07:03:53.066000+00:00,60797.29436418973
,2004 RP249,000000IZVrT1,23.06,0.1295,Lg,268.9685469,-23.7682418,2025-05-02 07:05:27.233000+00:00,60797.295454085805
,2004 RP249,000000IZVrT1,23.238,0.0839,Lg,268.9684958,-23.768234,2025-05-02 07:07:35.779000+00:00,60797.296941886656
,2004 RP249,000000IZVrT1,23.28,0.1094,Lg,268.968519,-23.768251,2025-05-02 07:09:05.233000+00:00,60797.29797723377
,2004 RP249,000000IZVrT1,23.059,0.0768,Lg,268.9684883,-23.7681977,2025-05-02 07:11:13.828000+00:00,60797.2994656018
,2004 RP249,000000IZVrT1,23.017,0.0772,Lg,268.9684129,-23.7681646,2025-05-02 07:12:45.477000+00:00,60797.300526353996
,2004 RP249,000000IZVrT1,23.037,0.0708,Lg,268.9683998,-23.7681795,2025-05-02 07:16:30.079000+00:00,60797.303125914186
,2004 RP249,000000IZVrT1,23.197,0.0778,Lg,268.9683585,-23.7681602,2025-05-02 07:18:42.340000+00:00,60797.304656712804
,2004 RP249,000000IZVrT1,23.186,0.0683,Lg,268.9683855,-23.7681851,2025-05-02 07:20:18.934000+00:00,60797.305774698965
,2004 RP249,000000IZVrT1,23.123,0.0814,Lg,268.9683654,-23.7681246,2025-05-02 07:22:33.322000+00:00,60797.3073301157
,2004 RP249,000000IZVrT1,23.114,0.0767,Lg,268.9683123,-23.7681546,2025-05-02 07:26:20.944000+00:00,60797.30996462982
,2004 RP249,000000IZVrT2,22.355,0.0745,Lr,268.9624284,-23.762278,2025-05-03 04:42:07.554000+00:00,60798.195920764
,2004 RP249,000000IZVrT2,22.524,0.0791,Lr,268.9623645,-23.7622743,2025-05-03 04:45:49.247000+00:00,60798.19848665502
,2004 RP249,000000IZVrT2,22.552,0.0843,Lr,268.9623662,-23.7622496,2025-05-03 04:47:56.300000+00:00,60798.19995717611
,2004 RP249,000000IZVrT2,22.47,0.0869,Lr,268.9623326,-23.7622221,2025-05-03 04:49:26.452000+00:00,60798.201000601985
,2004 RP249,000000IZVrT2,22.417,0.0664,Lr,268.9623012,-23.7622341,2025-05-03 04:51:36.643000+00:00,60798.20250744233
,2004 RP249,000000IZVrT2,22.376,0.0634,Lr,268.9623059,-23.762242,2025-05-03 04:53:03.489000+00:00,60798.20351260435
,2004 RP249,000000IZVrT2,22.465,0.0706,Lr,268.9622556,-23.7622316,2025-05-03 04:55:13.986000+00:00,60798.20502298605
,2004 RP249,000000IZVrT2,22.454,0.0702,Lr,268.9622255,-23.7622199,2025-05-03 04:56:43.833000+00:00,60798.20606288174
,2004 RP249,000000IZVrT2,22.395,0.0652,Lr,268.9622307,-23.7622243,2025-05-03 04:58:59.402000+00:00,60798.207631967496
,2004 RP249,000000IZVrT2,22.443,0.0674,Lr,268.9621999,-23.7622297,2025-05-03 05:00:28.933000+00:00,60798.20866820589
,2004 RP249,000000IZVrT2,22.355,0.0632,Lr,268.962168,-23.7621964,2025-05-03 05:02:37.717000+00:00,60798.21015876159
,2004 RP249,000000IZVrT2,22.347,0.0717,Lr,268.9621418,-23.7622131,2025-05-03 05:04:14.520000+00:00,60798.21127916686
,2004 RP249,000000IZVrT2,22.605,0.0792,Lr,268.962129,-23.7621895,2025-05-03 05:06:23.892000+00:00,60798.21277652774
,2004 RP249,000000IZVrT2,22.387,0.0656,Lr,268.9621179,-23.7621977,2025-05-03 05:07:49.472000+00:00,60798.21376703726
,2004 RP249,000000IZVrT2,22.497,0.0765,Lr,268.9620721,-23.7621844,2025-05-03 05:10:01.788000+00:00,60798.21529847244
,2004 RP249,000000IZVrT2,22.289,0.0602,Lr,268.9620608,-23.7621804,2025-05-03 05:11:27.407000+00:00,60798.21628943272
,2004 RP249,000000IZVrT2,22.504,0.0666,Lr,268.9620568,-23.7621714,2025-05-03 05:13:36.205000+00:00,60798.21778015047
