permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2004 RQ243,000000IZVtw1,22.41,0.0761,Li,319.347201,-18.7201721,2025-06-05 07:11:24.778000+00:00,60831.29959233804
,2004 RQ243,000000IZVtw1,22.458,0.0846,Li,319.347509,-18.7201419,2025-06-05 07:16:32.179000+00:00,60831.30315021984
,2004 RQ243,000000IZVtw1,22.493,0.0802,Li,319.3478083,-18.7200889,2025-06-05 07:21:40.964000+00:00,60831.3067241204
,2004 RQ243,000000IZVtw1,22.413,0.081,Li,319.3481506,-18.7200973,2025-06-05 07:26:54.189000+00:00,60831.310349409934
,2004 RQ243,000000IZVtw1,22.369,0.0889,Li,319.3485342,-18.7200126,2025-06-05 07:32:55.557000+00:00,60831.31453190977
,2004 RQ243,000000IZVtw1,22.862,0.1033,Lg,319.3488396,-18.7200375,2025-06-05 07:38:56.128000+00:00,60831.31870518532
,2004 RQ243,000000IZVtw1,22.45,0.0837,Lr,319.3515291,-18.7198119,2025-06-05 08:23:45.388000+00:00,60831.34983087983
,2004 RQ243,000000IZVtw1,22.569,0.0972,Lr,319.3516866,-18.7198087,2025-06-05 08:24:37.342000+00:00,60831.35043219896
,2004 RQ243,000000IZVtw1,22.534,0.0984,Lr,319.3518316,-18.7197414,2025-06-05 08:29:12.848000+00:00,60831.35362092592
,2004 RQ243,000000IZVtw1,22.454,0.1161,Lr,319.3519247,-18.7196994,2025-06-05 08:30:04.650000+00:00,60831.354220486246
,2004 RQ243,000000IZVtw2,22.486,0.1525,Li,319.6752836,-18.7016756,2025-06-09 07:57:21.175000+00:00,60835.331495081075
,2004 RQ243,000000IZVtw2,22.191,0.108,Li,319.6760112,-18.7016864,2025-06-09 08:13:20.995000+00:00,60835.34260410862
,2004 RQ243,000000IZVtw2,22.45,0.1479,Li,319.6762457,-18.7017004,2025-06-09 08:18:49.279000+00:00,60835.34640369192
,2004 RQ243,000000IZVtw2,22.55,0.1604,Li,319.6762472,-18.7016707,2025-06-09 08:19:40.986000+00:00,60835.34700215282
,2004 RQ243,000000IZVtw2,22.115,0.1575,Lz,319.676673,-18.7017489,2025-06-09 08:26:23.798000+00:00,60835.35166432848
,2004 RQ243,000000IZVtw2,21.924,0.1128,Lz,319.6768065,-18.7016634,2025-06-09 08:32:43.624000+00:00,60835.356060463004
,2004 RQ243,000000IZVtw2,22.017,0.1317,Lz,319.6770376,-18.7016658,2025-06-09 08:37:21.939000+00:00,60835.3592817015
,2004 RQ243,000000IZVtw2,22.369,0.1624,Lz,319.6771319,-18.7016407,2025-06-09 08:38:12.985000+00:00,60835.35987251159
,2004 RQ243,000000IZVtw3,22.473,0.1559,Lz,319.7399647,-18.7015421,2025-06-10 07:10:09.464000+00:00,60836.29872064805
,2004 RQ243,000000IZVtw3,22.272,0.1309,Lz,319.7401753,-18.70155,2025-06-10 07:15:16.953000+00:00,60836.30227954872
,2004 RQ243,000000IZVtw3,22.386,0.1623,Lz,319.7403247,-18.7015421,2025-06-10 07:20:24.541000+00:00,60836.30583959492
,2004 RQ243,000000IZVtw3,22.357,0.2029,Lz,319.7407079,-18.7013096,2025-06-10 07:25:33.131000+00:00,60836.30941123841
,2004 RQ243,000000IZVtw3,22.528,0.1281,Li,319.7410869,-18.7015696,2025-06-10 07:37:58.421000+00:00,60836.31803727988
,2004 RQ243,000000IZVtw3,22.355,0.097,Li,319.741642,-18.7015945,2025-06-10 07:53:38.868000+00:00,60836.328922083136
,2004 RQ243,000000IZVtw3,22.26,0.1082,Li,319.7418557,-18.7015893,2025-06-10 07:58:56.194000+00:00,60836.33259483799
,2004 RQ243,000000IZVtw3,22.325,0.1086,Li,319.7419093,-18.7015855,2025-06-10 07:59:42.382000+00:00,60836.33312942134
,2004 RQ243,000000IZVtw3,22.563,0.1995,Lz,319.742862,-18.7016073,2025-06-10 08:24:12.037000+00:00,60836.3501393171
,2004 RQ243,000000IZVtw3,22.426,0.161,Lz,319.7430917,-18.7016184,2025-06-10 08:29:38.765000+00:00,60836.353920891415
,2004 RQ243,000000IZVtw3,22.615,0.2165,Lz,319.7433602,-18.7016195,2025-06-10 08:37:56.650000+00:00,60836.359683448914
,2004 RQ243,000000IZVtw4,21.94,0.0563,Li,320.0654513,-18.8199163,2025-06-21 05:50:12.887000+00:00,60847.24320471054
,2004 RQ243,000000IZVtw4,21.907,0.0552,Li,320.0654594,-18.8199291,2025-06-21 05:50:52.881000+00:00,60847.2436676044
,2004 RQ243,000000IZVtw4,22.045,0.0372,Lr,320.0651929,-18.8204564,2025-06-21 06:24:42.490000+00:00,60847.26715844916
,2004 RQ243,000000IZVtw4,22.049,0.04,Lr,320.0651928,-18.8204617,2025-06-21 06:25:23.813000+00:00,60847.26763672475
,2004 RQ243,000000IZVtw5,22.07,0.0357,Lr,319.6201685,-19.1581675,2025-07-02 05:23:03.279000+00:00,60858.224343507085
,2004 RQ243,000000IZVtw5,21.668,0.047,Li,319.6186256,-19.158932,2025-07-02 05:49:47.815000+00:00,60858.242914525326
,2004 RQ243,000000IZVtw5,21.759,0.0278,Lr,319.6174608,-19.1595129,2025-07-02 06:09:51.916000+00:00,60858.25685087964
,2004 RQ243,000000IZVtw6,21.624,0.13,Li,319.179174,-19.3711519,2025-07-07 02:38:22.057000+00:00,60863.10997751169
,2004 RQ243,000000IZVtw6,21.963,0.1642,Lz,319.1758929,-19.3726525,2025-07-07 03:22:33.976000+00:00,60863.14067101851
,2004 RQ243,000000IZVtw7,21.788,0.1566,Lz,318.8270899,-19.5224637,2025-07-10 04:45:18.287000+00:00,60866.198128321674
,2004 RQ243,000000IZVtw7,21.516,0.072,Lr,318.8028618,-19.5318345,2025-07-10 09:10:58.302000+00:00,60866.38261923613
,2004 RQ243,000000IZVtw7,21.439,0.075,Li,318.8017647,-19.5322282,2025-07-10 09:23:02.610000+00:00,60866.39100243058
,2004 RQ243,000000IZVtw7,21.436,0.0953,Lz,318.8010547,-19.532505,2025-07-10 09:31:02.760000+00:00,60866.396559722256
,2004 RQ243,000000IZVtw8,21.367,0.0278,Lr,317.4832454,-20.0277593,2025-07-19 08:51:33.644000+00:00,60875.36913939798
,2004 RQ243,000000IZVtw8,21.326,0.0371,Li,317.4818657,-20.0281953,2025-07-19 09:02:52.193000+00:00,60875.37699297443
,2004 RQ243,000000IZVtw9,21.565,0.0285,Lr,317.3125354,-20.0865682,2025-07-20 08:55:13.339000+00:00,60876.37168216426
,2004 RQ243,000000IZVtw9,21.598,0.029,Lr,317.3121271,-20.0866978,2025-07-20 08:58:27.970000+00:00,60876.37393483799
,2004 RQ243,000000IZVtwA,21.477,0.033,Li,317.0122717,-20.1884276,2025-07-22 02:13:50.228000+00:00,60878.09294245392
,2004 RQ243,000000IZVtwA,21.477,0.036,Li,317.0121104,-20.1884829,2025-07-22 02:15:07.686000+00:00,60878.093838958535
,2004 RQ243,000000IZVtwA,21.9,0.0715,Lz,317.0085598,-20.189665,2025-07-22 02:42:56.191000+00:00,60878.113150358666
,2004 RQ243,000000IZVtwA,21.824,0.1139,Lz,317.0083141,-20.1897051,2025-07-22 02:44:14.365000+00:00,60878.114055150654
,2004 RQ243,000000IZVtwA,21.532,0.0598,Lr,316.9597699,-20.2051778,2025-07-22 08:57:36.291000+00:00,60878.37333670119
,2004 RQ243,000000IZVtwA,22.013,0.0634,Lg,316.9558435,-20.2063696,2025-07-22 09:27:54.550000+00:00,60878.39438136574
,2004 RQ243,000000IZVtwB,21.074,0.0232,Li,315.630582,-20.6210796,2025-07-29 08:18:03.435000+00:00,60885.34587309044
,2004 RQ243,000000IZVtwB,21.065,0.0225,Li,315.6293472,-20.6214263,2025-07-29 08:26:42.063000+00:00,60885.35187572939
,2004 RQ243,000000IZVtwB,21.036,0.0328,Lz,315.6257278,-20.6224333,2025-07-29 08:52:05.344000+00:00,60885.369506296236
,2004 RQ243,000000IZVtwB,21.06,0.036,Lz,315.6245201,-20.622756,2025-07-29 09:00:35.563000+00:00,60885.37541160872
,2004 RQ243,000000IZVtwC,21.326,0.1838,Ly,312.9929424,-21.3232738,2025-08-11 07:00:34.378000+00:00,60898.29206456011
,2004 RQ243,000000IZVtwC,21.078,0.0447,Li,312.9896093,-21.3239793,2025-08-11 07:24:08.051000+00:00,60898.30842651613
,2004 RQ243,000000IZVtwC,21.097,0.0484,Li,312.9894253,-21.3240332,2025-08-11 07:25:26.252000+00:00,60898.30933162058
,2004 RQ243,000000IZVtwC,21.088,0.068,Lz,312.9871701,-21.3245305,2025-08-11 07:41:07.642000+00:00,60898.320227338
,2004 RQ243,000000IZVtwC,21.208,0.087,Lz,312.9869777,-21.324554,2025-08-11 07:42:24.967000+00:00,60898.32112230314
,2004 RQ243,000000IZVtwC,21.178,0.0636,Lr,312.9828265,-21.325499,2025-08-11 08:11:13.939000+00:00,60898.34113355307
,2004 RQ243,000000IZVtwC,21.157,0.0594,Lr,312.9827574,-21.3254859,2025-08-11 08:11:54.585000+00:00,60898.34160399297
,2004 RQ243,000000IZVtwC,21.147,0.0712,Li,312.9822631,-21.3255831,2025-08-11 08:15:20.043000+00:00,60898.34398197895
,2004 RQ243,000000IZVtwC,21.049,0.072,Lz,312.9814476,-21.3257731,2025-08-11 08:21:09.503000+00:00,60898.34802665515
,2004 RQ243,000000IZVtwC,20.867,0.1903,Ly,312.9785198,-21.3263683,2025-08-11 08:41:43.689000+00:00,60898.36231121514
,2004 RQ243,000000IZVtwC,20.953,0.2049,Ly,312.9781488,-21.3264569,2025-08-11 08:43:40.768000+00:00,60898.36366629647
,2004 RQ243,000000IZVtwC,20.929,0.2102,Ly,312.9770965,-21.3267839,2025-08-11 08:51:31.976000+00:00,60898.3691200926
,2004 RQ243,000000IZVtwD,21.764,0.0523,Lr,312.3893784,-21.4613656,2025-08-14 08:10:28.141000+00:00,60901.34060348384
,2004 RQ243,000000IZVtwD,21.82,0.0738,Li,312.3869944,-21.4618605,2025-08-14 08:27:51.402000+00:00,60901.352678264026
,2004 RQ243,000000IZVtwE,21.203,0.0428,Li,311.8281635,-21.5819745,2025-08-17 06:49:11.939000+00:00,60904.28416596074
,2004 RQ243,000000IZVtwE,21.203,0.0422,Li,311.8280898,-21.5820095,2025-08-17 06:49:49.983000+00:00,60904.28460628493
,2004 RQ243,000000IZVtwE,21.176,0.0607,Li,311.8223819,-21.583044,2025-08-17 07:32:17.257000+00:00,60904.314088622574
,2004 RQ243,000000IZVtwF,21.668,0.1238,Li,308.9465261,-21.9940355,2025-09-07 05:45:20.689000+00:00,60925.23982278956
,2004 RQ243,000000IZVtwF,21.431,0.1602,Lz,308.9428796,-21.9939259,2025-09-07 06:49:53.956000+00:00,60925.284652268514
,2004 RQ243,000000IZVtwF,21.351,0.2033,Lz,308.9429709,-21.9938733,2025-09-07 06:51:52.387000+00:00,60925.28602299746
,2004 RQ243,000000IZVtwF,21.336,0.1932,Lz,308.9426107,-21.9939869,2025-09-07 06:55:49.133000+00:00,60925.28876311332
,2004 RQ243,000000IZVtwF,21.672,0.1996,Lz,308.9427236,-21.9939569,2025-09-07 06:56:28.739000+00:00,60925.289221516345
,2004 RQ243,000000IZVtwF,21.394,0.1575,Lz,308.9426308,-21.9938471,2025-09-07 06:57:08.525000+00:00,60925.28968200227
,2004 RQ243,000000IZVtwF,21.573,0.1908,Lz,308.9424617,-21.9939225,2025-09-07 06:59:46.207000+00:00,60925.29150702525
,2004 RQ243,000000IZVtwF,21.58,0.2071,Lz,308.9422832,-21.9939206,2025-09-07 07:01:44.119000+00:00,60925.29287174763
,2004 RQ243,000000IZVtwF,21.537,0.1865,Lz,308.9423373,-21.9939305,2025-09-07 07:02:24.003000+00:00,60925.29333336791
,2004 RQ243,000000IZVtwF,21.623,0.1861,Lz,308.9422366,-21.9939003,2025-09-07 07:03:03.705000+00:00,60925.293792882
,2004 RQ243,000000IZVtwF,21.436,0.1743,Lz,308.9422065,-21.9939385,2025-09-07 07:03:43.594000+00:00,60925.29425456002
,2004 RQ243,000000IZVtwF,21.36,0.1606,Lz,308.9420055,-21.9938535,2025-09-07 07:05:42.701000+00:00,60925.29563311348
,2004 RQ243,000000IZVtwF,21.583,0.1966,Lz,308.9419807,-21.9938611,2025-09-07 07:06:22.591000+00:00,60925.29609480314
,2004 RQ243,000000IZVtwF,21.595,0.2072,Lz,308.9419183,-21.9939353,2025-09-07 07:08:21.514000+00:00,60925.29747122666
