permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DA38,000000IOw8a1,23.048,,Lr,150.6362893,3.1317524,2026-02-19 08:08:35.288000+00:00,61090.33929731464
,2026 DA38,000000IOw8a1,22.892,,Lr,150.636197,3.1317703,2026-02-19 08:09:15.886000+00:00,61090.33976719901
,2026 DA38,000000IOw8a2,22.811,,Li,150.4702839,3.1606611,2026-02-20 03:53:33.166000+00:00,61091.162189421244
,2026 DA38,000000IOw8a2,22.976,,Li,150.4701473,3.1606637,2026-02-20 03:54:13.158000+00:00,61091.16265229182
,2026 DA38,000000IOw8a2,23.022,,Li,150.4699979,3.1606888,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2026 DA38,000000IOw8a2,22.693,,Li,150.4696542,3.1607447,2026-02-20 03:57:39.671000+00:00,61091.16504248837
,2026 DA38,000000IOw8a2,22.94,,Li,150.4695479,3.1607843,2026-02-20 03:58:19.854000+00:00,61091.16550756944
,2026 DA38,000000IOw8a2,22.868,,Li,150.4694619,3.1607361,2026-02-20 03:59:00.216000+00:00,61091.165974722244
,2026 DA38,000000IOw8a2,22.699,,Li,150.4694022,3.1608082,2026-02-20 03:59:40.297000+00:00,61091.166438622866
,2026 DA38,000000IOw8a2,22.892,,Li,150.4689748,3.1608581,2026-02-20 04:02:21.356000+00:00,61091.16830273159
,2026 DA38,000000IOw8a2,23.161,,Li,150.4688456,3.1608918,2026-02-20 04:03:01.275000+00:00,61091.16876475699
,2026 DA38,000000IOw8a2,23.539,,Lg,150.4682692,3.1610216,2026-02-20 04:07:12.208000+00:00,61091.17166907387
,2026 DA38,000000IOw8a2,23.701,,Lg,150.4680643,3.1610284,2026-02-20 04:08:32.488000+00:00,61091.1725982409
,2026 DA38,000000IOw8a2,23.515,,Lg,150.4679669,3.1610308,2026-02-20 04:09:19.249000+00:00,61091.173139456194
,2026 DA38,000000IOw8a2,23.605,,Lg,150.4678481,3.1610378,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2026 DA38,000000IOw8a2,23.457,,Lg,150.4676482,3.1610793,2026-02-20 04:11:19.885000+00:00,61091.17453570617
,2026 DA38,000000IOw8a2,23.651,,Lg,150.4675568,3.1610836,2026-02-20 04:12:00.057000+00:00,61091.175000659656
