permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DH31,000000IOw4W1,22.056,,Lz,151.377857,2.0216882,2026-02-17 05:08:01.225000+00:00,61088.21390306717
,2026 DH31,000000IOw4W1,22.085,,Lz,151.3774379,2.0219767,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DH31,000000IOw4W2,22.017,,Li,151.1408416,2.1834957,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DH31,000000IOw4W2,22.892,,Lg,151.1401051,2.1839824,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DH31,000000IOw4W2,23.023,,Lg,151.1399628,2.1840754,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DH31,000000IOw4W2,22.922,,Lg,151.1399251,2.1841196,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DH31,000000IOw4W2,23.023,,Lg,151.1398197,2.1841856,2026-02-19 04:35:05.014000+00:00,61090.19103025459
,2026 DH31,000000IOw4W2,22.959,,Lg,151.1397415,2.1842154,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DH31,000000IOw4W2,23.086,,Lg,151.1396297,2.1843045,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DH31,000000IOw4W2,22.976,,Lg,151.1395145,2.1843949,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DH31,000000IOw4W2,22.995,,Lg,151.1394027,2.1844489,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DH31,000000IOw4W2,22.026,,Lz,151.1389758,2.1847481,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DH31,000000IOw4W2,22.161,,Lz,151.1387769,2.1849133,2026-02-19 04:47:27.171000+00:00,61090.199620034546
,2026 DH31,000000IOw4W2,22.091,,Lz,151.1386416,2.1849765,2026-02-19 04:48:47.587000+00:00,61090.20055077551
,2026 DH31,000000IOw4W2,22.004,,Lz,151.1385297,2.1850428,2026-02-19 04:49:27.964000+00:00,61090.201018102
,2026 DH31,000000IOw4W2,22.048,,Lz,151.1385473,2.185026,2026-02-19 04:50:08.193000+00:00,61090.201483715326
,2026 DH31,000000IOw4W2,22.018,,Lz,151.138464,2.1850736,2026-02-19 04:50:48.365000+00:00,61090.20194866881
,2026 DH31,000000IOw4W2,22.318,,Lz,151.138391,2.1852296,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2026 DH31,000000IOw4W2,22.461,,Lr,151.1380851,2.1853649,2026-02-19 04:55:24.404000+00:00,61090.20514356485
,2026 DH31,000000IOw4W2,22.539,,Lr,151.1379877,2.1854167,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DH31,000000IOw4W2,22.6,,Lr,151.1378727,2.185496,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2026 DH31,000000IOw4W2,22.353,,Lr,151.1378099,2.185554,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2026 DH31,000000IOw4W2,22.384,,Lr,151.1376833,2.1856064,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DH31,000000IOw4W2,22.484,,Lr,151.1375759,2.1856882,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2026 DH31,000000IOw4W2,22.389,,Lr,151.1375186,2.1857291,2026-02-19 05:01:39.326000+00:00,61090.209482939914
,2026 DH31,000000IOw4W2,22.425,,Lr,151.1372271,2.185916,2026-02-19 05:05:00.614000+00:00,61090.21181266196
,2026 DH31,000000IOw4W2,22.198,,Li,151.1369832,2.186061,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2026 DH31,000000IOw4W2,22.216,,Li,151.1369248,2.1861159,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DH31,000000IOw4W2,22.178,,Li,151.1368659,2.1861546,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DH31,000000IOw4W2,22.163,,Li,151.1368031,2.1861932,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DH31,000000IOw4W2,22.183,,Li,151.1367531,2.1862411,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2026 DH31,000000IOw4W2,22.24,,Li,151.1365847,2.1863444,2026-02-19 05:12:33.326000+00:00,61090.21705238428
,2026 DH31,000000IOw4W2,22.235,,Li,151.136535,2.1863923,2026-02-19 05:13:13.238000+00:00,61090.21751432866
,2026 DH31,000000IOw4W2,22.251,,Li,151.1364775,2.1864195,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DH31,000000IOw4W2,22.213,,Li,151.1362402,2.1865759,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2026 DH31,000000IOw4W2,22.211,,Li,151.1361749,2.1866442,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DH31,000000IOw4W2,23.152,,Lg,151.135949,2.1867927,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DH31,000000IOw4W2,22.863,,Lg,151.1357754,2.1868592,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DH31,000000IOw4W2,23.017,,Lg,151.1357058,2.1869046,2026-02-19 05:22:36.570000+00:00,61090.224034375045
,2026 DH31,000000IOw4W2,22.971,,Lg,151.1355983,2.1870081,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DH31,000000IOw4W2,22.868,,Lg,151.135526,2.1870376,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DH31,000000IOw4W2,22.946,,Lg,151.1354199,2.1871346,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DH31,000000IOw4W2,22.973,,Lg,151.1351957,2.1872917,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2026 DH31,000000IOw4W2,22.075,,Lz,151.1348922,2.1874766,2026-02-19 05:31:59.965000+00:00,61090.23055515066
,2026 DH31,000000IOw4W2,21.873,,Lz,151.1347895,2.1875527,2026-02-19 05:33:17.878000+00:00,61090.231456921436
,2026 DH31,000000IOw4W2,22.156,,Lz,151.1347101,2.1875726,2026-02-19 05:33:58.133000+00:00,61090.23192283558
,2026 DH31,000000IOw4W2,21.977,,Lz,151.1347035,2.187601,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2026 DH31,000000IOw4W2,22.065,,Lz,151.1346409,2.1876442,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DH31,000000IOw4W2,22.24,,Lz,151.1345267,2.1877255,2026-02-19 05:36:39.575000+00:00,61090.233791377395
,2026 DH31,000000IOw4W2,22.092,,Lz,151.1344592,2.1878096,2026-02-19 05:37:19.580000+00:00,61090.23425439792
,2026 DH31,000000IOw4W2,22.109,,Lz,151.1343525,2.1878632,2026-02-19 05:38:40.559000+00:00,61090.23519165488
,2026 DH31,000000IOw4W2,21.98,,Lz,151.1343194,2.1878874,2026-02-19 05:39:20.779000+00:00,61090.23565716436
