permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DJ48,000000IOwD81,23.949,,Lr,149.9491876,1.7129539,2026-02-17 05:04:38.017000+00:00,61088.21155112283
,2026 DJ48,000000IOwD81,23.113,,Lz,149.9484762,1.7132365,2026-02-17 05:13:06.058000+00:00,61088.217431226745
,2026 DJ48,000000IOwD82,23.447,,Li,149.2467002,1.981375,2026-02-23 02:53:29.038000+00:00,61094.12047497695
,2026 DJ48,000000IOwD82,23.512,,Li,149.2465832,1.9813688,2026-02-23 02:54:09.099000+00:00,61094.120938645676
,2026 DJ48,000000IOwD82,23.447,,Li,149.2466412,1.981461,2026-02-23 02:54:49.350000+00:00,61094.12140451372
,2026 DJ48,000000IOwD82,23.474,,Li,149.2465099,1.981473,2026-02-23 02:55:29.705000+00:00,61094.12187158549
,2026 DJ48,000000IOwD82,23.0,,Li,149.2463129,1.9815655,2026-02-23 02:58:10.721000+00:00,61094.12373519689
,2026 DJ48,000000IOwD82,23.599,,Li,149.2462964,1.9815573,2026-02-23 02:58:51.102000+00:00,61094.12420256948
,2026 DJ48,000000IOwD82,23.441,,Li,149.2462081,1.9815919,2026-02-23 02:59:31.220000+00:00,61094.124666898046
,2026 DJ48,000000IOwD82,23.434,,Li,149.2460083,1.9816382,2026-02-23 03:02:12.794000+00:00,61094.1265369677
,2026 DJ48,000000IOwD82,24.181,,Lg,149.2456138,1.9818624,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2026 DJ48,000000IOwD82,24.364,,Lg,149.2455283,1.9817897,2026-02-23 03:07:49.285000+00:00,61094.13043153938
,2026 DJ48,000000IOwD82,24.042,,Lg,149.2446345,1.9821768,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2026 DJ48,000000IOwD82,24.112,,Lg,149.2444286,1.9823097,2026-02-23 03:20:26.724000+00:00,61094.13919819426
,2026 DJ48,000000IOwD82,24.447,,Lg,149.2443678,1.9822849,2026-02-23 03:21:06.775000+00:00,61094.1396617475
,2026 DJ48,000000IOwD82,24.022,,Lg,149.2409095,1.9836988,2026-02-23 04:03:13.586000+00:00,61094.168907245155
,2026 DJ48,000000IOwD82,24.046,,Lg,149.2408126,1.98371,2026-02-23 04:03:56.079000+00:00,61094.16939906264
,2026 DJ48,000000IOwD82,24.244,,Lg,149.2407511,1.9837583,2026-02-23 04:04:36.388000+00:00,61094.169865601696
,2026 DJ48,000000IOwD82,24.18,,Lg,149.240529,1.9837578,2026-02-23 04:07:21.428000+00:00,61094.17177578714
,2026 DJ48,000000IOwD82,24.262,,Lg,149.2404827,1.9838338,2026-02-23 04:08:04.520000+00:00,61094.17227453692
,2026 DJ48,000000IOwD82,24.008,,Lg,149.2404177,1.9838644,2026-02-23 04:08:44.599000+00:00,61094.17273841426
,2026 DJ48,000000IOwD82,24.085,,Lg,149.2403249,1.9838804,2026-02-23 04:09:52.140000+00:00,61094.17352013895
,2026 DJ48,000000IOwD82,23.144,,Lz,149.2397114,1.9841669,2026-02-23 04:16:47.106000+00:00,61094.178322986234
,2026 DJ48,000000IOwD82,23.153,,Lz,149.2396408,1.9841534,2026-02-23 04:17:27.563000+00:00,61094.17879123846
,2026 DJ48,000000IOwD82,23.194,,Lz,149.2396025,1.9842113,2026-02-23 04:18:08.473000+00:00,61094.17926473357
,2026 DJ48,000000IOwD82,23.162,,Lz,149.2395522,1.9841936,2026-02-23 04:18:48.663000+00:00,61094.179729895666
,2026 DJ48,000000IOwD82,23.135,,Lz,149.239422,1.9842167,2026-02-23 04:20:11.268000+00:00,61094.18068597233
,2026 DJ48,000000IOwD82,23.116,,Lz,149.2392921,1.9842828,2026-02-23 04:21:35.087000+00:00,61094.18165609939
,2026 DJ48,000000IOwD82,23.335,,Lz,149.2391145,1.9844025,2026-02-23 04:23:48.837000+00:00,61094.18320413213
,2026 DJ48,000000IOwD82,23.368,,Lr,149.2386225,1.9845342,2026-02-23 04:29:51.848000+00:00,61094.187405648176
,2026 DJ48,000000IOwD83,24.249,,Lg,149.0082872,2.0777175,2026-02-25 03:33:42.204000+00:00,61096.14840513887
,2026 DJ48,000000IOwD83,24.151,,Lg,149.0082016,2.0777446,2026-02-25 03:34:22.475000+00:00,61096.14887123834
,2026 DJ48,000000IOwD83,24.264,,Lg,149.0082145,2.0778045,2026-02-25 03:35:02.797000+00:00,61096.14933792828
,2026 DJ48,000000IOwD83,24.102,,Lg,149.0081146,2.0777582,2026-02-25 03:35:42.964000+00:00,61096.14980282402
,2026 DJ48,000000IOwD83,24.147,,Lg,149.0080976,2.0778024,2026-02-25 03:36:20.766000+00:00,61096.150240347255
,2026 DJ48,000000IOwD83,23.993,,Lg,149.0078541,2.0779241,2026-02-25 03:39:01.312000+00:00,61096.15209851833
,2026 DJ48,000000IOwD83,23.052,,Lz,149.0071643,2.0782174,2026-02-25 03:47:45.516000+00:00,61096.158165694214
,2026 DJ48,000000IOwD83,22.955,,Lz,149.0070345,2.0782229,2026-02-25 03:49:06.310000+00:00,61096.159100810066
,2026 DJ48,000000IOwD83,23.239,,Lz,149.0067697,2.0783644,2026-02-25 03:51:53.021000+00:00,61096.16103033582
,2026 DJ48,000000IOwD83,23.311,,Lz,149.0067665,2.0783641,2026-02-25 03:52:33.143000+00:00,61096.16149471048
,2026 DJ48,000000IOwD83,23.868,,Lr,149.0055438,2.0788181,2026-02-25 04:06:31.810000+00:00,61096.17120150477
,2026 DJ48,000000IOwD83,24.058,,Lr,149.0054413,2.0788469,2026-02-25 04:08:32.223000+00:00,61096.172595173586
,2026 DJ48,000000IOwD83,23.865,,Lr,149.0051563,2.0789641,2026-02-25 04:11:13.399000+00:00,61096.17446063645
,2026 DJ48,000000IOwD83,23.712,,Lr,149.0049926,2.0790193,2026-02-25 04:13:13.940000+00:00,61096.175855787005
,2026 DJ48,000000IOwD83,23.889,,Lr,149.0048393,2.0791376,2026-02-25 04:15:36.471000+00:00,61096.177505451255
,2026 DJ48,000000IOwD83,23.744,,Lr,149.0044678,2.0792361,2026-02-25 04:19:38.929000+00:00,61096.18031167844
,2026 DJ48,000000IOwD83,23.705,,Lr,149.0042825,2.0793227,2026-02-25 04:21:39.627000+00:00,61096.18170864601
,2026 DJ48,000000IOwD83,23.884,,Lr,149.0040371,2.0794197,2026-02-25 04:25:08.454000+00:00,61096.18412562506
,2026 DJ48,000000IOwD83,23.544,,Li,149.0035947,2.0795777,2026-02-25 04:29:55.937000+00:00,61096.18745297473
,2026 DJ48,000000IOwD83,23.581,,Li,149.0033589,2.0796813,2026-02-25 04:32:36.964000+00:00,61096.189316712786
,2026 DJ48,000000IOwD83,23.779,,Li,149.0031699,2.0797696,2026-02-25 04:35:17.916000+00:00,61096.191179583315
,2026 DJ48,000000IOwD83,24.372,,Lg,149.0019112,2.0803325,2026-02-25 04:50:50.342000+00:00,61096.20197155094
,2026 DJ48,000000IOwD83,24.108,,Lg,149.0017624,2.0802924,2026-02-25 04:52:10.697000+00:00,61096.20290158549
,2026 DJ48,000000IOwD83,24.567,,Lg,149.0016712,2.0803758,2026-02-25 04:53:30.948000+00:00,61096.20383041678
,2026 DJ48,000000IOwD83,24.134,,Lg,149.0016078,2.0804253,2026-02-25 04:54:11.325000+00:00,61096.20429774327
,2026 DJ48,000000IOwD83,24.282,,Lg,149.0013984,2.0805062,2026-02-25 04:56:52.148000+00:00,61096.206159120426
,2026 DJ48,000000IOwD83,24.256,,Lg,149.0012971,2.0804313,2026-02-25 04:57:32.606000+00:00,61096.206627384294
,2026 DJ48,000000IOwD83,24.151,,Lg,149.0007784,2.080734,2026-02-25 05:03:42.044000+00:00,61096.210903286934
,2026 DJ48,000000IOwD83,24.375,,Lg,149.0007297,2.0807709,2026-02-25 05:04:22.444000+00:00,61096.211370879784
,2026 DJ48,000000IOwD83,24.245,,Lg,149.0006345,2.0807913,2026-02-25 05:05:42.909000+00:00,61096.21230218746
,2026 DJ48,000000IOwD83,24.393,,Lg,149.0004056,2.0808583,2026-02-25 05:08:23.978000+00:00,61096.21416641213
,2026 DJ48,000000IOwD83,23.155,,Lz,148.9999888,2.0810407,2026-02-25 05:13:44.994000+00:00,61096.21788187511
,2026 DJ48,000000IOwD83,23.261,,Lz,148.9996904,2.0811604,2026-02-25 05:16:25.981000+00:00,61096.2197451503
,2026 DJ48,000000IOwD83,23.356,,Lz,148.999505,2.0812306,2026-02-25 05:19:06.948000+00:00,61096.22160819452
,2026 DJ48,000000IOwD83,23.418,,Lz,148.9994542,2.0812877,2026-02-25 05:19:47.297000+00:00,61096.222075196914
