permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DK46,000000IOwC21,22.853,,Li,151.4764053,2.7890036,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DK46,000000IOwC21,23.24,,Li,151.4763916,2.7890127,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DK46,000000IOwC21,22.892,,Li,151.4761774,2.789089,2026-02-19 04:22:07.864000+00:00,61090.18203546293
,2026 DK46,000000IOwC21,22.767,,Li,151.4761068,2.7891375,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DK46,000000IOwC21,22.94,,Li,151.4760898,2.7891564,2026-02-19 04:23:28.333000+00:00,61090.18296681717
,2026 DK46,000000IOwC21,22.824,,Li,151.4759186,2.7891685,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DK46,000000IOwC21,23.547,,Lg,151.4754158,2.7894156,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DK46,000000IOwC21,23.599,,Lg,151.4752732,2.7894149,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2026 DK46,000000IOwC21,23.511,,Lg,151.4752576,2.789464,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DK46,000000IOwC21,23.282,,Lg,151.4752025,2.7894329,2026-02-19 04:33:04.726000+00:00,61090.18963803258
,2026 DK46,000000IOwC21,23.507,,Lg,151.475083,2.7894943,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DK46,000000IOwC21,23.503,,Lg,151.4749425,2.7895242,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DK46,000000IOwC21,23.742,,Lg,151.4748967,2.7896081,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DK46,000000IOwC21,23.593,,Lg,151.4748128,2.7896347,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DK46,000000IOwC21,23.478,,Lg,151.474681,2.7896518,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DK46,000000IOwC21,23.499,,Lg,151.4746207,2.7896517,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DK46,000000IOwC21,23.576,,Lg,151.474552,2.7896634,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DK46,000000IOwC21,23.38,,Lg,151.4745088,2.7897123,2026-02-19 04:40:27.052000+00:00,61090.1947575463
,2026 DK46,000000IOwC21,22.654,,Lz,151.474228,2.7898451,2026-02-19 04:44:05.873000+00:00,61090.19729019655
,2026 DK46,000000IOwC21,22.734,,Lz,151.4741587,2.7897715,2026-02-19 04:44:46.352000+00:00,61090.19775870349
