permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DN33,000000IOw5z1,23.181,,Lr,151.3342983,2.6133922,2026-02-17 05:05:18.134000+00:00,61088.212015439756
,2026 DN33,000000IOw5z1,22.794,,Lz,151.3338667,2.6137009,2026-02-17 05:10:16.373000+00:00,61088.21546728024
,2026 DN33,000000IOw5z1,23.024,,Lz,151.3338278,2.6137144,2026-02-17 05:10:50.763000+00:00,61088.21586531261
,2026 DN33,000000IOw5z2,22.782,,Li,151.0923861,2.7691114,2026-02-19 04:19:26.648000+00:00,61090.1801695372
,2026 DN33,000000IOw5z2,22.802,,Li,151.09227,2.7691899,2026-02-19 04:20:47.241000+00:00,61090.181102326605
,2026 DN33,000000IOw5z2,22.93,,Li,151.0922021,2.7692265,2026-02-19 04:21:27.526000+00:00,61090.18156858813
,2026 DN33,000000IOw5z2,22.773,,Li,151.0918537,2.7694779,2026-02-19 04:25:29.139000+00:00,61090.18436503457
,2026 DN33,000000IOw5z2,22.908,,Li,151.0917928,2.7694922,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DN33,000000IOw5z2,23.942,,Lg,151.0913325,2.769728,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DN33,000000IOw5z2,23.708,,Lg,151.0912106,2.7698391,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2026 DN33,000000IOw5z2,23.564,,Lg,151.0911207,2.7698626,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DN33,000000IOw5z2,23.425,,Lg,151.0910361,2.7699279,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2026 DN33,000000IOw5z2,23.544,,Lg,151.0908885,2.7700826,2026-02-19 04:36:25.229000+00:00,61090.19195866911
,2026 DN33,000000IOw5z2,23.719,,Lg,151.0906969,2.7701844,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DN33,000000IOw5z2,23.706,,Lg,151.0906324,2.7702151,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DN33,000000IOw5z2,24.031,,Lg,151.09058,2.7702172,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2026 DN33,000000IOw5z2,23.26,,Lr,151.0891004,2.7711327,2026-02-19 04:56:17.732000+00:00,61090.20576078724
,2026 DN33,000000IOw5z2,23.027,,Lr,151.0891076,2.7711986,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2026 DN33,000000IOw5z2,23.044,,Lr,151.0889122,2.7713085,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2026 DN33,000000IOw5z2,23.095,,Lr,151.0888914,2.7714006,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2026 DN33,000000IOw5z2,22.896,,Li,151.0880493,2.7718621,2026-02-19 05:08:32.093000+00:00,61090.214260335546
,2026 DN33,000000IOw5z2,22.938,,Li,151.0880138,2.7718954,2026-02-19 05:09:12.213000+00:00,61090.214724687394
,2026 DN33,000000IOw5z2,22.976,,Li,151.0879548,2.7718885,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2026 DN33,000000IOw5z2,23.154,,Li,151.0875902,2.7721492,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2026 DN33,000000IOw5z2,23.199,,Li,151.0872472,2.772394,2026-02-19 05:17:15.176000+00:00,61090.220314537175
,2026 DN33,000000IOw5z2,23.695,,Lg,151.0870352,2.7725234,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2026 DN33,000000IOw5z2,23.899,,Lg,151.086895,2.7726462,2026-02-19 05:21:55.910000+00:00,61090.22356377309
,2026 DN33,000000IOw5z2,23.643,,Lg,151.0867738,2.77265,2026-02-19 05:23:16.817000+00:00,61090.224500196986
,2026 DN33,000000IOw5z2,23.77,,Lg,151.0867201,2.7727719,2026-02-19 05:23:57.224000+00:00,61090.224967870396
,2026 DN33,000000IOw5z2,23.496,,Lg,151.0866909,2.7727529,2026-02-19 05:24:37.485000+00:00,61090.225433854386
,2026 DN33,000000IOw5z2,23.702,,Lg,151.0866322,2.7727723,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2026 DN33,000000IOw5z2,23.668,,Lg,151.0865084,2.7728017,2026-02-19 05:25:57.880000+00:00,61090.22636435181
,2026 DN33,000000IOw5z2,23.832,,Lg,151.0865097,2.7728766,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2026 DN33,000000IOw5z2,22.739,,Lz,151.0857413,2.7733588,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2026 DN33,000000IOw5z2,22.797,,Lz,151.0853111,2.7735474,2026-02-19 05:39:20.779000+00:00,61090.23565716436
,2026 DN33,000000IOw5z2,22.773,,Lz,151.0851856,2.773653,2026-02-19 05:41:21.268000+00:00,61090.237051712815
,2026 DN33,000000IOw5z2,23.156,,Lr,151.0848889,2.7738668,2026-02-19 05:44:45.221000+00:00,61090.239412280265
,2026 DN33,000000IOw5z2,23.186,,Lr,151.0847097,2.7739622,2026-02-19 05:46:46.204000+00:00,61090.24081254611
,2026 DN33,000000IOw5z2,23.117,,Lr,151.0846607,2.7739996,2026-02-19 05:47:26.636000+00:00,61090.24128050916
,2026 DN33,000000IOw5z2,23.013,,Lr,151.0845924,2.7740411,2026-02-19 05:48:06.925000+00:00,61090.24174681725
,2026 DN33,000000IOw5z2,23.158,,Lr,151.0842155,2.7742335,2026-02-19 05:52:08.529000+00:00,61090.244543159846
,2026 DN33,000000IOw5z3,22.894,,Li,150.6090823,3.0887602,2026-02-23 02:53:29.038000+00:00,61094.12047497695
,2026 DN33,000000IOw5z3,22.809,,Li,150.6088278,3.0889503,2026-02-23 02:56:09.796000+00:00,61094.122335602064
,2026 DN33,000000IOw5z3,22.713,,Li,150.6087146,3.0890039,2026-02-23 02:57:30.168000+00:00,61094.12326583313
,2026 DN33,000000IOw5z3,22.898,,Li,150.6085632,3.0891221,2026-02-23 02:59:31.220000+00:00,61094.124666898046
,2026 DN33,000000IOw5z3,22.782,,Li,150.6084137,3.0891991,2026-02-23 03:00:52.154000+00:00,61094.1256036344
,2026 DN33,000000IOw5z3,22.884,,Li,150.6082911,3.0893125,2026-02-23 03:02:12.794000+00:00,61094.1265369677
,2026 DN33,000000IOw5z3,23.515,,Lg,150.607928,3.0894975,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2026 DN33,000000IOw5z3,23.783,,Lg,150.6078417,3.0895391,2026-02-23 03:07:09.243000+00:00,61094.12996809045
,2026 DN33,000000IOw5z3,23.511,,Lg,150.607273,3.0899423,2026-02-23 03:14:01.241000+00:00,61094.13473658543
,2026 DN33,000000IOw5z3,23.767,,Lg,150.6072162,3.0899601,2026-02-23 03:14:41.651000+00:00,61094.135204293765
,2026 DN33,000000IOw5z3,23.592,,Lg,150.6069217,3.090197,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2026 DN33,000000IOw5z3,23.51,,Lg,150.6067242,3.0902921,2026-02-23 03:20:26.724000+00:00,61094.13919819426
,2026 DN33,000000IOw5z3,22.808,,Lz,150.6063549,3.0905714,2026-02-23 03:24:26.073000+00:00,61094.14196843747
,2026 DN33,000000IOw5z3,22.761,,Lz,150.6063257,3.0905886,2026-02-23 03:25:06.069000+00:00,61094.14243135415
,2026 DN33,000000IOw5z3,22.725,,Lz,150.6062237,3.0906141,2026-02-23 03:26:27.333000+00:00,61094.14337190986
,2026 DN33,000000IOw5z3,23.02,,Lz,150.6060809,3.0907459,2026-02-23 03:27:50.242000+00:00,61094.14433150459
,2026 DN33,000000IOw5z3,23.953,,Lg,150.602861,3.0928258,2026-02-23 04:04:36.388000+00:00,61094.169865601696
,2026 DN33,000000IOw5z3,23.607,,Lg,150.6026906,3.0929473,2026-02-23 04:06:41.209000+00:00,61094.1713102893
,2026 DN33,000000IOw5z3,24.006,,Lg,150.6026685,3.0930222,2026-02-23 04:07:21.428000+00:00,61094.17177578714
,2026 DN33,000000IOw5z3,23.798,,Lg,150.602419,3.0931586,2026-02-23 04:09:52.140000+00:00,61094.17352013895
