permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DP29,000000IOw4b1,22.321,,Li,150.3857626,3.1728105,2026-02-19 04:20:07.066000+00:00,61090.18063733773
,2026 DP29,000000IOw4b1,22.393,,Li,150.3855317,3.1728933,2026-02-19 04:22:48.017000+00:00,61090.18250019662
,2026 DP29,000000IOw4b1,22.308,,Li,150.3854036,3.172955,2026-02-19 04:24:08.380000+00:00,61090.18343032431
,2026 DP29,000000IOw4b1,22.398,,Li,150.3853426,3.1729583,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2026 DP29,000000IOw4b1,22.314,,Li,150.3852235,3.1730118,2026-02-19 04:26:09.935000+00:00,61090.18483721046
,2026 DP29,000000IOw4b1,22.345,,Li,150.3851427,3.1730119,2026-02-19 04:26:49.860000+00:00,61090.18529930571
,2026 DP29,000000IOw4b1,22.266,,Li,150.3850349,3.1730501,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2026 DP29,000000IOw4b1,23.252,,Lg,150.3847926,3.1731306,2026-02-19 04:30:50.424000+00:00,61090.18808361096
,2026 DP29,000000IOw4b1,23.225,,Lg,150.3845238,3.1731904,2026-02-19 04:33:44.655000+00:00,61090.190100173466
,2026 DP29,000000IOw4b1,23.114,,Lg,150.3843266,3.1732766,2026-02-19 04:35:45.250000+00:00,61090.19149594894
,2026 DP29,000000IOw4b1,23.126,,Lg,150.3841974,3.1733115,2026-02-19 04:37:05.536000+00:00,61090.19242518535
,2026 DP29,000000IOw4b1,23.074,,Lg,150.3841354,3.1733411,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2026 DP29,000000IOw4b1,23.106,,Lg,150.3840819,3.1733533,2026-02-19 04:38:26.227000+00:00,61090.19335910864
,2026 DP29,000000IOw4b1,23.202,,Lg,150.3840083,3.1733475,2026-02-19 04:39:06.122000+00:00,61090.19382085651
,2026 DP29,000000IOw4b1,22.187,,Lz,150.3836356,3.1734603,2026-02-19 04:43:05.523000+00:00,61090.19659170136
,2026 DP29,000000IOw4b1,22.338,,Lz,150.3834884,3.1735102,2026-02-19 04:44:46.352000+00:00,61090.19775870349
,2026 DP29,000000IOw4b1,22.38,,Lz,150.3833627,3.1735274,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2026 DP29,000000IOw4b1,22.351,,Lz,150.38325,3.1736417,2026-02-19 04:47:27.171000+00:00,61090.199620034546
