permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 DW35,000000IOw6Z1,22.744,,Li,151.5315458,2.820663,2026-02-23 02:55:29.705000+00:00,61094.12187158549
,2026 DW35,000000IOw6Z1,22.487,,Li,151.5314791,2.8207083,2026-02-23 02:56:09.796000+00:00,61094.122335602064
,2026 DW35,000000IOw6Z1,22.602,,Li,151.5314478,2.8207304,2026-02-23 02:56:50.064000+00:00,61094.122801666614
,2026 DW35,000000IOw6Z1,22.55,,Li,151.5313213,2.8208073,2026-02-23 02:58:10.721000+00:00,61094.12373519689
,2026 DW35,000000IOw6Z1,23.639,,Lg,151.53055,2.8211613,2026-02-23 03:06:28.947000+00:00,61094.12950170133
,2026 DW35,000000IOw6Z1,23.419,,Lg,151.5299032,2.821525,2026-02-23 03:14:01.241000+00:00,61094.13473658543
,2026 DW35,000000IOw6Z1,23.59,,Lg,151.5298846,2.8215749,2026-02-23 03:14:41.651000+00:00,61094.135204293765
,2026 DW35,000000IOw6Z1,23.536,,Lg,151.5295361,2.8217428,2026-02-23 03:18:19.868000+00:00,61094.13772995351
,2026 DW35,000000IOw6Z1,23.529,,Lg,151.5293373,2.8218453,2026-02-23 03:20:26.724000+00:00,61094.13919819426
,2026 DW35,000000IOw6Z1,22.47,,Lz,151.5289968,2.8220543,2026-02-23 03:24:26.073000+00:00,61094.14196843747
,2026 DW35,000000IOw6Z1,22.545,,Lz,151.5289189,2.8220982,2026-02-23 03:25:46.637000+00:00,61094.14290089114
,2026 DW35,000000IOw6Z1,22.414,,Lz,151.5288471,2.8221268,2026-02-23 03:26:27.333000+00:00,61094.14337190986
,2026 DW35,000000IOw6Z1,22.463,,Lz,151.5287486,2.822173,2026-02-23 03:27:09.806000+00:00,61094.14386349544
,2026 DW35,000000IOw6Z1,23.492,,Lg,151.5257636,2.8237465,2026-02-23 04:01:13.058000+00:00,61094.167512245476
,2026 DW35,000000IOw6Z1,23.536,,Lg,151.5257031,2.8238683,2026-02-23 04:02:33.644000+00:00,61094.16844495386
,2026 DW35,000000IOw6Z1,23.385,,Lg,151.5255587,2.8239099,2026-02-23 04:03:56.079000+00:00,61094.16939906264
,2026 DW35,000000IOw6Z1,23.32,,Lg,151.5253042,2.8240419,2026-02-23 04:06:41.209000+00:00,61094.1713102893
,2026 DW35,000000IOw6Z1,23.576,,Lg,151.5252808,2.8240747,2026-02-23 04:07:21.428000+00:00,61094.17177578714
,2026 DW35,000000IOw6Z1,23.485,,Lg,151.5251735,2.8240874,2026-02-23 04:08:04.520000+00:00,61094.17227453692
,2026 DW35,000000IOw6Z1,22.701,,Lz,151.5246316,2.8244349,2026-02-23 04:14:41.671000+00:00,61094.176871192176
,2026 DW35,000000IOw6Z1,22.39,,Lz,151.5245565,2.8244534,2026-02-23 04:15:22.123000+00:00,61094.17733938666
,2026 DW35,000000IOw6Z1,22.601,,Lz,151.5244272,2.824527,2026-02-23 04:16:47.106000+00:00,61094.178322986234
,2026 DW35,000000IOw6Z1,22.405,,Lz,151.52417,2.8246565,2026-02-23 04:19:31.060000+00:00,61094.18022060208
,2026 DW35,000000IOw6Z1,22.416,,Lz,151.5240579,2.8247375,2026-02-23 04:20:54.925000+00:00,61094.18119126139
,2026 DW35,000000IOw6Z1,22.488,,Lz,151.5237949,2.8249238,2026-02-23 04:23:48.837000+00:00,61094.18320413213
,2026 DW35,000000IOw6Z1,22.87,,Lr,151.5232836,2.8251436,2026-02-23 04:29:51.848000+00:00,61094.187405648176
,2026 DW35,000000IOw6Z1,22.856,,Lr,151.5232223,2.8251739,2026-02-23 04:30:33.293000+00:00,61094.18788533565
,2026 DW35,000000IOw6Z1,23.065,,Lr,151.5229449,2.8253332,2026-02-23 04:33:58.273000+00:00,61094.19025778957
