permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 HH72,000000IPCdI1,21.809,,Lr,254.8818218,-42.332852,2025-04-29 08:15:09.748000+00:00,60794.34386282414
,2025 HH72,000000IPCdI1,21.89,,Lr,254.8815165,-42.3327767,2025-04-29 08:18:02.019000+00:00,60794.34585670149
,2025 HH72,000000IPCdI1,21.887,,Lr,254.8814409,-42.3327486,2025-04-29 08:18:44.780000+00:00,60794.346351620276
,2025 HH72,000000IPCdI1,21.875,,Lr,254.8810497,-42.332642,2025-04-29 08:22:17.501000+00:00,60794.348813668825
,2025 HH72,000000IPCdI1,21.863,,Lr,254.8808803,-42.3325579,2025-04-29 08:23:43.383000+00:00,60794.3498076736
,2025 HH72,000000IPCdI1,21.875,,Lr,254.8807492,-42.3325203,2025-04-29 08:25:08.774000+00:00,60794.350795995444
,2025 HH72,000000IPCdI1,21.838,,Lr,254.8806643,-42.3324917,2025-04-29 08:25:50.397000+00:00,60794.351277743
,2025 HH72,000000IPCdI1,21.874,,Lr,254.8804899,-42.3324186,2025-04-29 08:27:16.381000+00:00,60794.35227292823
,2025 HH72,000000IPCdI1,21.899,,Lr,254.8803708,-42.3323926,2025-04-29 08:28:43.944000+00:00,60794.353286388796
,2025 HH72,000000IPCdI1,21.859,,Lr,254.8802993,-42.3323594,2025-04-29 08:29:25.182000+00:00,60794.35376368044
,2025 HH72,000000IPCdI1,21.84,,Lr,254.8799852,-42.3322621,2025-04-29 08:32:17.440000+00:00,60794.35575740738
,2025 HH72,000000IPCdI1,21.843,,Lr,254.879901,-42.3322374,2025-04-29 08:33:00.012000+00:00,60794.35625013895
,2025 HH72,000000IPCdI1,21.852,,Lr,254.8797436,-42.3321737,2025-04-29 08:34:25.917000+00:00,60794.35724440962
,2025 HH72,000000IPCdI1,22.429,,Lg,254.8785918,-42.3317997,2025-04-29 08:45:00.616000+00:00,60794.36459046276
,2025 HH72,000000IPCdI1,22.176,,Lg,254.8783786,-42.3317249,2025-04-29 08:47:09.560000+00:00,60794.3660828704
,2025 HH72,000000IPCdI1,22.244,,Lg,254.8782216,-42.3316641,2025-04-29 08:48:35.422000+00:00,60794.36707664374
,2025 HH72,000000IPCdI1,22.209,,Lg,254.8781292,-42.3316567,2025-04-29 08:49:18.672000+00:00,60794.367577222176
,2025 HH72,000000IPCdI1,22.231,,Lg,254.8779722,-42.3315971,2025-04-29 08:50:45.739000+00:00,60794.36858494207
,2025 HH72,000000IPCdI1,22.248,,Lg,254.8778286,-42.3315557,2025-04-29 08:52:12.482000+00:00,60794.369588912
,2025 HH72,000000IPCdI1,22.289,,Lg,254.8777515,-42.3315187,2025-04-29 08:52:55.912000+00:00,60794.37009157427
,2025 HH72,000000IPCdI1,22.266,,Lg,254.8775914,-42.3314665,2025-04-29 08:54:23.369000+00:00,60794.37110380782
,2025 HH72,000000IPCdI1,22.317,,Lg,254.8773566,-42.3313818,2025-04-29 08:56:35.409000+00:00,60794.37263204856
,2025 HH72,000000IPCdI1,22.313,,Lg,254.8771996,-42.3313407,2025-04-29 08:58:01.694000+00:00,60794.3736307174
,2025 HH72,000000IPCdI1,22.318,,Lg,254.8770582,-42.3312837,2025-04-29 08:59:28.341000+00:00,60794.374633576255
,2025 HH72,000000IPCdI1,22.277,,Lg,254.8769691,-42.3312515,2025-04-29 09:00:12.250000+00:00,60794.37514178222
,2025 HH72,000000IPCdI1,22.254,,Lg,254.8768058,-42.3312003,2025-04-29 09:01:38.918000+00:00,60794.376144884154
,2025 HH72,000000IPCdI2,22.214,,Lg,254.739263,-42.2824462,2025-04-30 07:53:07.391000+00:00,60795.32855776604
,2025 HH72,000000IPCdI2,22.257,,Lg,254.7389176,-42.2823084,2025-04-30 07:56:04.389000+00:00,60795.3306063544
,2025 HH72,000000IPCdI2,22.22,,Lg,254.7388323,-42.2823055,2025-04-30 07:56:46.874000+00:00,60795.33109807875
