permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KA34,000000IPCe21,21.724,,Li,225.8417176,-39.9816045,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KA34,000000IPCe21,21.649,,Li,225.8414272,-39.9816527,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KA34,000000IPCe21,21.627,,Li,225.8411196,-39.9817054,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KA34,000000IPCe21,21.662,,Li,225.8408577,-39.9817524,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2025 KA34,000000IPCe21,21.642,,Li,225.840614,-39.9817875,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KA34,000000IPCe21,21.676,,Li,225.8403555,-39.9818456,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KA34,000000IPCe21,21.638,,Li,225.8396404,-39.9819531,2025-05-21 06:39:44.659000+00:00,60816.27760021994
,2025 KA34,000000IPCe21,21.709,,Li,225.8386053,-39.982148,2025-05-21 06:42:45.864000+00:00,60816.27969750017
,2025 KA34,000000IPCe21,21.574,,Li,225.8383718,-39.9822092,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KA34,000000IPCe21,21.609,,Li,225.8381525,-39.9822276,2025-05-21 06:44:14.732000+00:00,60816.28072606493
,2025 KA34,000000IPCe21,21.656,,Li,225.8376246,-39.9823256,2025-05-21 06:45:46.050000+00:00,60816.28178298613
,2025 KA34,000000IPCe21,21.629,,Li,225.8373234,-39.9823908,2025-05-21 06:46:33.193000+00:00,60816.28232862288
,2025 KA34,000000IPCe21,21.653,,Li,225.8363675,-39.9825551,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KA34,000000IPCe21,21.58,,Li,225.8361115,-39.9825959,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KA34,000000IPCe21,21.636,,Li,225.835895,-39.98264,2025-05-21 06:50:51.548000+00:00,60816.28531884262
,2025 KA34,000000IPCe21,21.568,,Li,225.8356391,-39.9826849,2025-05-21 06:51:34.477000+00:00,60816.28581570601
,2025 KA34,000000IPCe21,21.479,,Lr,225.8337287,-39.9830407,2025-05-21 06:57:20.705000+00:00,60816.28982297471
,2025 KA34,000000IPCe21,21.55,,Lr,225.8333264,-39.9830861,2025-05-21 06:58:12.782000+00:00,60816.290425717365
,2025 KA34,000000IPCe21,21.842,,Lr,225.8331708,-39.983098,2025-05-21 06:58:53.736000+00:00,60816.29089972237
,2025 KA34,000000IPCe21,21.812,,Lr,225.8326929,-39.9832126,2025-05-21 07:00:23.368000+00:00,60816.29193712957
,2025 KA34,000000IPCe21,21.816,,Lr,225.8317038,-39.9833916,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KA34,000000IPCe21,21.747,,Lr,225.8314507,-39.9834425,2025-05-21 07:04:04.530000+00:00,60816.29449687479
,2025 KA34,000000IPCe21,21.726,,Lr,225.8311942,-39.9834848,2025-05-21 07:04:46.591000+00:00,60816.294983692
,2025 KA34,000000IPCe21,21.748,,Lr,225.8309688,-39.9835235,2025-05-21 07:05:28.472000+00:00,60816.295468425844
,2025 KA34,000000IPCe21,21.766,,Lr,225.8307221,-39.9835698,2025-05-21 07:06:11.674000+00:00,60816.29596844921
,2025 KA34,000000IPCe21,21.738,,Lr,225.8290685,-39.9838556,2025-05-21 07:11:08.802000+00:00,60816.29940743046
,2025 KA34,000000IPCe21,21.852,,Lr,225.8288005,-39.9838932,2025-05-21 07:11:51.941000+00:00,60816.2999067246
,2025 KA34,000000IPCe21,21.616,,Lr,225.8285808,-39.9839728,2025-05-21 07:12:34.960000+00:00,60816.30040462967
,2025 KA34,000000IPCe21,21.643,,Lr,225.8283071,-39.9840291,2025-05-21 07:13:18.071000+00:00,60816.30090359971
,2025 KA34,000000IPCe21,21.644,,Lr,225.8280608,-39.9840574,2025-05-21 07:14:00.332000+00:00,60816.30139273126
,2025 KA34,000000IPCe21,21.567,,Lr,225.8278599,-39.9841079,2025-05-21 07:14:42.330000+00:00,60816.30187881924
,2025 KA34,000000IPCe21,21.507,,Lz,225.8262134,-39.9843589,2025-05-21 07:19:33.500000+00:00,60816.305248842575
,2025 KA34,000000IPCe21,21.454,,Lz,225.8246587,-39.9846587,2025-05-21 07:24:05.433000+00:00,60816.308396215085
,2025 KA34,000000IPCe21,21.46,,Lz,225.8237138,-39.9848847,2025-05-21 07:27:02.942000+00:00,60816.31045071781
,2025 KA34,000000IPCe21,21.459,,Lz,225.8234854,-39.9848745,2025-05-21 07:27:44.089000+00:00,60816.310926956125
,2025 KA34,000000IPCe21,21.473,,Lz,225.823199,-39.9849503,2025-05-21 07:28:26.095000+00:00,60816.31141313678
,2025 KA34,000000IPCe21,21.44,,Lz,225.8230261,-39.984964,2025-05-21 07:29:08.156000+00:00,60816.31189995352
,2025 KA34,000000IPCe21,21.473,,Lz,225.8227988,-39.9850056,2025-05-21 07:29:50.897000+00:00,60816.31239464134
,2025 KA34,000000IPCe21,21.734,,Lz,225.8208905,-39.9853278,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2025 KA34,000000IPCe21,21.501,,Lz,225.8196855,-39.9855119,2025-05-21 07:38:59.546000+00:00,60816.31874474557
,2025 KA34,000000IPCe21,21.563,,Lz,225.8191882,-39.9856072,2025-05-21 07:40:29.574000+00:00,60816.319786736276
,2025 KA34,000000IPCe21,21.342,,Lz,225.8186409,-39.9857027,2025-05-21 07:41:55.159000+00:00,60816.32077730307
,2025 KA34,000000IPCe21,21.565,,Lz,225.8182213,-39.9857931,2025-05-21 07:43:17.708000+00:00,60816.321732731536
,2025 KA34,000000IPCe21,21.546,,Lz,225.8180065,-39.9858391,2025-05-21 07:44:00.466000+00:00,60816.32222761586
,2025 KA34,000000IPCe22,22.219,,Lg,225.3936483,-40.0674336,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2025 KA34,000000IPCe22,22.216,,Lg,225.393233,-40.0675147,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KA34,000000IPCe22,22.241,,Lg,225.3929786,-40.0675569,2025-05-22 05:22:23.784000+00:00,60817.22388638882
,2025 KA34,000000IPCe22,22.296,,Lg,225.3925536,-40.0676428,2025-05-22 05:23:35.722000+00:00,60817.224719004706
,2025 KA34,000000IPCe22,22.218,,Lg,225.3923217,-40.0676627,2025-05-22 05:24:17.666000+00:00,60817.22520446777
,2025 KA34,000000IPCe22,22.229,,Lg,225.3920943,-40.0677166,2025-05-22 05:24:59.750000+00:00,60817.22569155088
,2025 KA34,000000IPCe22,22.257,,Lg,225.3916844,-40.0677768,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2025 KA34,000000IPCe22,22.262,,Lg,225.3910314,-40.0678899,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KA34,000000IPCe22,22.168,,Lg,225.3907677,-40.0679375,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2025 KA34,000000IPCe22,22.232,,Lg,225.3905107,-40.0679784,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KA34,000000IPCe22,22.243,,Lg,225.3902265,-40.0680191,2025-05-22 05:30:35.160000+00:00,60817.22957361117
,2025 KA34,000000IPCe22,22.285,,Lg,225.3899318,-40.068084,2025-05-22 05:31:22.186000+00:00,60817.23011789331
,2025 KA34,000000IPCe22,22.329,,Lg,225.3897092,-40.0681243,2025-05-22 05:32:04.564000+00:00,60817.23060837947
,2025 KA34,000000IPCe22,22.201,,Lg,225.3893835,-40.0681793,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KA34,000000IPCe22,22.162,,Lg,225.3888597,-40.0682741,2025-05-22 05:34:35.647000+00:00,60817.23235702561
,2025 KA34,000000IPCe22,22.182,,Lg,225.3871426,-40.0685726,2025-05-22 05:39:38.021000+00:00,60817.23585672444
,2025 KA34,000000IPCe22,21.789,,Lr,225.3805041,-40.0697138,2025-05-22 05:59:23.512000+00:00,60817.24957768526
,2025 KA34,000000IPCe22,21.774,,Lr,225.3802076,-40.0697362,2025-05-22 06:00:15.327000+00:00,60817.250177395996
,2025 KA34,000000IPCe22,21.739,,Lr,225.3799604,-40.0697693,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2025 KA34,000000IPCe22,21.724,,Lr,225.379736,-40.0698241,2025-05-22 06:01:39.830000+00:00,60817.251155439764
,2025 KA34,000000IPCe22,21.793,,Lr,225.3789734,-40.0699573,2025-05-22 06:03:53.987000+00:00,60817.25270818267
,2025 KA34,000000IPCe22,21.728,,Lr,225.3785955,-40.0700077,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2025 KA34,000000IPCe22,21.767,,Lr,225.3783379,-40.0700474,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2025 KA34,000000IPCe22,21.794,,Lr,225.3780853,-40.0700936,2025-05-22 06:06:34.744000+00:00,60817.25456879614
,2025 KA34,000000IPCe22,21.829,,Lr,225.3777012,-40.0701615,2025-05-22 06:07:41.777000+00:00,60817.255344641395
,2025 KA34,000000IPCe22,21.826,,Lr,225.377429,-40.070219,2025-05-22 06:08:29.720000+00:00,60817.25589953689
,2025 KA34,000000IPCe22,21.715,,Lr,225.3766708,-40.0703322,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2025 KA34,000000IPCe22,21.681,,Lr,225.3764209,-40.07039,2025-05-22 06:11:32.749000+00:00,60817.25801792834
,2025 KA34,000000IPCe22,21.737,,Lr,225.375376,-40.0705632,2025-05-22 06:14:30.623000+00:00,60817.260076655075
,2025 KA34,000000IPCe22,21.777,,Lr,225.3751772,-40.070582,2025-05-22 06:15:13.363000+00:00,60817.260571330786
,2025 KA34,000000IPCe22,21.766,,Lr,225.3746969,-40.0706766,2025-05-22 06:16:37.597000+00:00,60817.26154626161
,2025 KA34,000000IPCe22,21.81,,Lr,225.3744286,-40.0707269,2025-05-22 06:17:19.217000+00:00,60817.262027974706
,2025 KA34,000000IPCe22,21.608,,Li,225.3720326,-40.0711319,2025-05-22 06:24:27.631000+00:00,60817.26698646974
,2025 KA34,000000IPCe22,21.556,,Li,225.3715862,-40.0711933,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2025 KA34,000000IPCe22,21.565,,Li,225.3712905,-40.0712272,2025-05-22 06:26:38.765000+00:00,60817.26850422472
,2025 KA34,000000IPCe22,21.589,,Li,225.3708317,-40.0713259,2025-05-22 06:28:08.133000+00:00,60817.26953857625
,2025 KA34,000000IPCe22,21.676,,Li,225.3705804,-40.0713639,2025-05-22 06:28:50.397000+00:00,60817.27002774319
,2025 KA34,000000IPCe22,21.621,,Li,225.3700461,-40.0714445,2025-05-22 06:30:25.357000+00:00,60817.27112681698
,2025 KA34,000000IPCe22,21.607,,Li,225.3697745,-40.0714742,2025-05-22 06:31:07.411000+00:00,60817.27161355317
,2025 KA34,000000IPCe22,21.744,,Li,225.3695411,-40.071557,2025-05-22 06:31:54.697000+00:00,60817.27216084488
,2025 KA34,000000IPCe22,21.658,,Li,225.3692939,-40.0715813,2025-05-22 06:32:36.890000+00:00,60817.27264918992
,2025 KA34,000000IPCe22,21.595,,Li,225.3685634,-40.0717109,2025-05-22 06:34:55.098000+00:00,60817.27424881933
,2025 KA34,000000IPCe22,21.58,,Li,225.3680836,-40.0717871,2025-05-22 06:36:20.012000+00:00,60817.2752316203
,2025 KA34,000000IPCe22,21.597,,Li,225.367831,-40.0718144,2025-05-22 06:37:03.509000+00:00,60817.27573505789
,2025 KA34,000000IPCe22,21.607,,Li,225.3668445,-40.0720109,2025-05-22 06:39:57.625000+00:00,60817.27775028953
,2025 KA34,000000IPCe22,21.555,,Li,225.3665583,-40.0720492,2025-05-22 06:40:49.711000+00:00,60817.2783531365
,2025 KA34,000000IPCe22,21.593,,Lz,225.3617459,-40.0728343,2025-05-22 06:55:17.111000+00:00,60817.28839248838
,2025 KA34,000000IPCe22,21.567,,Lz,225.3614928,-40.0729036,2025-05-22 06:55:59.248000+00:00,60817.288880185224
,2025 KA34,000000IPCe22,21.601,,Lz,225.3611598,-40.0729364,2025-05-22 06:56:52.185000+00:00,60817.28949288186
,2025 KA34,000000IPCe22,21.502,,Lz,225.3609112,-40.0729994,2025-05-22 06:57:34.390000+00:00,60817.28998136567
,2025 KA34,000000IPCe22,21.488,,Lz,225.3596819,-40.0731916,2025-05-22 07:01:16.134000+00:00,60817.292547847144
,2025 KA34,000000IPCe22,21.556,,Lz,225.3594625,-40.0731981,2025-05-22 07:02:03.339000+00:00,60817.29309420148
,2025 KA34,000000IPCe22,21.772,,Lz,225.3591278,-40.0732392,2025-05-22 07:02:46.665000+00:00,60817.29359565955
,2025 KA34,000000IPCe22,21.512,,Lz,225.3589317,-40.0732745,2025-05-22 07:03:38.780000+00:00,60817.29419884272
,2025 KA34,000000IPCe22,21.641,,Lz,225.3586595,-40.0733379,2025-05-22 07:04:21.540000+00:00,60817.294693749864
,2025 KA34,000000IPCe22,21.486,,Lz,225.3583707,-40.0733831,2025-05-22 07:05:08.537000+00:00,60817.29523769673
,2025 KA34,000000IPCe22,21.652,,Lz,225.357933,-40.0735079,2025-05-22 07:06:38.963000+00:00,60817.296284293756
,2025 KA34,000000IPCe22,21.737,,Lz,225.3566517,-40.0736876,2025-05-22 07:10:24.387000+00:00,60817.29889336787
,2025 KA34,000000IPCe22,21.745,,Lz,225.3563782,-40.0737284,2025-05-22 07:11:07.445000+00:00,60817.299391724635
,2025 KA34,000000IPCe23,22.37,,Li,224.5266598,-40.2179899,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2025 KA34,000000IPCe23,22.432,,Li,224.5264532,-40.2180353,2025-05-24 01:57:48.911000+00:00,60819.081816099584
,2025 KA34,000000IPCe23,22.569,,Li,224.5261916,-40.2180777,2025-05-24 01:58:31.366000+00:00,60819.082307477016
,2025 KA34,000000IPCe23,22.486,,Li,224.5257303,-40.2181502,2025-05-24 01:59:56.085000+00:00,60819.08328802092
,2025 KA34,000000IPCe23,22.46,,Li,224.5254596,-40.2181819,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2025 KA34,000000IPCe23,22.435,,Li,224.5252558,-40.2182313,2025-05-24 02:01:20.621000+00:00,60819.08426644653
,2025 KA34,000000IPCe23,22.477,,Li,224.5250163,-40.2182532,2025-05-24 02:02:02.873000+00:00,60819.0847554747
,2025 KA34,000000IPCe23,22.406,,Li,224.5248002,-40.2182971,2025-05-24 02:02:45.038000+00:00,60819.08524349518
,2025 KA34,000000IPCe23,22.608,,Li,224.5236054,-40.2184874,2025-05-24 02:06:17.710000+00:00,60819.08770497702
,2025 KA34,000000IPCe23,22.478,,Li,224.5231565,-40.2185634,2025-05-24 02:07:42.277000+00:00,60819.088683761656
,2025 KA34,000000IPCe23,22.43,,Li,224.5226746,-40.2186526,2025-05-24 02:09:07.586000+00:00,60819.08967113448
,2025 KA34,000000IPCe23,22.43,,Li,224.5224456,-40.2186743,2025-05-24 02:09:49.650000+00:00,60819.09015798615
,2025 KA34,000000IPCe23,22.497,,Li,224.5219721,-40.2187766,2025-05-24 02:11:13.809000+00:00,60819.09113204852
,2025 KA34,000000IPCe23,22.438,,Li,224.5214936,-40.2188213,2025-05-24 02:12:37.758000+00:00,60819.092103680596
,2025 KA34,000000IPCe23,22.528,,Li,224.5210331,-40.2189194,2025-05-24 02:14:01.928000+00:00,60819.09307787055
,2025 KA34,000000IPCe23,22.371,,Lz,224.5176882,-40.2194467,2025-05-24 02:23:59.296000+00:00,60819.09999185195
,2025 KA34,000000IPCe23,22.308,,Lz,224.5172735,-40.2195219,2025-05-24 02:25:23.743000+00:00,60819.10096924752
,2025 KA34,000000IPCe23,22.34,,Lz,224.5169913,-40.2195493,2025-05-24 02:26:05.838000+00:00,60819.101456458215
,2025 KA34,000000IPCe23,22.533,,Lz,224.5168404,-40.2195755,2025-05-24 02:26:47.164000+00:00,60819.101934768725
,2025 KA34,000000IPCe23,22.415,,Lz,224.516109,-40.2196983,2025-05-24 02:28:53.806000+00:00,60819.10340053262
,2025 KA34,000000IPCe23,22.586,,Lz,224.5155951,-40.2198011,2025-05-24 02:30:18.646000+00:00,60819.10438247677
,2025 KA34,000000IPCe23,22.413,,Lr,224.5099265,-40.2207062,2025-05-24 02:47:20.372000+00:00,60819.11620800942
,2025 KA34,000000IPCe23,22.431,,Lr,224.5092341,-40.2208024,2025-05-24 02:49:27.365000+00:00,60819.11767783575
,2025 KA34,000000IPCe23,22.569,,Lr,224.5090008,-40.2208623,2025-05-24 02:50:10.106000+00:00,60819.1181725231
,2025 KA34,000000IPCe23,22.622,,Lr,224.5042078,-40.2216064,2025-05-24 03:04:35.084000+00:00,60819.12818384264
,2025 KA34,000000IPCe23,22.612,,Lr,224.5039371,-40.2216489,2025-05-24 03:05:19.098000+00:00,60819.12869326398
,2025 KA34,000000IPCe23,22.601,,Lr,224.5024846,-40.2218777,2025-05-24 03:09:39.918000+00:00,60819.131712013856
,2025 KA34,000000IPCe23,22.553,,Lr,224.5020086,-40.2219446,2025-05-24 03:11:06.380000+00:00,60819.1327127316
,2025 KA34,000000IPCe23,22.544,,Lr,224.5000267,-40.2222564,2025-05-24 03:17:04.387000+00:00,60819.136856331024
,2025 KA34,000000IPCe23,22.509,,Lr,224.4997946,-40.2222959,2025-05-24 03:17:44.946000+00:00,60819.1373257637
,2025 KA34,000000IPCe23,22.912,,Lg,224.4974812,-40.2226615,2025-05-24 03:24:41.442000+00:00,60819.14214631962
,2025 KA34,000000IPCe23,22.996,,Lg,224.4970197,-40.2227425,2025-05-24 03:26:06.178000+00:00,60819.14312706003
,2025 KA34,000000IPCe23,22.945,,Lg,224.4967439,-40.2227738,2025-05-24 03:26:53.076000+00:00,60819.1436698609
,2025 KA34,000000IPCe23,22.92,,Lg,224.4964739,-40.2228083,2025-05-24 03:27:41.117000+00:00,60819.144225891214
,2025 KA34,000000IPCe23,22.818,,Lg,224.4957286,-40.2229258,2025-05-24 03:29:55.007000+00:00,60819.14577554399
,2025 KA34,000000IPCe23,22.9,,Lg,224.4950347,-40.2230348,2025-05-24 03:32:02.881000+00:00,60819.1472555669
,2025 KA34,000000IPCe23,22.945,,Lg,224.4947975,-40.223076,2025-05-24 03:32:44.591000+00:00,60819.147738321684
,2025 KA34,000000IPCe23,22.942,,Lg,224.4935875,-40.2232568,2025-05-24 03:36:23.555000+00:00,60819.15027262736
,2025 KA34,000000IPCe23,22.985,,Lg,224.4925487,-40.2234278,2025-05-24 03:39:31.544000+00:00,60819.152448426
,2025 KA34,000000IPCe23,23.052,,Lg,224.4923049,-40.2234677,2025-05-24 03:40:15.036000+00:00,60819.15295180539
