permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KD33,000000IPCba1,23.542,,Lg,150.0919058,1.4227208,2025-05-20 23:56:09.639000+00:00,60815.99733378459
,2025 KD33,000000IPCba1,23.683,,Lg,150.0919629,1.4227149,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KD33,000000IPCba1,23.541,,Lg,150.0920573,1.4226967,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KD33,000000IPCba1,23.528,,Lg,150.0921099,1.4227047,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2025 KD33,000000IPCba1,23.638,,Lg,150.0921646,1.4226841,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2025 KD33,000000IPCba1,23.486,,Lg,150.0922057,1.4227124,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2025 KD33,000000IPCba1,23.69,,Lg,150.0922193,1.4226843,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KD33,000000IPCba1,23.648,,Lg,150.092288,1.4226972,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KD33,000000IPCba1,23.697,,Lg,150.0923193,1.4227151,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KD33,000000IPCba1,23.53,,Lg,150.0923693,1.4226703,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KD33,000000IPCba1,23.533,,Lg,150.0924218,1.4226844,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KD33,000000IPCba1,23.669,,Lg,150.0925503,1.4226481,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 KD33,000000IPCba1,23.69,,Lg,150.0925753,1.4226594,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KD33,000000IPCba1,23.586,,Lg,150.0927504,1.4226025,2025-05-21 00:12:26.275000+00:00,60816.00863744225
,2025 KD33,000000IPCba1,23.548,,Lg,150.0928855,1.4226426,2025-05-21 00:15:35.565000+00:00,60816.01082829852
