permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KM34,000000IPCfa1,22.655,,Li,225.6970651,-39.0934193,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KM34,000000IPCfa1,22.686,,Li,225.6968176,-39.0934533,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KM34,000000IPCfa1,22.618,,Li,225.696051,-39.0935557,2025-05-21 06:36:54.211000+00:00,60816.27562744217
,2025 KM34,000000IPCfa1,22.668,,Li,225.6939861,-39.0938466,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KM34,000000IPCfa1,22.412,,Li,225.692801,-39.0939558,2025-05-21 06:47:15.376000+00:00,60816.28281685198
,2025 KM34,000000IPCfa1,22.762,,Li,225.6920599,-39.0940762,2025-05-21 06:49:25.563000+00:00,60816.284323645756
,2025 KM34,000000IPCfa1,22.787,,Li,225.6918662,-39.0941278,2025-05-21 06:50:08.403000+00:00,60816.2848194791
,2025 KM34,000000IPCfa1,22.742,,Lr,225.6883445,-39.0945616,2025-05-21 07:01:05.650000+00:00,60816.29242650466
,2025 KM34,000000IPCfa1,22.791,,Lr,225.6878654,-39.094618,2025-05-21 07:02:29.901000+00:00,60816.29340163199
,2025 KM34,000000IPCfa1,22.953,,Lr,225.6876748,-39.0946412,2025-05-21 07:03:17.544000+00:00,60816.293953055516
,2025 KM34,000000IPCfa1,22.829,,Lr,225.6869467,-39.0947167,2025-05-21 07:05:28.472000+00:00,60816.295468425844
,2025 KM34,000000IPCfa1,22.781,,Lr,225.686478,-39.0948033,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KM34,000000IPCfa1,22.845,,Lr,225.6862289,-39.0948476,2025-05-21 07:07:37.797000+00:00,60816.29696524283
,2025 KM34,000000IPCfa1,22.719,,Lr,225.6859979,-39.094867,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KM34,000000IPCfa1,22.816,,Lr,225.6858097,-39.094873,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KM34,000000IPCfa1,22.335,,Lz,225.6792312,-39.0956637,2025-05-21 07:29:50.897000+00:00,60816.31239464134
,2025 KM34,000000IPCfa2,23.003,,Lg,225.2734906,-39.1519103,2025-05-22 05:20:25.337000+00:00,60817.22251547454
,2025 KM34,000000IPCfa2,23.273,,Lg,225.2730317,-39.1519072,2025-05-22 05:21:42.085000+00:00,60817.22340376163
