permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KX33,000000IPCdV1,22.05,,Lg,227.9620566,-40.4550645,2025-05-29 06:28:51.323000+00:00,60824.27003846085
,2025 KX33,000000IPCdV1,22.067,,Lg,227.9616986,-40.4547503,2025-05-29 06:30:16.136000+00:00,60824.271020092536
,2025 KX33,000000IPCdV1,22.063,,Lg,227.9612189,-40.4542808,2025-05-29 06:32:22.795000+00:00,60824.27248605341
,2025 KX33,000000IPCdV1,22.051,,Lg,227.9598048,-40.4528496,2025-05-29 06:38:42.343000+00:00,60824.276878969744
,2025 KX33,000000IPCdV1,21.63,,Lr,227.9500797,-40.4431636,2025-05-29 07:21:39.438000+00:00,60824.30670645833
,2025 KX33,000000IPCdV1,21.692,,Lr,227.9495854,-40.4426889,2025-05-29 07:23:46.635000+00:00,60824.308178646024
,2025 KX33,000000IPCdV2,21.714,,Lr,227.3621849,-39.8246015,2025-05-31 05:25:30.268000+00:00,60826.22604476847
,2025 KX33,000000IPCdV2,21.713,,Lr,227.3620572,-39.8244536,2025-05-31 05:26:08+00:00,60826.226481481455
,2025 KX33,000000IPCdV2,21.715,,Lr,227.3619168,-39.8243201,2025-05-31 05:26:45.717000+00:00,60826.22691802075
,2025 KX33,000000IPCdV2,21.699,,Lr,227.3616392,-39.8240298,2025-05-31 05:28:01.067000+00:00,60826.22779012751
,2025 KX33,000000IPCdV2,21.747,,Lr,227.3603743,-39.8227134,2025-05-31 05:33:42.313000+00:00,60826.231739733834
,2025 KX33,000000IPCdV2,21.692,,Lr,227.3600005,-39.8222555,2025-05-31 05:35:36.655000+00:00,60826.23306313669
,2025 KX33,000000IPCdV2,21.687,,Lr,227.3595728,-39.8218411,2025-05-31 05:37:30.032000+00:00,60826.2343753702
,2025 KX33,000000IPCdV2,22.713,,Lg,227.3475389,-39.8089423,2025-05-31 06:33:17.430000+00:00,60826.27311840281
,2025 KX33,000000IPCdV2,22.809,,Lg,227.3474329,-39.8087822,2025-05-31 06:33:55.147000+00:00,60826.273554942105
,2025 KX33,000000IPCdV2,22.913,,Lg,227.3472759,-39.808641,2025-05-31 06:34:32.871000+00:00,60826.273991562426
,2025 KX33,000000IPCdV2,22.788,,Lg,227.3470125,-39.8083671,2025-05-31 06:35:49.657000+00:00,60826.274880289566
,2025 KX33,000000IPCdV2,22.794,,Lg,227.3459472,-39.8071654,2025-05-31 06:40:53.294000+00:00,60826.27839460643
,2025 KX33,000000IPCdV2,22.654,,Lg,227.3453696,-39.8065937,2025-05-31 06:43:24.500000+00:00,60826.2801446761
,2025 KX33,000000IPCdV2,22.549,,Lg,227.3447775,-39.8059874,2025-05-31 06:45:56.010000+00:00,60826.28189826384
,2025 KX33,000000IPCdV2,22.589,,Lg,227.344676,-39.8058305,2025-05-31 06:46:33.728000+00:00,60826.28233481478
,2025 KX33,000000IPCdV2,22.53,,Lg,227.3445524,-39.805704,2025-05-31 06:47:11.375000+00:00,60826.282770543825
,2025 KX33,000000IPCdV2,22.406,,Lg,227.3442966,-39.8054081,2025-05-31 06:48:28.951000+00:00,60826.283668414224
,2025 KX33,000000IPCdV2,22.613,,Lg,227.3441699,-39.8052546,2025-05-31 06:49:07.705000+00:00,60826.28411695594
,2025 KX33,000000IPCdV2,22.597,,Lg,227.3438649,-39.8049627,2025-05-31 06:50:24.748000+00:00,60826.28500865726
,2025 KX33,000000IPCdV2,22.523,,Lg,227.343733,-39.8048297,2025-05-31 06:51:02.606000+00:00,60826.2854468287
,2025 KX33,000000IPCdV3,21.904,,Li,226.8324591,-39.2159138,2025-06-02 01:35:22.190000+00:00,60828.06622905098
,2025 KX33,000000IPCdV3,21.908,,Li,226.8323223,-39.2157596,2025-06-02 01:36:00.581000+00:00,60828.06667339103
,2025 KX33,000000IPCdV3,21.835,,Li,226.8316614,-39.2150284,2025-06-02 01:39:12.121000+00:00,60828.0688902894
,2025 KX33,000000IPCdV3,21.778,,Li,226.8308686,-39.2141387,2025-06-02 01:43:04.753000+00:00,60828.07158278953
,2025 KX33,000000IPCdV3,21.816,,Li,226.8307418,-39.2139928,2025-06-02 01:43:42.491000+00:00,60828.072019571904
,2025 KX33,000000IPCdV3,21.774,,Li,226.8306108,-39.2138473,2025-06-02 01:44:20.432000+00:00,60828.07245870354
,2025 KX33,000000IPCdV3,21.772,,Li,226.8304725,-39.2136948,2025-06-02 01:45:00.047000+00:00,60828.07291721087
,2025 KX33,000000IPCdV3,21.674,,Li,226.8264289,-39.2091752,2025-06-02 02:04:38.044000+00:00,60828.08655143529
,2025 KX33,000000IPCdV3,21.647,,Li,226.8262957,-39.2090243,2025-06-02 02:05:15.867000+00:00,60828.086989201605
,2025 KX33,000000IPCdV3,21.645,,Li,226.8261598,-39.2088757,2025-06-02 02:05:53.616000+00:00,60828.0874261111
,2025 KX33,000000IPCdV3,21.582,,Li,226.8260349,-39.2087335,2025-06-02 02:06:33.036000+00:00,60828.08788236091
,2025 KX33,000000IPCdV3,21.558,,Li,226.8257633,-39.2084393,2025-06-02 02:07:50.994000+00:00,60828.08878465276
,2025 KX33,000000IPCdV3,21.591,,Li,226.8253566,-39.2079724,2025-06-02 02:09:47.029000+00:00,60828.09012765065
,2025 KX33,000000IPCdV3,21.584,,Li,226.8252365,-39.2078416,2025-06-02 02:10:24.764000+00:00,60828.090564398095
,2025 KX33,000000IPCdV3,21.534,,Li,226.8246917,-39.2072268,2025-06-02 02:13:03.391000+00:00,60828.09240035899
,2025 KX33,000000IPCdV3,21.521,,Li,226.82456,-39.2070818,2025-06-02 02:13:41.014000+00:00,60828.092835810035
,2025 KX33,000000IPCdV3,21.444,,Li,226.820543,-39.2025786,2025-06-02 02:33:09.689000+00:00,60828.1063621412
,2025 KX33,000000IPCdV3,21.486,,Lz,226.8184861,-39.2002608,2025-06-02 02:43:09.719000+00:00,60828.11330693308
,2025 KX33,000000IPCdV3,21.494,,Lz,226.8183304,-39.200114,2025-06-02 02:43:47.445000+00:00,60828.11374357622
,2025 KX33,000000IPCdV3,21.473,,Lz,226.8182077,-39.1999591,2025-06-02 02:44:25.169000+00:00,60828.11418019654
,2025 KX33,000000IPCdV3,21.382,,Lz,226.8180704,-39.1998105,2025-06-02 02:45:05.193000+00:00,60828.11464343732
,2025 KX33,000000IPCdV3,21.463,,Lz,226.8177904,-39.1994861,2025-06-02 02:46:29.346000+00:00,60828.11561743077
,2025 KX33,000000IPCdV3,21.397,,Lz,226.8173734,-39.1990492,2025-06-02 02:48:27.448000+00:00,60828.116984352004
,2025 KX33,000000IPCdV3,21.332,,Lz,226.8172296,-39.1988622,2025-06-02 02:49:10.960000+00:00,60828.11748796282
,2025 KX33,000000IPCdV3,21.426,,Lz,226.8166946,-39.1982587,2025-06-02 02:51:50.315000+00:00,60828.11933234939
,2025 KX33,000000IPCdV3,21.459,,Lz,226.816575,-39.1980901,2025-06-02 02:52:29.557000+00:00,60828.11978653958
,2025 KX33,000000IPCdV3,21.362,,Lz,226.8162954,-39.1978054,2025-06-02 02:53:46.805000+00:00,60828.12068061344
,2025 KX33,000000IPCdV3,21.333,,Lz,226.8161461,-39.1976569,2025-06-02 02:54:27.076000+00:00,60828.12114671292
,2025 KX33,000000IPCdV3,21.295,,Lz,226.8156975,-39.197145,2025-06-02 02:56:33.934000+00:00,60828.12261497695
,2025 KX33,000000IPCdV3,21.393,,Lz,226.8155703,-39.1970017,2025-06-02 02:57:14.776000+00:00,60828.12308768509
,2025 KX33,000000IPCdV3,21.417,,Lz,226.8154354,-39.1968513,2025-06-02 02:57:54.396000+00:00,60828.123546250165
,2025 KX33,000000IPCdV3,21.338,,Lz,226.815291,-39.196696,2025-06-02 02:58:34.603000+00:00,60828.12401160877
,2025 KX33,000000IPCdV3,21.385,,Lz,226.8151487,-39.1965258,2025-06-02 02:59:15.927000+00:00,60828.124489896
,2025 KX33,000000IPCdV3,21.42,,Lz,226.8150038,-39.1963617,2025-06-02 02:59:56.312000+00:00,60828.12495731469
,2025 KX33,000000IPCdV3,21.358,,Lz,226.8148646,-39.1961903,2025-06-02 03:00:38.583000+00:00,60828.125446562655
,2025 KX33,000000IPCdV3,21.438,,Lz,226.8145523,-39.1958501,2025-06-02 03:02:10.846000+00:00,60828.12651442131
,2025 KX33,000000IPCdV3,21.372,,Lz,226.8144248,-39.1956848,2025-06-02 03:02:50.861000+00:00,60828.12697755778
,2025 KX33,000000IPCdV3,22.967,,Lg,226.7966021,-39.1755352,2025-06-02 04:29:07.433000+00:00,60828.18689158559
