permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2022 SL151,000000ISf201,24.116,,Lg,150.08967,2.6428363,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2022 SL151,000000ISf201,24.473,,Lg,150.0897693,2.6428042,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2022 SL151,000000ISf201,24.191,,Lg,150.0898188,2.6428263,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2022 SL151,000000ISf201,24.224,,Lg,150.0899034,2.642803,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2022 SL151,000000ISf201,23.923,,Lg,150.0899906,2.6428021,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2022 SL151,000000ISf201,24.313,,Lg,150.0900347,2.6427908,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2022 SL151,000000ISf201,24.293,,Lg,150.0901331,2.642788,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2022 SL151,000000ISf201,24.244,,Lg,150.0902157,2.64283,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2022 SL151,000000ISf201,24.272,,Lg,150.0902421,2.6427987,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2022 SL151,000000ISf201,24.439,,Lg,150.0903489,2.6428114,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2022 SL151,000000ISf201,24.112,,Lg,150.0904114,2.6427499,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2022 SL151,000000ISf201,23.914,,Lg,150.0904682,2.6427892,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2022 SL151,000000ISf201,23.994,,Lg,150.0905568,2.6427305,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2022 SL151,000000ISf201,24.414,,Lg,150.0906474,2.6427403,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2022 SL151,000000ISf201,24.099,,Lg,150.090792,2.6427121,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2022 SL151,000000ISf201,23.677,,Lg,150.0909326,2.6427264,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2022 SL151,000000ISf201,23.929,,Lg,150.0910675,2.6426847,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2022 SL151,000000ISf201,23.937,,Lg,150.0911571,2.6427059,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2022 SL151,000000ISf201,23.863,,Lg,150.0912042,2.642703,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2022 SL151,000000ISf201,24.042,,Lg,150.0912507,2.642685,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2022 SL151,000000ISf201,24.132,,Lg,150.0913568,2.6426875,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2022 SL151,000000ISf201,24.067,,Lg,150.0914446,2.6426686,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2022 SL151,000000ISf201,23.937,,Lg,150.0914879,2.6426725,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2022 SL151,000000ISf201,24.069,,Lg,150.0916143,2.6426244,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2022 SL151,000000ISf201,23.966,,Lg,150.0917103,2.6426246,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2022 SL151,000000ISf201,24.061,,Lg,150.0917958,2.6426427,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2022 SL151,000000ISf201,24.023,,Lg,150.0918897,2.6426064,2025-05-24 01:02:01.624000+00:00,60819.043074351735
,2022 SL151,000000ISf201,23.266,,Lr,150.0923512,2.6425808,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2022 SL151,000000ISf201,23.729,,Lr,150.0924286,2.6425952,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2022 SL151,000000ISf201,23.773,,Lr,150.092512,2.6425504,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2022 SL151,000000ISf201,23.626,,Lr,150.0925886,2.6425241,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2022 SL151,000000ISf201,23.616,,Lr,150.092648,2.6425397,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2022 SL151,000000ISf201,23.504,,Lr,150.0927067,2.6425616,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2022 SL151,000000ISf201,23.54,,Lr,150.0928177,2.6425351,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2022 SL151,000000ISf201,23.533,,Lr,150.0928672,2.6425029,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2022 SL151,000000ISf201,23.432,,Lr,150.0929706,2.6425038,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2022 SL151,000000ISf201,23.412,,Lr,150.0930184,2.6424864,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2022 SL151,000000ISf201,23.358,,Lr,150.0930674,2.6424704,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2022 SL151,000000ISf201,23.502,,Lr,150.0931357,2.6425246,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2022 SL151,000000ISf201,23.591,,Lr,150.09325,2.6424885,2025-05-24 01:15:55.757000+00:00,60819.05272866879
,2022 SL151,000000ISf201,23.327,,Lr,150.0932947,2.6424852,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2022 SL151,000000ISf201,23.588,,Lr,150.0934094,2.6424389,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2022 SL151,000000ISf201,23.445,,Lr,150.0934535,2.6424787,2025-05-24 01:18:11.659000+00:00,60819.05430160882
,2022 SL151,000000ISf201,23.549,,Lr,150.0935696,2.6424804,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2022 SL151,000000ISf201,23.491,,Lr,150.0936259,2.6424455,2025-05-24 01:19:41.878000+00:00,60819.05534581002
,2022 SL151,000000ISf201,23.495,,Lr,150.0936846,2.6424792,2025-05-24 01:20:27.237000+00:00,60819.05587079842
,2022 SL151,000000ISf201,23.46,,Lr,150.0937524,2.6424421,2025-05-24 01:21:12.636000+00:00,60819.05639625015
,2022 SL151,000000ISf201,23.407,,Lr,150.0938262,2.6424472,2025-05-24 01:21:57.639000+00:00,60819.05691711791
,2022 SL151,000000ISf201,23.046,,Li,150.0942207,2.6424093,2025-05-24 01:26:15.976000+00:00,60819.0599071295
,2022 SL151,000000ISf201,23.229,,Li,150.0942992,2.6423903,2025-05-24 01:27:01.178000+00:00,60819.06043030089
,2022 SL151,000000ISf201,23.29,,Li,150.0943809,2.6423596,2025-05-24 01:27:46.641000+00:00,60819.06095649302
,2022 SL151,000000ISf201,23.143,,Li,150.0944548,2.6424056,2025-05-24 01:28:31.923000+00:00,60819.06148059014
,2022 SL151,000000ISf201,23.453,,Li,150.0945656,2.6423712,2025-05-24 01:30:02.811000+00:00,60819.06253253482
,2022 SL151,000000ISf201,23.251,,Li,150.0947333,2.6423311,2025-05-24 01:31:33.981000+00:00,60819.06358774286
,2022 SL151,000000ISf201,23.242,,Li,150.0948388,2.6423408,2025-05-24 01:32:19.553000+00:00,60819.06411519693
