permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KE47,000000ISe7J1,22.795,,Li,150.6749954,1.9134686,2025-05-16 00:59:59.101000+00:00,60811.041656261776
,2025 KE47,000000ISe7J1,22.744,,Li,150.6750675,1.9134997,2025-05-16 01:00:39.868000+00:00,60811.04212810192
,2025 KE47,000000ISe7J1,22.86,,Li,150.6751136,1.913535,2025-05-16 01:01:20.880000+00:00,60811.04260277795
,2025 KE47,000000ISe7J1,22.842,,Li,150.6751228,1.9135307,2025-05-16 01:02:02.364000+00:00,60811.04308291664
,2025 KE47,000000ISe7J1,22.756,,Li,150.6751607,1.9135187,2025-05-16 01:02:43.314000+00:00,60811.04355687508
,2025 KE47,000000ISe7J1,22.752,,Li,150.6751913,1.9135355,2025-05-16 01:03:24.232000+00:00,60811.04403046286
,2025 KE47,000000ISe7J1,22.878,,Li,150.6752602,1.9135348,2025-05-16 01:04:46.756000+00:00,60811.04498560168
,2025 KE47,000000ISe7J1,23.122,,Li,150.6753822,1.9135432,2025-05-16 01:06:08.764000+00:00,60811.04593476839
,2025 KE47,000000ISe7J1,22.612,,Li,150.6754366,1.9135504,2025-05-16 01:07:31.307000+00:00,60811.04689012747
,2025 KE47,000000ISe7J1,22.753,,Li,150.6754548,1.9135716,2025-05-16 01:08:12.159000+00:00,60811.04736295156
,2025 KE47,000000ISe7J1,22.769,,Li,150.6755395,1.9135472,2025-05-16 01:08:55.092000+00:00,60811.04785986105
,2025 KE47,000000ISe7J1,23.183,,Li,150.6755652,1.9136127,2025-05-16 01:09:36.127000+00:00,60811.04833480343
,2025 KE47,000000ISe7J1,22.87,,Li,150.6756759,1.9135792,2025-05-16 01:10:17.099000+00:00,60811.04880901612
,2025 KE47,000000ISe7J1,22.788,,Li,150.6757356,1.9135304,2025-05-16 01:11:39.209000+00:00,60811.04975936329
,2025 KE47,000000ISe7J1,22.975,,Li,150.6757636,1.9135928,2025-05-16 01:12:20.148000+00:00,60811.050233194605
,2025 KE47,000000ISe7J1,22.66,,Li,150.6758118,1.9135541,2025-05-16 01:13:42.240000+00:00,60811.051183333155
,2025 KE47,000000ISe7J1,22.774,,Li,150.6758856,1.9136014,2025-05-16 01:14:23.642000+00:00,60811.0516625233
,2025 KE47,000000ISe7J1,22.748,,Li,150.6759119,1.9136167,2025-05-16 01:15:05.198000+00:00,60811.05214349553
,2025 KE47,000000ISe7J1,22.832,,Li,150.6760007,1.913619,2025-05-16 01:16:27.599000+00:00,60811.053097210824
,2025 KE47,000000ISe7J1,22.598,,Lz,150.6771911,1.9137557,2025-05-16 01:36:32.409000+00:00,60811.06704177102
,2025 KE47,000000ISe7J1,22.227,,Lz,150.677485,1.9137756,2025-05-16 01:40:42.195000+00:00,60811.06993281236
,2025 KE47,000000ISe7J1,22.448,,Lz,150.6777234,1.9138431,2025-05-16 01:46:29.025000+00:00,60811.073947048746
,2025 KE47,000000ISe7J2,23.617,,Lg,151.1458965,1.9428985,2025-05-20 23:55:18.762000+00:00,60815.996744930744
,2025 KE47,000000ISe7J2,23.712,,Lg,151.1459782,1.9429251,2025-05-20 23:56:09.639000+00:00,60815.99733378459
,2025 KE47,000000ISe7J2,23.599,,Lg,151.1461121,1.9429065,2025-05-20 23:57:56.988000+00:00,60815.99857624993
,2025 KE47,000000ISe7J2,23.518,,Lg,151.1462489,1.9429319,2025-05-20 23:59:49.097000+00:00,60815.999873807654
,2025 KE47,000000ISe7J2,23.515,,Lg,151.1463112,1.9429268,2025-05-21 00:00:35.154000+00:00,60816.00040687481
,2025 KE47,000000ISe7J2,23.712,,Lg,151.1463804,1.9429214,2025-05-21 00:01:35.967000+00:00,60816.001110729296
,2025 KE47,000000ISe7J2,23.589,,Lg,151.1463758,1.9429714,2025-05-21 00:02:22.012000+00:00,60816.00164365722
,2025 KE47,000000ISe7J2,23.737,,Lg,151.1464556,1.9428896,2025-05-21 00:03:08.142000+00:00,60816.00217756955
,2025 KE47,000000ISe7J2,23.617,,Lg,151.1465503,1.9429175,2025-05-21 00:04:04.332000+00:00,60816.00282791676
,2025 KE47,000000ISe7J2,23.654,,Lg,151.14659,1.9429299,2025-05-21 00:04:50.561000+00:00,60816.00336297462
,2025 KE47,000000ISe7J2,23.459,,Lg,151.1466005,1.9428944,2025-05-21 00:05:32.042000+00:00,60816.003843078855
,2025 KE47,000000ISe7J2,23.62,,Lg,151.1466876,1.9429199,2025-05-21 00:06:13.197000+00:00,60816.00431940984
,2025 KE47,000000ISe7J2,23.483,,Lg,151.1466864,1.9429605,2025-05-21 00:06:54.505000+00:00,60816.004797511734
,2025 KE47,000000ISe7J2,23.586,,Lg,151.146837,1.942931,2025-05-21 00:08:10.606000+00:00,60816.00567831006
,2025 KE47,000000ISe7J2,23.466,,Lg,151.1468662,1.9429123,2025-05-21 00:09:11.843000+00:00,60816.006387071684
,2025 KE47,000000ISe7J2,23.549,,Lg,151.1469248,1.9429333,2025-05-21 00:09:57.882000+00:00,60816.00691993069
,2025 KE47,000000ISe7J2,23.478,,Lg,151.1469842,1.9429147,2025-05-21 00:10:53.968000+00:00,60816.007569074165
,2025 KE47,000000ISe7J2,23.314,,Lg,151.1470571,1.9429331,2025-05-21 00:11:35.217000+00:00,60816.008046492934
,2025 KE47,000000ISe7J2,23.459,,Lg,151.1472064,1.9429507,2025-05-21 00:13:58.390000+00:00,60816.00970358774
,2025 KE47,000000ISe7J2,23.579,,Lg,151.1472096,1.9428868,2025-05-21 00:14:49.442000+00:00,60816.01029446768
,2025 KE47,000000ISe7J2,23.529,,Lg,151.1473589,1.9429216,2025-05-21 00:15:35.565000+00:00,60816.01082829852
,2025 KE47,000000ISe7J2,23.634,,Lg,151.1474105,1.9429668,2025-05-21 00:16:57.245000+00:00,60816.01177366916
,2025 KE47,000000ISe7J2,23.523,,Lg,151.147437,1.9429373,2025-05-21 00:17:47.841000+00:00,60816.012359270826
,2025 KE47,000000ISe7J2,23.576,,Lg,151.1475017,1.9429315,2025-05-21 00:18:38.907000+00:00,60816.012950312346
,2025 KE47,000000ISe7J2,23.492,,Lg,151.147549,1.9429604,2025-05-21 00:19:19.777000+00:00,60816.01342334505
,2025 KE47,000000ISe7J2,23.543,,Lg,151.1476715,1.9429516,2025-05-21 00:20:55.345000+00:00,60816.01452945592
,2025 KE47,000000ISe7J2,23.202,,Lr,151.1524664,1.9430941,2025-05-21 01:30:43.647000+00:00,60816.06300517358
,2025 KE47,000000ISe7J2,23.2,,Lr,151.152544,1.9430796,2025-05-21 01:31:24.889000+00:00,60816.06348251179
,2025 KE47,000000ISe7J2,23.096,,Lr,151.1525971,1.9431004,2025-05-21 01:32:05.928000+00:00,60816.063957499806
,2025 KE47,000000ISe7J2,22.924,,Lr,151.1530365,1.9431316,2025-05-21 01:38:40.774000+00:00,60816.06852747686
,2025 KE47,000000ISe7J2,23.152,,Lr,151.1531277,1.9430691,2025-05-21 01:39:24.550000+00:00,60816.06903414335
,2025 KE47,000000ISe7J2,23.142,,Lr,151.1531763,1.9431241,2025-05-21 01:40:09.105000+00:00,60816.06954982644
,2025 KE47,000000ISe7J2,23.038,,Lr,151.1532151,1.9431446,2025-05-21 01:40:53.270000+00:00,60816.07006099541
,2025 KE47,000000ISe7J2,23.044,,Lr,151.1532177,1.9431133,2025-05-21 01:41:34.336000+00:00,60816.07053629635
,2025 KE47,000000ISe7J2,23.044,,Lr,151.1532967,1.9430825,2025-05-21 01:42:18.409000+00:00,60816.07104640035
,2025 KE47,000000ISe7J2,22.898,,Lr,151.1533061,1.9430505,2025-05-21 01:43:02.297000+00:00,60816.07155436324
,2025 KE47,000000ISe7J2,22.822,,Lr,151.1537634,1.9430497,2025-05-21 01:49:05.647000+00:00,60816.07575980341
,2025 KE47,000000ISe7J2,22.817,,Lr,151.1538735,1.9431417,2025-05-21 01:50:30.902000+00:00,60816.076746550854
,2025 KE47,000000ISe7J3,23.955,,Lg,151.4669646,1.9453491,2025-05-24 00:39:47.645000+00:00,60819.02763477992
,2025 KE47,000000ISe7J3,23.72,,Lg,151.4670513,1.9452874,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KE47,000000ISe7J3,23.781,,Lg,151.4670999,1.945322,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KE47,000000ISe7J3,23.725,,Lg,151.467139,1.9453086,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KE47,000000ISe7J3,23.941,,Lg,151.4672411,1.9453054,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KE47,000000ISe7J3,23.658,,Lg,151.4673237,1.9453043,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KE47,000000ISe7J3,23.893,,Lg,151.4673827,1.9453014,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KE47,000000ISe7J3,23.855,,Lg,151.4674356,1.9452748,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KE47,000000ISe7J3,24.018,,Lg,151.4674987,1.94527,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KE47,000000ISe7J3,24.029,,Lg,151.4675485,1.9453066,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KE47,000000ISe7J3,23.916,,Lg,151.4675674,1.9452993,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KE47,000000ISe7J3,23.954,,Lg,151.4676605,1.9452773,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KE47,000000ISe7J3,24.019,,Lg,151.4677769,1.9452743,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KE47,000000ISe7J3,23.708,,Lg,151.4680799,1.9452718,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2025 KE47,000000ISe7J3,23.699,,Lg,151.4681246,1.9452554,2025-05-24 00:54:52.798000+00:00,60819.038111087866
,2025 KE47,000000ISe7J3,23.412,,Lg,151.46816,1.9452763,2025-05-24 00:55:38.098000+00:00,60819.038635393605
