permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KF29,000000ISf5S1,22.568,,Lr,223.2235401,-40.0549696,2025-06-24 01:47:40.522000+00:00,60850.07477456005
,2025 KF29,000000ISf5S1,22.506,,Lr,223.2233278,-40.0549475,2025-06-24 01:50:39.949000+00:00,60850.07685126178
,2025 KF29,000000ISf5S1,22.52,,Lr,223.2233141,-40.0549198,2025-06-24 01:51:17.766000+00:00,60850.077288958244
,2025 KF29,000000ISf5S1,22.497,,Lr,223.2232582,-40.0548898,2025-06-24 01:51:56.532000+00:00,60850.07773763873
,2025 KF29,000000ISf5S1,22.567,,Lr,223.2231935,-40.0548568,2025-06-24 01:53:13.284000+00:00,60850.07862597238
,2025 KF29,000000ISf5S1,22.607,,Lr,223.2229896,-40.0547902,2025-06-24 01:56:31.902000+00:00,60850.08092479175
,2025 KF29,000000ISf5S1,22.598,,Lr,223.2229253,-40.0547632,2025-06-24 01:57:56.241000+00:00,60850.08190093748
,2025 KF29,000000ISf5S1,22.571,,Lr,223.2228319,-40.0547349,2025-06-24 01:59:15.652000+00:00,60850.08282004623
,2025 KF29,000000ISf5S1,22.599,,Lr,223.2227284,-40.0547055,2025-06-24 02:01:14.129000+00:00,60850.08419130789
,2025 KF29,000000ISf5S1,22.491,,Lr,223.2226865,-40.0546724,2025-06-24 02:02:36.559000+00:00,60850.08514535893
,2025 KF29,000000ISf5S1,22.595,,Lr,223.2226078,-40.0546396,2025-06-24 02:03:56.349000+00:00,60850.0860688542
,2025 KF29,000000ISf5S1,23.076,,Lg,223.2224053,-40.0545541,2025-06-24 02:07:55.397000+00:00,60850.08883561334
,2025 KF29,000000ISf5S1,23.275,,Lg,223.2222786,-40.0545473,2025-06-24 02:08:35.583000+00:00,60850.089300729334
,2025 KF29,000000ISf5S1,23.148,,Lg,223.2223321,-40.0545257,2025-06-24 02:09:14.922000+00:00,60850.089756041765
,2025 KF29,000000ISf5S1,23.317,,Lg,223.222045,-40.0543903,2025-06-24 02:14:45.370000+00:00,60850.09358067112
,2025 KF29,000000ISf5S2,22.576,,Li,222.8582846,-39.8098895,2025-07-01 23:44:31.023000+00:00,60857.98924795119
,2025 KF29,000000ISf5S2,22.334,,Li,222.8582225,-39.8098404,2025-07-01 23:46:27.211000+00:00,60857.99059271999
,2025 KF29,000000ISf5S2,22.511,,Li,222.8582236,-39.8098036,2025-07-01 23:47:42.827000+00:00,60857.99146790523
,2025 KF29,000000ISf5S2,22.482,,Li,222.8581454,-39.8097272,2025-07-01 23:51:39.560000+00:00,60857.994207870215
,2025 KF29,000000ISf5S2,22.406,,Li,222.8581734,-39.8097414,2025-07-01 23:52:18.880000+00:00,60857.994662962854
,2025 KF29,000000ISf5S2,23.219,,Lg,222.8580185,-39.8095595,2025-07-02 00:02:06.741000+00:00,60858.00146690989
,2025 KF29,000000ISf5S2,23.005,,Lg,222.8579693,-39.8095101,2025-07-02 00:02:44.557000+00:00,60858.00190459471
,2025 KF29,000000ISf5S2,23.356,,Lg,222.857896,-39.8094436,2025-07-02 00:04:44.285000+00:00,60858.00329033565
,2025 KF29,000000ISf5S2,23.369,,Lg,222.8578633,-39.809348,2025-07-02 00:10:02.290000+00:00,60858.006970949005
,2025 KF29,000000ISf5S3,22.846,,Lr,222.8316215,-39.7465028,2025-07-04 01:17:22.422000+00:00,60860.05373173626
,2025 KF29,000000ISf5S3,22.711,,Lr,222.8316128,-39.746393,2025-07-04 01:18:50.780000+00:00,60860.0547543983
,2025 KF29,000000ISf5S3,22.745,,Lr,222.8311247,-39.7451435,2025-07-04 02:18:45.887000+00:00,60860.096364432946
,2025 KF29,000000ISf5S3,22.161,,Lz,222.8310425,-39.7448852,2025-07-04 02:27:51.241000+00:00,60860.10267640045
,2025 KF29,000000ISf5S3,22.238,,Lz,222.8310517,-39.7448343,2025-07-04 02:31:18.829000+00:00,60860.105079039466
,2025 KF29,000000ISf5S3,22.303,,Lz,222.8310021,-39.744657,2025-07-04 02:36:49.129000+00:00,60860.10890195612
,2025 KF29,000000ISf5S3,22.229,,Lz,222.8310334,-39.7445444,2025-07-04 02:40:57.855000+00:00,60860.111780729145
,2025 KF29,000000ISf5S3,22.29,,Lz,222.8309658,-39.7446025,2025-07-04 02:41:39.055000+00:00,60860.112257581204
,2025 KF29,000000ISf5S3,22.149,,Lz,222.8309947,-39.744599,2025-07-04 02:42:18.748000+00:00,60860.11271699052
,2025 KF29,000000ISf5S3,22.395,,Lz,222.8308661,-39.7445449,2025-07-04 02:42:58.245000+00:00,60860.11317413207
,2025 KF29,000000ISf5S3,22.143,,Lz,222.8309689,-39.7444252,2025-07-04 02:44:59.178000+00:00,60860.11457381956
,2025 KF29,000000ISf5S4,23.069,,Lr,223.2337334,-39.4150309,2025-07-16 00:07:50.498000+00:00,60872.0054455786
,2025 KF29,000000ISf5S4,22.515,,Lr,223.2338644,-39.4150171,2025-07-16 00:08:29.913000+00:00,60872.005901770666
,2025 KF29,000000ISf5S4,22.992,,Lr,223.2339607,-39.4150025,2025-07-16 00:13:21.939000+00:00,60872.00928170141
,2025 KF29,000000ISf5S4,23.053,,Lr,223.2340158,-39.4148863,2025-07-16 00:14:01.557000+00:00,60872.0097402432
,2025 KF29,000000ISf5S5,23.255,,Lr,223.3068061,-39.3920366,2025-07-16 23:23:57.335000+00:00,60872.974969155155
,2025 KF29,000000ISf5S5,22.942,,Lr,223.306929,-39.3920182,2025-07-16 23:25:17.092000+00:00,60872.97589226859
,2025 KF29,000000ISf5S5,22.885,,Lr,223.3069643,-39.3920155,2025-07-16 23:25:56.841000+00:00,60872.97635232657
,2025 KF29,000000ISf5S5,23.065,,Lr,223.3070313,-39.3919739,2025-07-16 23:27:19.857000+00:00,60872.9773131595
,2025 KF29,000000ISf5S5,23.145,,Lr,223.3070642,-39.3919609,2025-07-16 23:27:59.550000+00:00,60872.977772569284
,2025 KF29,000000ISf5S5,22.849,,Lr,223.3070828,-39.3919747,2025-07-16 23:28:38.984000+00:00,60872.97822898161
,2025 KF29,000000ISf5S5,22.782,,Lr,223.3071303,-39.3919744,2025-07-16 23:29:18.298000+00:00,60872.978684004396
,2025 KF29,000000ISf5S5,22.785,,Lr,223.3073627,-39.3919002,2025-07-16 23:34:00.593000+00:00,60872.98195130797
,2025 KF29,000000ISf5S5,22.986,,Lr,223.3075958,-39.3918029,2025-07-16 23:39:36.185000+00:00,60872.98583547445
,2025 KF29,000000ISf5S5,23.501,,Lg,223.3079202,-39.3916851,2025-07-16 23:45:05.137000+00:00,60872.98964278912
,2025 KF29,000000ISf5S5,23.522,,Lg,223.308021,-39.3916668,2025-07-16 23:47:14.075000+00:00,60872.99113512738
,2025 KF29,000000ISf5S5,23.565,,Lg,223.3081923,-39.3915997,2025-07-16 23:50:44.806000+00:00,60872.99357414339
,2025 KF29,000000ISf5S5,23.471,,Lg,223.3083243,-39.3915771,2025-07-16 23:52:46.790000+00:00,60872.99498599535
,2025 KF29,000000ISf5S5,23.44,,Lg,223.308305,-39.3915641,2025-07-16 23:53:28.093000+00:00,60872.9954640395
,2025 KF29,000000ISf5S5,23.632,,Lg,223.3083647,-39.3915662,2025-07-16 23:54:10.244000+00:00,60872.99595189793
,2025 KF29,000000ISf5S5,23.366,,Lg,223.3083733,-39.391545,2025-07-16 23:54:52.435000+00:00,60872.99644021969
,2025 KF29,000000ISf5S5,23.519,,Lg,223.3084758,-39.391502,2025-07-16 23:56:17.368000+00:00,60872.997423240915
,2025 KF29,000000ISf5S5,23.533,,Lg,223.3085473,-39.3915171,2025-07-16 23:57:36.154000+00:00,60872.99833511561
,2025 KF29,000000ISf5S5,23.538,,Lg,223.3087564,-39.3914222,2025-07-17 00:01:59.030000+00:00,60873.00137766218
,2025 KF29,000000ISf5S5,23.435,,Lg,223.3088396,-39.3914195,2025-07-17 00:03:27.052000+00:00,60873.00239643501
,2025 KF29,000000ISf5S5,23.632,,Lg,223.3088455,-39.3914109,2025-07-17 00:04:07.592000+00:00,60873.00286564836
,2025 KF29,000000ISf5S5,22.512,,Li,223.3096596,-39.391136,2025-07-17 00:20:04.548000+00:00,60873.01394152781
,2025 KF29,000000ISf5S5,22.801,,Li,223.3189917,-39.3879328,2025-07-17 03:23:22.883000+00:00,60873.141237071715
,2025 KF29,000000ISf5S5,22.908,,Li,223.3190102,-39.3879537,2025-07-17 03:24:42.006000+00:00,60873.14215284726
,2025 KF29,000000ISf5S5,22.437,,Li,223.3190903,-39.387969,2025-07-17 03:25:21.510000+00:00,60873.142610069364
,2025 KF29,000000ISf5S5,22.812,,Li,223.3191473,-39.3879244,2025-07-17 03:26:40.751000+00:00,60873.14352721069
,2025 KF29,000000ISf5S5,22.695,,Li,223.3192079,-39.387949,2025-07-17 03:27:20.265000+00:00,60873.14398454875
