permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KG47,000000ISe7f1,24.053,,Lg,150.6077995,2.83221,2025-05-24 00:39:02.266000+00:00,60819.02710956009
,2025 KG47,000000ISe7f1,24.162,,Lg,150.6079262,2.8322433,2025-05-24 00:40:32.849000+00:00,60819.02815797459
,2025 KG47,000000ISe7f1,24.245,,Lg,150.6079688,2.8322608,2025-05-24 00:41:18.062000+00:00,60819.02868127311
,2025 KG47,000000ISe7f1,24.156,,Lg,150.6080481,2.8322723,2025-05-24 00:42:03.159000+00:00,60819.02920322912
,2025 KG47,000000ISe7f1,24.19,,Lg,150.6080929,2.8322842,2025-05-24 00:42:48.544000+00:00,60819.02972851833
,2025 KG47,000000ISe7f1,24.301,,Lg,150.608162,2.8322686,2025-05-24 00:43:33.849000+00:00,60819.030252881814
,2025 KG47,000000ISe7f1,24.192,,Lg,150.6082419,2.832241,2025-05-24 00:44:19.151000+00:00,60819.030777210835
,2025 KG47,000000ISe7f1,24.364,,Lg,150.6082752,2.8322649,2025-05-24 00:45:04.239000+00:00,60819.03129906254
,2025 KG47,000000ISe7f1,23.988,,Lg,150.6083182,2.832268,2025-05-24 00:45:49.587000+00:00,60819.03182392381
,2025 KG47,000000ISe7f1,24.123,,Lg,150.6084135,2.8322398,2025-05-24 00:46:34.969000+00:00,60819.0323491781
,2025 KG47,000000ISe7f1,24.291,,Lg,150.6084723,2.8322565,2025-05-24 00:47:20.071000+00:00,60819.03287119232
,2025 KG47,000000ISe7f1,24.385,,Lg,150.6084807,2.8322593,2025-05-24 00:48:05.263000+00:00,60819.03339424776
,2025 KG47,000000ISe7f1,24.387,,Lg,150.6085974,2.8322559,2025-05-24 00:48:50.262000+00:00,60819.03391506942
,2025 KG47,000000ISe7f1,24.262,,Lg,150.608611,2.8322577,2025-05-24 00:49:35.470000+00:00,60819.03443831019
,2025 KG47,000000ISe7f1,24.226,,Lg,150.608721,2.8323069,2025-05-24 00:50:20.770000+00:00,60819.03496261593
,2025 KG47,000000ISe7f1,24.28,,Lg,150.608819,2.832314,2025-05-24 00:51:51.748000+00:00,60819.03601560183
,2025 KG47,000000ISe7f1,24.229,,Lg,150.6088917,2.832302,2025-05-24 00:52:36.950000+00:00,60819.036538773216
,2025 KG47,000000ISe7f1,24.164,,Lg,150.6089189,2.8322567,2025-05-24 00:53:22.182000+00:00,60819.03706229152
,2025 KG47,000000ISe7f1,24.173,,Lg,150.6089605,2.8323159,2025-05-24 00:54:07.406000+00:00,60819.037585717626
,2025 KG47,000000ISe7f1,24.198,,Lg,150.6090776,2.8323131,2025-05-24 00:55:38.098000+00:00,60819.038635393605
,2025 KG47,000000ISe7f1,24.013,,Lg,150.6091805,2.8323203,2025-05-24 00:56:23.400000+00:00,60819.03915972216
,2025 KG47,000000ISe7f1,24.155,,Lg,150.6092246,2.8322847,2025-05-24 00:57:08.616000+00:00,60819.0396830556
,2025 KG47,000000ISe7f1,24.242,,Lg,150.6092673,2.8322843,2025-05-24 00:57:54.272000+00:00,60819.04021148151
,2025 KG47,000000ISe7f1,23.98,,Lg,150.6093404,2.8323127,2025-05-24 00:58:39.483000+00:00,60819.04073475674
,2025 KG47,000000ISe7f1,24.082,,Lg,150.6093898,2.8322868,2025-05-24 00:59:24.965000+00:00,60819.04126116913
,2025 KG47,000000ISe7f1,24.121,,Lg,150.609433,2.8322802,2025-05-24 01:00:10.343000+00:00,60819.04178637732
,2025 KG47,000000ISe7f1,24.159,,Lg,150.6095324,2.8323081,2025-05-24 01:00:55.666000+00:00,60819.04231094895
,2025 KG47,000000ISe7f1,23.408,,Lr,150.6099436,2.8323328,2025-05-24 01:06:51.951000+00:00,60819.04643461807
,2025 KG47,000000ISe7f1,23.26,,Lr,150.6100107,2.8323188,2025-05-24 01:07:37.062000+00:00,60819.04695673613
,2025 KG47,000000ISe7f1,23.545,,Lr,150.6100862,2.8323438,2025-05-24 01:08:22.324000+00:00,60819.04748060182
,2025 KG47,000000ISe7f1,23.535,,Lr,150.6101101,2.8323555,2025-05-24 01:09:07.628000+00:00,60819.048004953656
,2025 KG47,000000ISe7f1,23.328,,Lr,150.6101987,2.8323447,2025-05-24 01:09:52.932000+00:00,60819.048529305495
,2025 KG47,000000ISe7f1,23.552,,Lr,150.6102436,2.8323519,2025-05-24 01:10:38.393000+00:00,60819.049055474345
,2025 KG47,000000ISe7f1,23.523,,Lr,150.6103059,2.8323589,2025-05-24 01:11:23.583000+00:00,60819.049578506965
,2025 KG47,000000ISe7f1,23.275,,Lr,150.6103489,2.8323361,2025-05-24 01:12:09.154000+00:00,60819.05010594893
,2025 KG47,000000ISe7f1,23.34,,Lr,150.6104092,2.8323511,2025-05-24 01:12:54.554000+00:00,60819.05063141184
,2025 KG47,000000ISe7f1,23.818,,Lr,150.6104761,2.8323698,2025-05-24 01:13:39.837000+00:00,60819.0511555206
,2025 KG47,000000ISe7f1,23.51,,Lr,150.6105392,2.8323251,2025-05-24 01:14:25.126000+00:00,60819.051679699216
,2025 KG47,000000ISe7f1,23.578,,Lr,150.6106024,2.8323535,2025-05-24 01:15:10.426000+00:00,60819.05220400449
,2025 KG47,000000ISe7f1,23.782,,Lr,150.6106432,2.8323646,2025-05-24 01:15:55.757000+00:00,60819.05272866879
,2025 KG47,000000ISe7f1,23.465,,Lr,150.6107222,2.8323569,2025-05-24 01:16:41.037000+00:00,60819.05325274309
,2025 KG47,000000ISe7f1,23.531,,Lr,150.6107682,2.8323578,2025-05-24 01:17:26.428000+00:00,60819.05377810169
,2025 KG47,000000ISe7f1,23.291,,Lr,150.6108268,2.8323333,2025-05-24 01:18:11.659000+00:00,60819.05430160882
,2025 KG47,000000ISe7f1,23.375,,Lr,150.6109052,2.8323451,2025-05-24 01:18:56.955000+00:00,60819.05482586799
,2025 KG47,000000ISe7f1,23.376,,Lr,150.6109764,2.8323556,2025-05-24 01:19:41.878000+00:00,60819.05534581002
,2025 KG47,000000ISe7f1,23.481,,Lr,150.6110497,2.8323578,2025-05-24 01:21:12.636000+00:00,60819.05639625015
,2025 KG47,000000ISe7f1,23.347,,Lr,150.611153,2.8323769,2025-05-24 01:21:57.639000+00:00,60819.05691711791
,2025 KG47,000000ISe7f1,23.171,,Li,150.611472,2.8323823,2025-05-24 01:26:15.976000+00:00,60819.0599071295
