permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 KR46,000000ISe6a1,23.042,,Li,226.3233969,-39.7889237,2025-05-21 06:33:40.069000+00:00,60816.27338042809
,2025 KR46,000000ISe6a1,23.029,,Li,226.3232699,-39.7887908,2025-05-21 06:34:26.956000+00:00,60816.273923101835
,2025 KR46,000000ISe6a1,23.085,,Li,226.3230184,-39.7886105,2025-05-21 06:35:24.958000+00:00,60816.2745944215
,2025 KR46,000000ISe6a1,23.076,,Li,226.3228959,-39.7884759,2025-05-21 06:36:12.031000+00:00,60816.27513924753
,2025 KR46,000000ISe6a1,22.956,,Li,226.3225062,-39.788172,2025-05-21 06:37:36.414000+00:00,60816.2761159027
,2025 KR46,000000ISe6a1,23.08,,Li,226.3218818,-39.7876674,2025-05-21 06:40:37.761000+00:00,60816.27821482625
,2025 KR46,000000ISe6a1,22.954,,Li,226.3214037,-39.7872156,2025-05-21 06:42:45.864000+00:00,60816.27969750017
,2025 KR46,000000ISe6a1,23.099,,Li,226.3212926,-39.7871207,2025-05-21 06:43:32.671000+00:00,60816.28023924772
,2025 KR46,000000ISe6a1,23.234,,Lr,226.3162508,-39.7828727,2025-05-21 07:06:54.686000+00:00,60816.296466273256
,2025 KR46,000000ISe6a1,23.195,,Lr,226.3159532,-39.7825877,2025-05-21 07:08:21.047000+00:00,60816.29746582173
,2025 KR46,000000ISe6a1,22.958,,Lr,226.3158168,-39.7824591,2025-05-21 07:09:02.155000+00:00,60816.29794160882
,2025 KR46,000000ISe6a1,22.7,,Lz,226.3101847,-39.777636,2025-05-21 07:35:23.879000+00:00,60816.31624859944
,2025 KR46,000000ISe6a1,22.366,,Lz,226.3090835,-39.7767044,2025-05-21 07:40:29.574000+00:00,60816.319786736276
,2025 KR46,000000ISe6a2,23.452,,Lg,226.0430481,-39.5426856,2025-05-22 05:21:42.085000+00:00,60817.22340376163
,2025 KR46,000000ISe6a2,23.493,,Lg,226.0425833,-39.5422737,2025-05-22 05:23:35.722000+00:00,60817.224719004706
,2025 KR46,000000ISe6a2,23.669,,Lg,226.0420655,-39.5418469,2025-05-22 05:26:11.343000+00:00,60817.22652017372
,2025 KR46,000000ISe6a2,23.413,,Lg,226.041645,-39.5414412,2025-05-22 05:28:14.990000+00:00,60817.22795127332
,2025 KR46,000000ISe6a2,23.339,,Lg,226.0415223,-39.5413408,2025-05-22 05:28:56.420000+00:00,60817.2284307871
,2025 KR46,000000ISe6a2,23.371,,Lg,226.0413584,-39.5412384,2025-05-22 05:29:43.402000+00:00,60817.228974560276
,2025 KR46,000000ISe6a2,23.395,,Lg,226.0409548,-39.5409161,2025-05-22 05:31:22.186000+00:00,60817.23011789331
,2025 KR46,000000ISe6a2,23.519,,Lg,226.040576,-39.540625,2025-05-22 05:33:01.673000+00:00,60817.231269363314
,2025 KR46,000000ISe6a2,23.405,,Lg,226.040058,-39.5401824,2025-05-22 05:35:22.302000+00:00,60817.23289701389
,2025 KR46,000000ISe6a2,23.44,,Lg,226.0395358,-39.5396056,2025-05-22 05:38:11.340000+00:00,60817.234853472095
,2025 KR46,000000ISe6a2,22.83,,Lr,226.0354932,-39.5361616,2025-05-22 05:56:57.790000+00:00,60817.247891088016
,2025 KR46,000000ISe6a2,23.039,,Lr,226.0352242,-39.5358798,2025-05-22 05:58:26.674000+00:00,60817.24891983811
,2025 KR46,000000ISe6a2,23.05,,Lr,226.0345835,-39.5354709,2025-05-22 06:00:57.744000+00:00,60817.25066833338
,2025 KR46,000000ISe6a2,22.975,,Lr,226.0344441,-39.5353097,2025-05-22 06:01:39.830000+00:00,60817.251155439764
,2025 KR46,000000ISe6a2,23.01,,Lr,226.0338356,-39.5346921,2025-05-22 06:05:00.845000+00:00,60817.2534820023
,2025 KR46,000000ISe6a2,23.062,,Lr,226.0336764,-39.5345807,2025-05-22 06:05:47.757000+00:00,60817.25402496522
,2025 KR46,000000ISe6a2,23.046,,Lr,226.0335601,-39.5344017,2025-05-22 06:06:34.744000+00:00,60817.25456879614
,2025 KR46,000000ISe6a2,22.889,,Lr,226.0327921,-39.5337996,2025-05-22 06:09:54.456000+00:00,60817.25688027777
,2025 KR46,000000ISe6a2,23.34,,Lr,226.0324487,-39.5336731,2025-05-22 06:10:46.468000+00:00,60817.25748226838
,2025 KR46,000000ISe6a2,23.13,,Lr,226.0323797,-39.5335229,2025-05-22 06:11:32.749000+00:00,60817.25801792834
,2025 KR46,000000ISe6a2,23.093,,Lr,226.0319422,-39.5330781,2025-05-22 06:13:48.161000+00:00,60817.25958519662
,2025 KR46,000000ISe6a2,22.995,,Lr,226.0317168,-39.5328726,2025-05-22 06:14:30.623000+00:00,60817.260076655075
,2025 KR46,000000ISe6a2,22.998,,Lr,226.0313451,-39.5325598,2025-05-22 06:16:37.597000+00:00,60817.26154626161
,2025 KR46,000000ISe6a2,22.922,,Li,226.0294328,-39.5308293,2025-05-22 06:25:56.764000+00:00,60817.26801810181
,2025 KR46,000000ISe6a2,22.74,,Li,226.0263738,-39.5281917,2025-05-22 06:39:57.625000+00:00,60817.27775028953
,2025 KR46,000000ISe6a3,23.012,,Li,225.5134144,-39.0498318,2025-05-24 01:54:17.226000+00:00,60819.07936604181
,2025 KR46,000000ISe6a3,22.967,,Li,225.5132481,-39.0497028,2025-05-24 01:54:59.144000+00:00,60819.0798512036
,2025 KR46,000000ISe6a3,23.098,,Li,225.5131171,-39.0495854,2025-05-24 01:55:41.899000+00:00,60819.080346053466
,2025 KR46,000000ISe6a3,22.964,,Li,225.5128324,-39.0493015,2025-05-24 01:57:06.636000+00:00,60819.08132680552
,2025 KR46,000000ISe6a3,23.113,,Li,225.5126881,-39.0491516,2025-05-24 01:57:48.911000+00:00,60819.081816099584
,2025 KR46,000000ISe6a3,22.846,,Li,225.5125275,-39.0490401,2025-05-24 01:58:31.366000+00:00,60819.082307477016
,2025 KR46,000000ISe6a3,22.929,,Li,225.5123926,-39.0489405,2025-05-24 01:59:13.726000+00:00,60819.082797754556
,2025 KR46,000000ISe6a3,22.942,,Li,225.5122294,-39.0487982,2025-05-24 01:59:56.085000+00:00,60819.08328802092
,2025 KR46,000000ISe6a3,22.883,,Li,225.5120915,-39.0486537,2025-05-24 02:00:38.627000+00:00,60819.08378040511
,2025 KR46,000000ISe6a3,22.847,,Li,225.5118163,-39.0484047,2025-05-24 02:02:02.873000+00:00,60819.0847554747
,2025 KR46,000000ISe6a3,22.907,,Li,225.5115221,-39.048158,2025-05-24 02:03:28.548000+00:00,60819.08574708318
,2025 KR46,000000ISe6a3,23.077,,Li,225.511368,-39.0479853,2025-05-24 02:04:10.821000+00:00,60819.08623635396
,2025 KR46,000000ISe6a3,23.001,,Li,225.5111936,-39.04787,2025-05-24 02:04:53.177000+00:00,60819.08672658587
,2025 KR46,000000ISe6a3,22.884,,Li,225.5110535,-39.0477136,2025-05-24 02:05:35.423000+00:00,60819.08721554419
,2025 KR46,000000ISe6a3,22.933,,Li,225.5109358,-39.0475919,2025-05-24 02:06:17.710000+00:00,60819.08770497702
,2025 KR46,000000ISe6a3,23.006,,Li,225.5107967,-39.0474764,2025-05-24 02:06:59.621000+00:00,60819.08819005778
,2025 KR46,000000ISe6a3,23.017,,Li,225.5106387,-39.0473608,2025-05-24 02:07:42.277000+00:00,60819.088683761656
,2025 KR46,000000ISe6a3,22.81,,Li,225.5102308,-39.0469582,2025-05-24 02:09:49.650000+00:00,60819.09015798615
,2025 KR46,000000ISe6a3,22.898,,Li,225.5100803,-39.0468331,2025-05-24 02:10:31.542000+00:00,60819.09064284712
,2025 KR46,000000ISe6a3,23.067,,Li,225.5099016,-39.0466573,2025-05-24 02:11:13.809000+00:00,60819.09113204852
,2025 KR46,000000ISe6a3,22.816,,Li,225.5096293,-39.0464401,2025-05-24 02:12:37.758000+00:00,60819.092103680596
,2025 KR46,000000ISe6a3,22.992,,Li,225.5094923,-39.0463,2025-05-24 02:13:19.651000+00:00,60819.092588553205
,2025 KR46,000000ISe6a3,22.867,,Li,225.5093566,-39.0461735,2025-05-24 02:14:01.928000+00:00,60819.09307787055
,2025 KR46,000000ISe6a3,22.803,,Lz,225.5073416,-39.0444042,2025-05-24 02:23:59.296000+00:00,60819.09999185195
,2025 KR46,000000ISe6a3,22.833,,Lz,225.5071418,-39.0442253,2025-05-24 02:24:41.282000+00:00,60819.100477800705
,2025 KR46,000000ISe6a3,22.989,,Lz,225.5070737,-39.0440754,2025-05-24 02:25:23.743000+00:00,60819.10096924752
,2025 KR46,000000ISe6a3,22.945,,Lz,225.5067432,-39.0437924,2025-05-24 02:26:47.164000+00:00,60819.101934768725
,2025 KR46,000000ISe6a3,22.999,,Lz,225.506552,-39.0436509,2025-05-24 02:27:29.535000+00:00,60819.10242517339
,2025 KR46,000000ISe6a3,22.933,,Lz,225.5064549,-39.04351,2025-05-24 02:28:11.605000+00:00,60819.10291209491
,2025 KR46,000000ISe6a3,22.972,,Lz,225.505748,-39.0428836,2025-05-24 02:31:47.904000+00:00,60819.10541555565
,2025 KR46,000000ISe6a3,22.893,,Lz,225.5056321,-39.0427416,2025-05-24 02:32:33.656000+00:00,60819.105945092626
,2025 KR46,000000ISe6a3,22.93,,Lz,225.5054482,-39.0426491,2025-05-24 02:33:15.719000+00:00,60819.106431932654
,2025 KR46,000000ISe6a3,22.833,,Lz,225.5052155,-39.0424453,2025-05-24 02:34:01.966000+00:00,60819.10696719913
,2025 KR46,000000ISe6a3,22.996,,Lz,225.5049104,-39.0422075,2025-05-24 02:35:27.702000+00:00,60819.10795951402
,2025 KR46,000000ISe6a3,22.864,,Lz,225.5046427,-39.0419412,2025-05-24 02:36:52.911000+00:00,60819.10894572921
,2025 KR46,000000ISe6a3,23.094,,Lr,225.5025326,-39.0400075,2025-05-24 02:47:20.372000+00:00,60819.11620800942
,2025 KR46,000000ISe6a3,23.039,,Lr,225.5023847,-39.0398818,2025-05-24 02:48:02.738000+00:00,60819.116698356345
,2025 KR46,000000ISe6a3,23.144,,Lr,225.5022666,-39.0397236,2025-05-24 02:48:45.193000+00:00,60819.11718973378
,2025 KR46,000000ISe6a3,23.278,,Lr,225.5020864,-39.0396188,2025-05-24 02:49:27.365000+00:00,60819.11767783575
,2025 KR46,000000ISe6a3,23.212,,Lr,225.501941,-39.0394484,2025-05-24 02:50:10.106000+00:00,60819.1181725231
,2025 KR46,000000ISe6a3,23.112,,Lr,225.4989979,-39.0367726,2025-05-24 03:04:35.084000+00:00,60819.12818384264
,2025 KR46,000000ISe6a3,23.07,,Lr,225.4988371,-39.0366429,2025-05-24 03:05:19.098000+00:00,60819.12869326398
,2025 KR46,000000ISe6a3,23.175,,Lr,225.4986738,-39.0365188,2025-05-24 03:06:00.697000+00:00,60819.129174734
,2025 KR46,000000ISe6a3,23.204,,Lr,225.4985374,-39.0363573,2025-05-24 03:06:49.958000+00:00,60819.12974488409
,2025 KR46,000000ISe6a3,23.283,,Lr,225.4983685,-39.0362455,2025-05-24 03:07:32.266000+00:00,60819.13023456
,2025 KR46,000000ISe6a3,23.273,,Lr,225.4982254,-39.0360958,2025-05-24 03:08:14.905000+00:00,60819.1307280669
,2025 KR46,000000ISe6a3,23.295,,Lr,225.4980802,-39.0359615,2025-05-24 03:08:57.573000+00:00,60819.13122190954
,2025 KR46,000000ISe6a3,23.239,,Lr,225.497914,-39.0358472,2025-05-24 03:09:39.918000+00:00,60819.131712013856
,2025 KR46,000000ISe6a3,23.012,,Lr,225.497772,-39.0356966,2025-05-24 03:10:24.294000+00:00,60819.13222562522
,2025 KR46,000000ISe6a3,23.177,,Lr,225.4974698,-39.0353876,2025-05-24 03:11:57.725000+00:00,60819.133307002485
,2025 KR46,000000ISe6a3,23.236,,Lr,225.4971735,-39.035151,2025-05-24 03:13:24.436000+00:00,60819.134310601745
,2025 KR46,000000ISe6a3,23.052,,Lr,225.4970077,-39.035004,2025-05-24 03:14:08.017000+00:00,60819.13481501164
,2025 KR46,000000ISe6a3,23.109,,Lr,225.4968834,-39.034854,2025-05-24 03:14:54.093000+00:00,60819.13534829859
,2025 KR46,000000ISe6a3,23.112,,Lr,225.4967082,-39.0347293,2025-05-24 03:15:37.055000+00:00,60819.13584554382
,2025 KR46,000000ISe6a3,23.079,,Lr,225.4965428,-39.0345822,2025-05-24 03:16:20.858000+00:00,60819.13635252323
,2025 KR46,000000ISe6a3,23.093,,Lr,225.4964668,-39.0344712,2025-05-24 03:17:04.387000+00:00,60819.136856331024
,2025 KR46,000000ISe6a3,23.038,,Lr,225.496287,-39.0343302,2025-05-24 03:17:44.946000+00:00,60819.1373257637
,2025 KR46,000000ISe6a3,23.042,,Lr,225.496129,-39.034188,2025-05-24 03:18:30.050000+00:00,60819.13784780074
,2025 KR46,000000ISe6a3,23.268,,Lr,225.4958452,-39.033959,2025-05-24 03:19:47.932000+00:00,60819.13874921296
,2025 KR46,000000ISe6a3,23.828,,Lg,225.4950013,-39.0331618,2025-05-24 03:23:59.568000+00:00,60819.1416616668
,2025 KR46,000000ISe6a3,23.508,,Lg,225.4947134,-39.0329158,2025-05-24 03:25:23.921000+00:00,60819.14263797458
,2025 KR46,000000ISe6a3,23.616,,Lg,225.4944159,-39.0326263,2025-05-24 03:26:53.076000+00:00,60819.1436698609
,2025 KR46,000000ISe6a3,23.603,,Lg,225.4942547,-39.0324958,2025-05-24 03:27:41.117000+00:00,60819.144225891214
,2025 KR46,000000ISe6a3,23.654,,Lg,225.4940855,-39.0323245,2025-05-24 03:28:26.608000+00:00,60819.14475240745
,2025 KR46,000000ISe6a3,23.691,,Lg,225.4939276,-39.0322004,2025-05-24 03:29:09.540000+00:00,60819.14524930576
,2025 KR46,000000ISe6a3,23.536,,Lg,225.4937896,-39.0320776,2025-05-24 03:29:55.007000+00:00,60819.14577554399
