permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2025 NY360,000000ISeBU1,22.0,,Li,225.9221458,-37.0970528,2025-07-02 23:17:09.566000+00:00,60858.9702496063
,2025 NY360,000000ISeBU1,21.999,,Li,225.9218128,-37.0972464,2025-07-02 23:20:56.895000+00:00,60858.97288072901
,2025 NY360,000000ISeBU1,21.957,,Li,225.9214479,-37.0975066,2025-07-02 23:25:28.872000+00:00,60858.97602861095
,2025 NY360,000000ISeBU1,22.021,,Li,225.9213385,-37.0975426,2025-07-02 23:26:07.830000+00:00,60858.976479514036
,2025 NY360,000000ISeBU1,22.218,,Li,225.9213124,-37.0975813,2025-07-02 23:26:45.542000+00:00,60858.97691599559
,2025 NY360,000000ISeBU1,22.076,,Li,225.918644,-37.0991033,2025-07-02 23:55:02.976000+00:00,60858.99656222202
,2025 NY360,000000ISeBU1,22.03,,Li,225.9184806,-37.0992008,2025-07-02 23:56:59.225000+00:00,60858.99790769676
,2025 NY360,000000ISeBU1,22.941,,Lg,225.9174676,-37.0998255,2025-07-03 00:08:28.449000+00:00,60859.00588482618
,2025 NY360,000000ISeBU1,22.822,,Lg,225.9164686,-37.100375,2025-07-03 00:18:48.663000+00:00,60859.013063229155
,2025 NY360,000000ISeBU1,22.886,,Lg,225.9163201,-37.1004414,2025-07-03 00:20:13.624000+00:00,60859.01404657401
,2025 NY360,000000ISeBU1,22.781,,Lg,225.916135,-37.1005496,2025-07-03 00:22:16.266000+00:00,60859.01546604186
,2025 NY360,000000ISeBU1,22.752,,Lg,225.9160535,-37.1005925,2025-07-03 00:22:53.871000+00:00,60859.01590128476
,2025 NY360,000000ISeBU1,22.668,,Lg,225.9151585,-37.1011425,2025-07-03 00:33:09.572000+00:00,60859.02302745357
,2025 NY360,000000ISeBU1,22.946,,Lg,225.9149895,-37.1012321,2025-07-03 00:34:28.965000+00:00,60859.023946354166
,2025 NY360,000000ISeBU2,23.152,,Lg,225.8052216,-37.1750107,2025-07-04 00:14:35.853000+00:00,60860.01013718732
,2025 NY360,000000ISeBU2,22.89,,Lg,225.8051201,-37.175119,2025-07-04 00:15:56.030000+00:00,60860.01106516225
,2025 NY360,000000ISeBU2,22.772,,Lr,225.8001318,-37.1782583,2025-07-04 01:16:42.457000+00:00,60860.05326917814
