permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2026 BE15,000000IXAjV1,24.195,0.1933,Lr,150.5842464,3.7233914,2026-01-20 06:59:42.668000+00:00,61060.29146606475
,2026 BE15,000000IXAjV2,23.969,0.1563,Lr,150.1345735,3.887134,2026-02-17 05:05:18.136000+00:00,61088.21201546304
,2026 BE15,000000IXAjV3,23.437,0.1873,Li,150.1007264,3.9010713,2026-02-19 05:08:32.095000+00:00,61090.21426035883
,2026 BE15,000000IXAjV3,23.398,0.1893,Li,150.1007061,3.9011217,2026-02-19 05:11:12.789000+00:00,61090.21612024307
,2026 BE15,000000IXAjV3,23.243,0.1563,Li,150.100675,3.9011003,2026-02-19 05:11:53.096000+00:00,61090.216586759314
,2026 BE15,000000IXAjV3,23.387,0.1993,Li,150.1005574,3.9010092,2026-02-19 05:12:33.324000+00:00,61090.217052361
,2026 BE15,000000IXAjV4,23.839,0.2162,Li,150.0844995,3.9077627,2026-02-20 03:56:59.656000+00:00,61091.1645793519
,2026 BE15,000000IXAjV4,22.923,0.1803,Lz,150.0842398,3.9079617,2026-02-20 04:19:29.216000+00:00,61091.18019925943
,2026 BE15,000000IXAjV4,23.992,0.2042,Lr,150.0842002,3.9078761,2026-02-20 04:30:56.501000+00:00,61091.18815394677
,2026 BE15,000000IXAjV4,24.134,0.2092,Lr,150.0841458,3.9079445,2026-02-20 04:32:57.186000+00:00,61091.18955076393
,2026 BE15,000000IXAjV4,23.809,0.1384,Lr,150.0841658,3.9079303,2026-02-20 04:33:46.528000+00:00,61091.19012185186
,2026 BE15,000000IXAjV4,23.803,0.1404,Lr,150.0841281,3.9079484,2026-02-20 04:34:26.445000+00:00,61091.19058385398
,2026 BE15,000000IXAjV4,23.842,0.1483,Lr,150.0840939,3.9079569,2026-02-20 04:35:46.910000+00:00,61091.19151516212
,2026 BE15,000000IXAjV4,23.97,0.1593,Lr,150.0841334,3.9079449,2026-02-20 04:36:27.206000+00:00,61091.19198155077
,2026 BE15,000000IXAjV4,23.979,0.1783,Lr,150.084106,3.90799,2026-02-20 04:37:47.851000+00:00,61091.19291494228
,2026 BE15,000000IXAjV4,23.642,0.1723,Li,150.0840369,3.9079621,2026-02-20 04:43:05.778000+00:00,61091.19659465272
,2026 BE15,000000IXAjV4,23.585,0.1553,Li,150.0840135,3.9079983,2026-02-20 04:46:29.552000+00:00,61091.19895314798
,2026 BE15,000000IXAjV4,23.421,0.1324,Li,150.0839657,3.908047,2026-02-20 04:48:30.254000+00:00,61091.20035016211
,2026 BE15,000000IXAjV4,24.286,0.1843,Lg,150.0838857,3.908047,2026-02-20 04:55:50.202000+00:00,61091.20544215292
,2026 BE15,000000IXAjV4,23.573,0.1683,Lr,150.0836256,3.9081733,2026-02-20 05:20:11.287000+00:00,61091.22235285863
,2026 BE15,000000IXAjV5,23.703,0.1743,Li,150.034749,3.9287629,2026-02-23 02:54:09.099000+00:00,61094.120938645676
,2026 BE15,000000IXAjV5,23.535,0.1563,Li,150.0347476,3.9288245,2026-02-23 03:00:11.659000+00:00,61094.12513494212
,2026 BE15,000000IXAjV5,23.693,0.1813,Li,150.0346374,3.9288454,2026-02-23 03:03:05.955000+00:00,61094.12715225713
,2026 BE15,000000IXAjV5,24.455,0.1783,Lg,150.0346016,3.9288873,2026-02-23 03:08:33.885000+00:00,61094.13094774308
