permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
264909,2002 TH146,000000IZ5kh1,20.136,0.0183,Li,228.0012431,-39.3888429,2025-04-26 08:26:14.421000+00:00,60791.35155579867
264909,2002 TH146,000000IZ5kh1,20.303,0.0188,Li,228.0011211,-39.3888713,2025-04-26 08:26:57.928000+00:00,60791.352059351746
264909,2002 TH146,000000IZ5kh1,20.143,0.0196,Li,228.0007759,-39.3889208,2025-04-26 08:29:08.708000+00:00,60791.35357300937
264909,2002 TH146,000000IZ5kh1,20.183,0.0147,Li,227.999019,-39.3891888,2025-04-26 08:39:58.761000+00:00,60791.36109677097
264909,2002 TH146,000000IZ5kh1,20.178,0.0156,Li,227.99879,-39.389224,2025-04-26 08:41:25.572000+00:00,60791.36210152786
264909,2002 TH146,000000IZ5kh1,20.19,0.0159,Li,227.998666,-39.3892453,2025-04-26 08:42:09.178000+00:00,60791.36260622693
264909,2002 TH146,000000IZ5kh1,21.034,0.0192,Lg,227.9967997,-39.3895355,2025-04-26 08:53:43.245000+00:00,60791.37063940987
264909,2002 TH146,000000IZ5kh1,21.068,0.0201,Lg,227.9965726,-39.3895721,2025-04-26 08:55:10.840000+00:00,60791.37165324064
264909,2002 TH146,000000IZ5kh1,21.041,0.0181,Lg,227.9963198,-39.3896011,2025-04-26 08:56:37.679000+00:00,60791.372658321634
264909,2002 TH146,000000IZ5kh2,20.915,0.0212,Lg,226.5915215,-39.5671071,2025-05-02 07:43:25.875000+00:00,60797.32182725705
264909,2002 TH146,000000IZ5kh2,20.898,0.0154,Lg,226.5911475,-39.5671359,2025-05-02 07:45:33.166000+00:00,60797.32330053253
264909,2002 TH146,000000IZ5kh2,20.885,0.018,Lg,226.5907914,-39.5671653,2025-05-02 07:47:42.619000+00:00,60797.324798830785
264909,2002 TH146,000000IZ5kh2,20.922,0.0194,Lg,226.5901649,-39.5672146,2025-05-02 07:51:18.432000+00:00,60797.3272966668
264909,2002 TH146,000000IZ5kh2,20.934,0.0172,Lg,226.5900446,-39.567218,2025-05-02 07:51:59.925000+00:00,60797.327776909806
264909,2002 TH146,000000IZ5kh2,20.913,0.0158,Lg,226.5899258,-39.5672313,2025-05-02 07:52:42.113000+00:00,60797.328265196644
