permid,provid,trkid,mag,rmsmag,band,ra,dec,obs_time,mjd
,2015 BB627,000000IOw4j1,22.994,,Li,151.4885314,2.1921082,2026-02-19 04:24:48.936000+00:00,61090.18389972206
,2015 BB627,000000IOw4j1,22.99,,Li,151.487956,2.1923155,2026-02-19 04:28:10.547000+00:00,61090.1862331829
,2015 BB627,000000IOw4j1,23.587,,Lg,151.4873144,2.1925357,2026-02-19 04:31:44.403000+00:00,61090.18870836822
,2015 BB627,000000IOw4j1,23.521,,Lg,151.4872212,2.1926267,2026-02-19 04:32:24.797000+00:00,61090.189175891224
,2015 BB627,000000IOw4j1,23.491,,Lg,151.4868886,2.1927823,2026-02-19 04:34:24.791000+00:00,61090.19056471065
,2015 BB627,000000IOw4j1,23.593,,Lg,151.4863154,2.1929982,2026-02-19 04:37:45.897000+00:00,61090.19289232651
,2015 BB627,000000IOw4j1,23.484,,Lg,151.4859485,2.1931309,2026-02-19 04:39:46.355000+00:00,61090.1942865164
,2015 BB627,000000IOw4j1,22.961,,Lz,151.484978,2.1934913,2026-02-19 04:45:26.546000+00:00,61090.19822391216
,2015 BB627,000000IOw4j1,22.642,,Lz,151.4845391,2.1938258,2026-02-19 04:48:07.630000+00:00,61090.200088310055
,2015 BB627,000000IOw4j1,22.383,,Lz,151.483952,2.1939056,2026-02-19 04:51:28.132000+00:00,61090.20240893541
,2015 BB627,000000IOw4j1,22.214,,Lz,151.4837516,2.1940503,2026-02-19 04:52:08.410000+00:00,61090.20287511591
,2015 BB627,000000IOw4j1,23.06,,Lr,151.4829108,2.1943248,2026-02-19 04:56:58.137000+00:00,61090.20622843737
,2015 BB627,000000IOw4j1,23.072,,Lr,151.482878,2.194364,2026-02-19 04:57:38.177000+00:00,61090.20669186348
,2015 BB627,000000IOw4j1,22.987,,Lr,151.4826854,2.1944015,2026-02-19 04:58:18.220000+00:00,61090.20715532405
,2015 BB627,000000IOw4j1,23.08,,Lr,151.4826289,2.1943769,2026-02-19 04:58:58.583000+00:00,61090.207622488495
,2015 BB627,000000IOw4j1,23.022,,Lr,151.4824844,2.1945132,2026-02-19 04:59:38.828000+00:00,61090.20808828715
,2015 BB627,000000IOw4j1,23.016,,Lr,151.4823496,2.1945223,2026-02-19 05:00:18.958000+00:00,61090.208552754484
,2015 BB627,000000IOw4j1,23.182,,Lr,151.482248,2.1945702,2026-02-19 05:00:58.918000+00:00,61090.20901525486
,2015 BB627,000000IOw4j1,23.19,,Lr,151.4819018,2.1947261,2026-02-19 05:03:00.019000+00:00,61090.21041688649
,2015 BB627,000000IOw4j1,23.054,,Lr,151.4816586,2.1948082,2026-02-19 05:04:20.278000+00:00,61090.21134580998
,2015 BB627,000000IOw4j1,22.914,,Li,151.4811427,2.1950607,2026-02-19 05:07:43.469000+00:00,61090.2136975578
,2015 BB627,000000IOw4j1,22.965,,Li,151.480715,2.1951862,2026-02-19 05:09:52.364000+00:00,61090.21518939827
,2015 BB627,000000IOw4j1,22.988,,Li,151.4805867,2.1951847,2026-02-19 05:10:32.625000+00:00,61090.21565538179
,2015 BB627,000000IOw4j1,22.897,,Li,151.4804724,2.195263,2026-02-19 05:11:12.786000+00:00,61090.21612020815
,2015 BB627,000000IOw4j1,22.915,,Li,151.4803679,2.19534,2026-02-19 05:11:53.093000+00:00,61090.21658672439
,2015 BB627,000000IOw4j1,22.939,,Li,151.4799849,2.1954616,2026-02-19 05:13:53.580000+00:00,61090.217981250025
,2015 BB627,000000IOw4j1,23.142,,Li,151.479759,2.1956144,2026-02-19 05:15:14.186000+00:00,61090.21891418984
,2015 BB627,000000IOw4j1,23.001,,Li,151.4796776,2.1956285,2026-02-19 05:15:54.536000+00:00,61090.219381203875
,2015 BB627,000000IOw4j1,22.793,,Li,151.4794845,2.195689,2026-02-19 05:16:34.736000+00:00,61090.21984648146
,2015 BB627,000000IOw4j1,23.447,,Lg,151.4788128,2.1958583,2026-02-19 05:20:35.246000+00:00,61090.22263016226
,2015 BB627,000000IOw4j1,23.427,,Lg,151.4780903,2.1962138,2026-02-19 05:25:17.435000+00:00,61090.22589623835
,2015 BB627,000000IOw4j1,23.752,,Lg,151.477777,2.196318,2026-02-19 05:26:38.112000+00:00,61090.22683000006
,2015 BB627,000000IOw4j1,23.674,,Lg,151.4776921,2.1963615,2026-02-19 05:27:18.470000+00:00,61090.22729710629
,2015 BB627,000000IOw4j1,23.535,,Lg,151.4775972,2.1963878,2026-02-19 05:27:58.637000+00:00,61090.2277620025
,2015 BB627,000000IOw4j1,23.873,,Lg,151.4774433,2.1964668,2026-02-19 05:28:38.854000+00:00,61090.228227477055
,2015 BB627,000000IOw4j1,23.423,,Lg,151.4773454,2.1965098,2026-02-19 05:29:19.223000+00:00,61090.22869471088
,2015 BB627,000000IOw4j1,22.731,,Lz,151.4763074,2.1968453,2026-02-19 05:34:38.382000+00:00,61090.232388680335
,2015 BB627,000000IOw4j1,22.626,,Lz,151.4762673,2.1969053,2026-02-19 05:35:18.735000+00:00,61090.23285572929
,2015 BB627,000000IOw4j1,22.718,,Lz,151.4761686,2.1969961,2026-02-19 05:35:59.080000+00:00,61090.23332268512
,2015 BB627,000000IOw4j1,22.688,,Lz,151.4757967,2.1970973,2026-02-19 05:37:59.889000+00:00,61090.23472093744
,2015 BB627,000000IOw4j1,22.794,,Lz,151.475499,2.1972145,2026-02-19 05:40:00.612000+00:00,61090.23611819465
,2015 BB627,000000IOw4j1,23.02,,Lr,151.4743963,2.1976769,2026-02-19 05:46:05.912000+00:00,61090.24034620356
,2015 BB627,000000IOw4j1,22.773,,Lr,151.4735288,2.1979839,2026-02-19 05:51:28.309000+00:00,61090.244077650364
,2015 BB627,000000IOw4j2,22.915,,Li,151.2536113,2.289133,2026-02-20 03:55:33.842000+00:00,61091.16358613409
,2015 BB627,000000IOw4j2,22.82,,Li,151.2532642,2.2892761,2026-02-20 03:57:39.671000+00:00,61091.16504248837
,2015 BB627,000000IOw4j2,22.886,,Li,151.2526662,2.2895145,2026-02-20 04:01:00.920000+00:00,61091.16737175919
,2015 BB627,000000IOw4j2,23.525,,Lg,151.2518223,2.2897972,2026-02-20 04:05:51.604000+00:00,61091.170736157335
,2015 BB627,000000IOw4j2,23.444,,Lg,151.2511107,2.290124,2026-02-20 04:09:59.136000+00:00,61091.17360111093
,2015 BB627,000000IOw4j2,23.613,,Lg,151.2509925,2.2901624,2026-02-20 04:10:39.462000+00:00,61091.17406784743
,2015 BB627,000000IOw4j2,23.367,,Lg,151.2508763,2.2901977,2026-02-20 04:11:19.885000+00:00,61091.17453570617
,2015 BB627,000000IOw4j2,23.609,,Lg,151.2507959,2.2902724,2026-02-20 04:12:00.057000+00:00,61091.175000659656
,2015 BB627,000000IOw4j2,23.529,,Lg,151.2506511,2.2902795,2026-02-20 04:12:40.669000+00:00,61091.175470706075
,2015 BB627,000000IOw4j2,23.469,,Lg,151.2502976,2.2904437,2026-02-20 04:14:41.293000+00:00,61091.17686681729
,2015 BB627,000000IOw4j2,22.975,,Lz,151.2496951,2.2907069,2026-02-20 04:18:08.118000+00:00,61091.17926062504
,2015 BB627,000000IOw4j2,23.129,,Lz,151.2493933,2.2909308,2026-02-20 04:20:09.359000+00:00,61091.18066387717
,2015 BB627,000000IOw4j2,22.811,,Lz,151.2490344,2.2909825,2026-02-20 04:22:07.010000+00:00,61091.182025578804
,2015 BB627,000000IOw4j2,22.981,,Lz,151.2488504,2.2910204,2026-02-20 04:22:47.711000+00:00,61091.18249665527
,2015 BB627,000000IOw4j2,22.798,,Lz,151.2487944,2.2910437,2026-02-20 04:23:28.208000+00:00,61091.18296537036
,2015 BB627,000000IOw4j2,22.957,,Lz,151.2483522,2.291229,2026-02-20 04:26:09.659000+00:00,61091.18483401602
,2015 BB627,000000IOw4j2,22.88,,Lz,151.2482296,2.2912804,2026-02-20 04:26:50.019000+00:00,61091.185301146004
,2015 BB627,000000IOw4j2,23.091,,Lz,151.2480504,2.2913262,2026-02-20 04:27:30.206000+00:00,61091.18576627318
,2015 BB627,000000IOw4j2,23.049,,Lr,151.2476282,2.2915291,2026-02-20 04:30:16.256000+00:00,61091.187688148115
,2015 BB627,000000IOw4j2,23.05,,Lr,151.2470075,2.2917858,2026-02-20 04:33:46.526000+00:00,61091.19012182858
,2015 BB627,000000IOw4j2,23.208,,Lr,151.2467739,2.2918781,2026-02-20 04:35:06.661000+00:00,61091.1910493169
,2015 BB627,000000IOw4j2,23.065,,Lr,151.2465298,2.2919782,2026-02-20 04:36:27.207000+00:00,61091.19198156241
,2015 BB627,000000IOw4j2,23.34,,Lr,151.2461733,2.2921086,2026-02-20 04:38:27.887000+00:00,61091.19337832183
,2015 BB627,000000IOw4j2,22.987,,Lr,151.2459289,2.2922035,2026-02-20 04:39:48.135000+00:00,61091.19430711819
,2015 BB627,000000IOw4j2,22.977,,Li,151.2453799,2.2924239,2026-02-20 04:43:05.779000+00:00,61091.19659466436
,2015 BB627,000000IOw4j2,22.936,,Li,151.2448833,2.2926186,2026-02-20 04:45:49.602000+00:00,61091.198490764014
,2015 BB627,000000IOw4j2,22.932,,Li,151.2444388,2.2928088,2026-02-20 04:48:30.255000+00:00,61091.20035017375
,2015 BB627,000000IOw4j2,23.437,,Lg,151.2433055,2.2932905,2026-02-20 04:55:10.135000+00:00,61091.204978414346
,2015 BB627,000000IOw4j2,23.641,,Lg,151.24304,2.2933926,2026-02-20 04:56:30.261000+00:00,61091.20590579882
,2015 BB627,000000IOw4j2,23.544,,Lg,151.2421209,2.2937821,2026-02-20 05:02:03.689000+00:00,61091.20976491878
,2015 BB627,000000IOw4j2,23.393,,Lg,151.2419505,2.2938279,2026-02-20 05:02:43.919000+00:00,61091.21023054421
,2015 BB627,000000IOw4j2,23.049,,Lr,151.2391855,2.29494,2026-02-20 05:18:50.787000+00:00,61091.221421145834
,2015 BB627,000000IOw4j2,23.032,,Lr,151.2390734,2.2949347,2026-02-20 05:19:30.932000+00:00,61091.22188578686
,2015 BB627,000000IOw4j2,22.951,,Lr,151.2389466,2.2949998,2026-02-20 05:20:11.281000+00:00,61091.22235278925
,2015 BB627,000000IOw4j2,23.004,,Lr,151.2384135,2.2951917,2026-02-20 05:23:02.593000+00:00,61091.224335567094
,2015 BB627,000000IOw4j2,23.022,,Lr,151.2383425,2.2952433,2026-02-20 05:23:42.823000+00:00,61091.22480119206
,2015 BB627,000000IOw4j2,23.154,,Lr,151.238181,2.2952714,2026-02-20 05:24:23.068000+00:00,61091.22526699072
,2015 BB627,000000IOw4j2,23.04,,Lr,151.2380083,2.2953566,2026-02-20 05:25:43.662000+00:00,61091.22619979177
,2015 BB627,000000IOw4j2,22.983,,Lr,151.2378466,2.2954304,2026-02-20 05:26:24.081000+00:00,61091.22666760394
,2015 BB627,000000IOw4j2,23.103,,Lr,151.237644,2.2955461,2026-02-20 05:27:44.383000+00:00,61091.22759702569
,2015 BB627,000000IOw4j3,23.642,,Lg,150.5471985,2.5922533,2026-02-23 03:08:33.884000+00:00,61094.130947731435
,2015 BB627,000000IOw4j3,23.507,,Lg,150.5462755,2.592668,2026-02-23 03:14:01.241000+00:00,61094.13473658543
,2015 BB627,000000IOw4j3,23.467,,Lg,150.5456874,2.5929191,2026-02-23 03:17:38.272000+00:00,61094.13724851841
